trial,context,L_index,H_index,L_option,H_option,left_index,right_index,left_option,right_option,choice,accuracy,chose_left,L_outcome,H_outcome
0,3,6,7,B,F,7,6,F,B,,-99,-99,32,36
1,3,6,7,B,F,6,7,B,F,,-99,-99,32,35
2,0,0,1,E,G,0,1,E,G,,-99,-99,15,16
3,1,2,3,C,A,3,2,A,C,,-99,-99,22,25
4,0,0,1,E,G,0,1,E,G,,-99,-99,13,16
5,2,4,5,H,D,5,4,D,H,,-99,-99,28,29
6,3,6,7,B,F,7,6,F,B,,-99,-99,32,37
7,3,6,7,B,F,7,6,F,B,,-99,-99,31,35
8,3,6,7,B,F,6,7,B,F,,-99,-99,34,38
9,2,4,5,H,D,5,4,D,H,,-99,-99,26,29
10,1,2,3,C,A,2,3,C,A,,-99,-99,21,23
11,3,6,7,B,F,6,7,B,F,,-99,-99,31,36
12,2,4,5,H,D,4,5,H,D,,-99,-99,26,30
13,0,0,1,E,G,1,0,G,E,,-99,-99,15,17
14,2,4,5,H,D,5,4,D,H,,-99,-99,25,30
15,1,2,3,C,A,2,3,C,A,,-99,-99,19,23
16,2,4,5,H,D,5,4,D,H,,-99,-99,27,29
17,3,6,7,B,F,6,7,B,F,,-99,-99,32,37
18,2,4,5,H,D,4,5,H,D,,-99,-99,27,29
19,0,0,1,E,G,1,0,G,E,,-99,-99,15,18
20,0,0,1,E,G,1,0,G,E,,-99,-99,15,19
21,0,0,1,E,G,1,0,G,E,,-99,-99,14,17
22,0,0,1,E,G,0,1,E,G,,-99,-99,13,17
23,3,6,7,B,F,6,7,B,F,,-99,-99,32,36
24,1,2,3,C,A,2,3,C,A,,-99,-99,20,24
25,1,2,3,C,A,2,3,C,A,,-99,-99,20,25
26,2,4,5,H,D,4,5,H,D,,-99,-99,26,29
27,3,6,7,B,F,7,6,F,B,,-99,-99,34,36
28,2,4,5,H,D,4,5,H,D,,-99,-99,28,29
29,1,2,3,C,A,2,3,C,A,,-99,-99,20,23
30,1,2,3,C,A,3,2,A,C,,-99,-99,20,25
31,1,2,3,C,A,3,2,A,C,,-99,-99,20,23
32,2,4,5,H,D,4,5,H,D,,-99,-99,26,29
33,0,0,1,E,G,0,1,E,G,,-99,-99,15,18
34,0,0,1,E,G,1,0,G,E,,-99,-99,13,16
35,0,0,1,E,G,0,1,E,G,,-99,-99,14,18
36,1,2,3,C,A,2,3,C,A,,-99,-99,21,22
37,1,2,3,C,A,2,3,C,A,,-99,-99,19,22
38,2,4,5,H,D,4,5,H,D,,-99,-99,28,32
39,3,6,7,B,F,6,7,B,F,,-99,-99,30,35
0,99,0,1,E,G,0,1,E,G,G,1,0,0,0
1,99,0,2,E,C,2,0,C,E,C,1,1,0,0
2,99,0,3,E,A,0,3,E,A,E,0,1,0,0
3,99,0,4,E,H,4,0,H,E,H,1,1,0,0
4,99,0,5,E,D,5,0,D,E,D,1,1,0,0
5,99,0,6,E,B,0,6,E,B,E,0,1,0,0
6,99,0,7,E,F,7,0,F,E,F,1,1,0,0
7,99,1,2,G,C,1,2,G,C,G,0,1,0,0
8,99,1,3,G,A,1,3,G,A,G,0,1,0,0
9,99,1,4,G,H,1,4,G,H,G,0,1,0,0
10,99,1,5,G,D,1,5,G,D,G,0,1,0,0
11,99,1,6,G,B,6,1,B,G,G,0,0,0,0
12,99,1,7,G,F,1,7,G,F,G,0,1,0,0
13,99,2,3,C,A,3,2,A,C,A,1,1,0,0
14,99,2,4,C,H,4,2,H,C,H,1,1,0,0
15,99,2,5,C,D,5,2,D,C,D,1,1,0,0
16,99,2,6,C,B,2,6,C,B,C,0,1,0,0
17,99,2,7,C,F,2,7,C,F,F,1,0,0,0
18,99,3,4,A,H,3,4,A,H,A,0,1,0,0
19,99,3,5,A,D,5,3,D,A,D,1,1,0,0
20,99,3,6,A,B,6,3,B,A,A,0,0,0,0
21,99,3,7,A,F,7,3,F,A,F,1,1,0,0
22,99,4,5,H,D,4,5,H,D,D,1,0,0,0
23,99,4,6,H,B,6,4,B,H,B,1,1,0,0
24,99,4,7,H,F,7,4,F,H,F,1,1,0,0
25,99,5,6,D,B,5,6,D,B,D,0,1,0,0
26,99,5,7,D,F,7,5,F,D,F,1,1,0,0
27,99,6,7,B,F,6,7,B,F,F,1,0,0,0
