"condition","model","id","trial","context","L_index","H_index","left_index","right_index","choice_idx","accuracy","L_outcome","H_outcome","left_outcome","right_outcome","M7_predL","M7_predR","M7_pACC","left_REL","right_REL","target_trial","chose_REL","M7_pREL"
"standard prompt","gpt-3.5-turbo-0125",0,0,2,4,5,5,4,0,1,25,29,29,25,0.793888697435053,0.206111302564947,0.793888697435053,1,0,1,1,0.793888697435053
"standard prompt","gpt-3.5-turbo-0125",0,1,2,4,5,5,4,0,1,28,31,31,28,0.999972232632337,2.77673676632148e-05,0.999972232632337,1,0,1,1,0.999972232632337
"standard prompt","gpt-3.5-turbo-0125",0,2,0,0,1,1,0,0,1,14,17,17,14,0.793888697435053,0.206111302564947,0.793888697435053,1,0,1,1,0.793888697435053
"standard prompt","gpt-3.5-turbo-0125",0,3,1,2,3,2,3,0,0,20,24,20,24,0.793888697435053,0.206111302564947,0.206111302564947,0,1,1,0,0.206111302564947
"standard prompt","gpt-3.5-turbo-0125",0,4,0,0,1,0,1,0,0,14,16,14,16,0.0831663247791552,0.916833675220845,0.916833675220845,0,1,1,0,0.916833675220845
"standard prompt","gpt-3.5-turbo-0125",0,5,0,0,1,1,0,0,1,14,17,17,14,0.980396056910762,0.0196039430892378,0.980396056910762,1,0,1,1,0.980396056910762
"standard prompt","gpt-3.5-turbo-0125",0,6,2,4,5,5,4,0,1,26,28,28,26,0.999987384649957,1.26153500428669e-05,0.999987384649957,1,0,1,1,0.999987384649957
"standard prompt","gpt-3.5-turbo-0125",0,7,1,2,3,2,3,1,1,22,23,22,23,0.513296512254956,0.486703487745044,0.486703487745044,0,1,1,1,0.486703487745044
"standard prompt","gpt-3.5-turbo-0125",0,8,0,0,1,0,1,1,1,13,18,13,18,0.0843993569173171,0.915600643082683,0.915600643082683,0,1,1,1,0.915600643082683
"standard prompt","gpt-3.5-turbo-0125",0,9,2,4,5,4,5,1,1,26,30,26,30,0.00101706843052748,0.998982931569472,0.998982931569472,0,1,1,1,0.998982931569472
"standard prompt","gpt-3.5-turbo-0125",0,10,1,2,3,2,3,0,0,21,22,21,22,0.305131024435692,0.694868975564308,0.694868975564308,0,1,1,0,0.694868975564308
"standard prompt","gpt-3.5-turbo-0125",0,11,2,4,5,5,4,0,1,26,29,29,26,0.999866481168761,0.000133518831238477,0.999866481168761,1,0,1,1,0.999866481168761
"standard prompt","gpt-3.5-turbo-0125",0,12,3,6,7,7,6,0,1,33,35,35,33,0.793888697435053,0.206111302564947,0.793888697435053,1,0,1,1,0.793888697435053
"standard prompt","gpt-3.5-turbo-0125",0,13,0,0,1,1,0,0,1,14,17,17,14,0.997928692081009,0.00207130791899114,0.997928692081009,1,0,1,1,0.997928692081009
"standard prompt","gpt-3.5-turbo-0125",0,14,1,2,3,3,2,0,1,20,25,25,20,0.973984371318267,0.0260156286817326,0.973984371318267,1,0,1,1,0.973984371318267
"standard prompt","gpt-3.5-turbo-0125",0,15,1,2,3,2,3,1,1,21,24,21,24,0.0738799776147002,0.9261200223853,0.9261200223853,0,1,1,1,0.9261200223853
"standard prompt","gpt-3.5-turbo-0125",0,16,0,0,1,1,0,0,1,13,17,17,13,0.997214257724956,0.00278574227504382,0.997214257724956,1,0,1,1,0.997214257724956
"standard prompt","gpt-3.5-turbo-0125",0,17,1,2,3,2,3,1,1,21,23,21,23,0.0725907982588765,0.927409201741124,0.927409201741124,0,1,1,1,0.927409201741124
"standard prompt","gpt-3.5-turbo-0125",0,18,0,0,1,1,0,0,1,15,19,19,15,0.997388806243433,0.00261119375656753,0.997388806243433,1,0,1,1,0.997388806243433
"standard prompt","gpt-3.5-turbo-0125",0,19,1,2,3,3,2,0,1,21,24,24,21,0.993727943737555,0.00627205626244526,0.993727943737555,1,0,1,1,0.993727943737555
"standard prompt","gpt-3.5-turbo-0125",0,20,3,6,7,7,6,0,1,33,35,35,33,0.991933449032451,0.00806655096754933,0.991933449032451,1,0,1,1,0.991933449032451
"standard prompt","gpt-3.5-turbo-0125",0,21,2,4,5,5,4,0,1,27,29,29,27,0.999667231731504,0.000332768268495748,0.999667231731504,1,0,1,1,0.999667231731504
"standard prompt","gpt-3.5-turbo-0125",0,22,0,0,1,0,1,1,1,15,16,15,16,0.0318607552555522,0.968139244744448,0.968139244744448,0,1,1,1,0.968139244744448
"standard prompt","gpt-3.5-turbo-0125",0,23,2,4,5,4,5,1,1,27,31,27,31,0.0123268765514315,0.987673123448569,0.987673123448569,0,1,1,1,0.987673123448569
"standard prompt","gpt-3.5-turbo-0125",0,24,0,0,1,1,0,0,1,15,16,16,15,0.99604316101076,0.00395683898923981,0.99604316101076,1,0,1,1,0.99604316101076
"standard prompt","gpt-3.5-turbo-0125",0,25,2,4,5,5,4,0,1,26,29,29,26,0.998769317705697,0.00123068229430249,0.998769317705697,1,0,1,1,0.998769317705697
"standard prompt","gpt-3.5-turbo-0125",0,26,1,2,3,2,3,1,1,22,24,22,24,0.0853605947353548,0.914639405264645,0.914639405264645,0,1,1,1,0.914639405264645
"standard prompt","gpt-3.5-turbo-0125",0,27,1,2,3,3,2,0,1,22,22,22,22,0.992681797387699,0.00731820261230054,0.992681797387699,1,0,1,1,0.992681797387699
"standard prompt","gpt-3.5-turbo-0125",0,28,1,2,3,2,3,1,1,20,23,20,23,0.21724749528477,0.78275250471523,0.78275250471523,0,1,1,1,0.78275250471523
"standard prompt","gpt-3.5-turbo-0125",0,29,0,0,1,0,1,1,1,16,18,16,18,0.083101068225118,0.916898931774882,0.916898931774882,0,1,1,1,0.916898931774882
"standard prompt","gpt-3.5-turbo-0125",0,30,1,2,3,2,3,1,1,23,23,23,23,0.123745547707316,0.876254452292684,0.876254452292684,0,1,1,1,0.876254452292684
"standard prompt","gpt-3.5-turbo-0125",0,31,2,4,5,4,5,1,1,27,31,27,31,0.0274245483574343,0.972575451642566,0.972575451642566,0,1,1,1,0.972575451642566
"standard prompt","gpt-3.5-turbo-0125",0,32,3,6,7,6,7,1,1,32,35,32,35,0.0462989702716284,0.953701029728372,0.953701029728372,0,1,1,1,0.953701029728372
"standard prompt","gpt-3.5-turbo-0125",0,33,3,6,7,6,7,1,1,32,34,32,34,0.0381964584179615,0.961803541582039,0.961803541582039,0,1,1,1,0.961803541582039
"standard prompt","gpt-3.5-turbo-0125",0,34,2,4,5,4,5,1,1,25,31,25,31,0.0322970177810875,0.967702982218913,0.967702982218913,0,1,1,1,0.967702982218913
"standard prompt","gpt-3.5-turbo-0125",0,35,3,6,7,6,7,1,1,32,36,32,36,0.0549916609678508,0.945008339032149,0.945008339032149,0,1,1,1,0.945008339032149
"standard prompt","gpt-3.5-turbo-0125",0,36,3,6,7,7,6,0,1,34,35,35,34,0.996651871927838,0.00334812807216226,0.996651871927838,1,0,1,1,0.996651871927838
"standard prompt","gpt-3.5-turbo-0125",0,37,3,6,7,6,7,1,1,32,36,32,36,0.0745940939340244,0.925405906065976,0.925405906065976,0,1,1,1,0.925405906065976
"standard prompt","gpt-3.5-turbo-0125",0,38,0,0,1,1,0,0,1,17,18,18,17,0.993690141619026,0.006309858380974,0.993690141619026,1,0,1,1,0.993690141619026
"standard prompt","gpt-3.5-turbo-0125",0,39,2,4,5,5,4,0,1,25,29,29,25,0.998543220404438,0.00145677959556181,0.998543220404438,1,0,1,1,0.998543220404438
"standard prompt","gpt-3.5-turbo-0125",0,40,2,4,5,5,4,0,1,27,28,28,27,0.998455032771063,0.00154496722893706,0.998455032771063,1,0,1,1,0.998455032771063
"standard prompt","gpt-3.5-turbo-0125",0,41,3,6,7,6,7,1,1,33,35,33,35,0.0625168412459245,0.937483158754076,0.937483158754076,0,1,1,1,0.937483158754076
