trial,context,L_index,H_index,L_option,H_option,left_index,right_index,left_option,right_option,choice,accuracy,chose_left,L_outcome,H_outcome
0,1,2,3,A,C,2,3,A,C,,-99,-99,21,24
1,2,4,5,F,B,4,5,F,B,,-99,-99,25,29
2,0,0,1,D,H,0,1,D,H,,-99,-99,15,17
3,0,0,1,D,H,1,0,H,D,,-99,-99,16,19
4,3,6,7,E,G,7,6,G,E,,-99,-99,33,35
5,0,0,1,D,H,0,1,D,H,,-99,-99,16,16
6,1,2,3,A,C,2,3,A,C,,-99,-99,20,23
7,2,4,5,F,B,5,4,B,F,,-99,-99,28,30
8,1,2,3,A,C,3,2,C,A,,-99,-99,21,22
9,2,4,5,F,B,5,4,B,F,,-99,-99,26,30
10,3,6,7,E,G,7,6,G,E,,-99,-99,34,37
11,2,4,5,F,B,5,4,B,F,,-99,-99,27,30
12,1,2,3,A,C,3,2,C,A,,-99,-99,21,23
13,2,4,5,F,B,4,5,F,B,,-99,-99,27,29
14,1,2,3,A,C,3,2,C,A,,-99,-99,21,24
15,0,0,1,D,H,1,0,H,D,,-99,-99,14,17
16,1,2,3,A,C,2,3,A,C,,-99,-99,21,24
17,2,4,5,F,B,4,5,F,B,,-99,-99,26,28
18,0,0,1,D,H,1,0,H,D,,-99,-99,16,17
19,3,6,7,E,G,7,6,G,E,,-99,-99,32,37
20,1,2,3,A,C,2,3,A,C,,-99,-99,22,22
21,2,4,5,F,B,5,4,B,F,,-99,-99,26,29
22,2,4,5,F,B,5,4,B,F,,-99,-99,27,29
23,0,0,1,D,H,1,0,H,D,,-99,-99,15,17
24,0,0,1,D,H,0,1,D,H,,-99,-99,13,18
25,3,6,7,E,G,6,7,E,G,,-99,-99,33,35
26,3,6,7,E,G,6,7,E,G,,-99,-99,32,35
27,3,6,7,E,G,6,7,E,G,,-99,-99,33,36
28,2,4,5,F,B,4,5,F,B,,-99,-99,26,29
29,0,0,1,D,H,1,0,H,D,,-99,-99,15,16
30,1,2,3,A,C,2,3,A,C,,-99,-99,20,24
31,3,6,7,E,G,6,7,E,G,,-99,-99,32,35
32,2,4,5,F,B,5,4,B,F,,-99,-99,26,29
33,1,2,3,A,C,3,2,C,A,,-99,-99,21,23
34,3,6,7,E,G,7,6,G,E,,-99,-99,33,36
35,0,0,1,D,H,0,1,D,H,,-99,-99,13,16
36,0,0,1,D,H,0,1,D,H,,-99,-99,13,18
37,3,6,7,E,G,7,6,G,E,,-99,-99,34,36
38,3,6,7,E,G,7,6,G,E,,-99,-99,30,35
39,1,2,3,A,C,2,3,A,C,,-99,-99,22,22
0,99,0,1,D,H,0,1,D,H,H,1,0,0,0
1,99,0,2,D,A,0,2,D,A,D,0,1,0,0
2,99,0,3,D,C,3,0,C,D,C,1,1,0,0
3,99,0,4,D,F,0,4,D,F,F,1,0,0,0
4,99,0,5,D,B,5,0,B,D,B,1,1,0,0
5,99,0,6,D,E,0,6,D,E,D,0,1,0,0
6,99,0,7,D,G,0,7,D,G,G,1,0,0,0
7,99,1,2,H,A,2,1,A,H,A,1,1,0,0
8,99,1,3,H,C,3,1,C,H,C,1,1,0,0
9,99,1,4,H,F,4,1,F,H,F,1,1,0,0
10,99,1,5,H,B,5,1,B,H,B,1,1,0,0
11,99,1,6,H,E,1,6,H,E,H,0,1,0,0
12,99,1,7,H,G,7,1,G,H,G,1,1,0,0
13,99,2,3,A,C,3,2,C,A,C,1,1,0,0
14,99,2,4,A,F,4,2,F,A,F,1,1,0,0
15,99,2,5,A,B,5,2,B,A,B,1,1,0,0
16,99,2,6,A,E,2,6,A,E,A,0,1,0,0
17,99,2,7,A,G,2,7,A,G,G,1,0,0,0
18,99,3,4,C,F,4,3,F,C,F,1,1,0,0
19,99,3,5,C,B,5,3,B,C,B,1,1,0,0
20,99,3,6,C,E,3,6,C,E,C,0,1,0,0
21,99,3,7,C,G,3,7,C,G,C,0,1,0,0
22,99,4,5,F,B,5,4,B,F,B,1,1,0,0
23,99,4,6,F,E,4,6,F,E,F,0,1,0,0
24,99,4,7,F,G,7,4,G,F,G,1,1,0,0
25,99,5,6,B,E,5,6,B,E,B,0,1,0,0
26,99,5,7,B,G,5,7,B,G,G,1,0,0,0
27,99,6,7,E,G,6,7,E,G,G,1,0,0,0
