"condition","model","id","trial","context","L_index","H_index","left_index","right_index","choice_idx","accuracy","L_outcome","H_outcome","left_outcome","right_outcome","M7_predL","M7_predR","M7_pACC","left_REL","right_REL","target_trial","chose_REL","M7_pREL"
"standard prompt","gpt-3.5-turbo-0125",0,0,1,2,3,3,2,0,1,0,0,0,0,0.751315611029677,0.248684388970323,0.751315611029677,1,0,1,1,0.751315611029677
"standard prompt","gpt-3.5-turbo-0125",0,1,1,2,3,3,2,0,1,1,1,1,1,0.805013155195922,0.194986844804078,0.805013155195922,1,0,1,1,0.805013155195922
"standard prompt","gpt-3.5-turbo-0125",0,2,1,2,3,3,2,1,0,0,1,1,0,0.849439511231,0.150560488769,0.849439511231,1,0,1,0,0.849439511231
"standard prompt","gpt-3.5-turbo-0125",0,3,1,2,3,3,2,0,1,0,1,1,0,0.893798911693851,0.106201088306149,0.893798911693851,1,0,1,1,0.893798911693851
"standard prompt","gpt-3.5-turbo-0125",0,4,0,0,1,0,1,0,0,0,1,0,1,0.751315611029677,0.248684388970323,0.248684388970323,0,1,1,0,0.248684388970323
"standard prompt","gpt-3.5-turbo-0125",0,5,0,0,1,1,0,0,1,0,1,1,0,0.823782086128636,0.176217913871364,0.823782086128636,1,0,1,1,0.823782086128636
"standard prompt","gpt-3.5-turbo-0125",0,6,0,0,1,0,1,1,1,0,1,0,1,0.418284489886856,0.581715510113144,0.581715510113144,0,1,1,1,0.581715510113144
"standard prompt","gpt-3.5-turbo-0125",0,7,0,0,1,1,0,0,1,0,1,1,0,0.967632549140483,0.0323674508595168,0.967632549140483,1,0,1,1,0.967632549140483
"standard prompt","gpt-3.5-turbo-0125",0,8,0,0,1,1,0,0,1,0,1,1,0,0.984206736656312,0.0157932633436876,0.984206736656312,1,0,1,1,0.984206736656312
"standard prompt","gpt-3.5-turbo-0125",0,9,1,2,3,2,3,1,1,1,1,1,1,0.302797476002451,0.697202523997549,0.697202523997549,0,1,1,1,0.697202523997549
"standard prompt","gpt-3.5-turbo-0125",0,10,0,0,1,1,0,0,1,0,0,0,0,0.991525226832239,0.00847477316776065,0.991525226832239,1,0,1,1,0.991525226832239
"standard prompt","gpt-3.5-turbo-0125",0,11,1,2,3,3,2,0,1,1,1,1,1,0.959318615540626,0.0406813844593736,0.959318615540626,1,0,1,1,0.959318615540626
"standard prompt","gpt-3.5-turbo-0125",0,12,0,0,1,1,0,0,1,0,1,1,0,0.991047180318369,0.00895281968163141,0.991047180318369,1,0,1,1,0.991047180318369
"standard prompt","gpt-3.5-turbo-0125",0,13,0,0,1,1,0,0,1,1,0,0,1,0.994804916516269,0.00519508348373098,0.994804916516269,1,0,1,1,0.994804916516269
"standard prompt","gpt-3.5-turbo-0125",0,14,1,2,3,3,2,0,1,1,1,1,1,0.962176081464827,0.0378239185351727,0.962176081464827,1,0,1,1,0.962176081464827
"standard prompt","gpt-3.5-turbo-0125",0,15,1,2,3,3,2,0,1,0,1,1,0,0.963724255834508,0.0362757441654918,0.963724255834508,1,0,1,1,0.963724255834508
"standard prompt","gpt-3.5-turbo-0125",0,16,1,2,3,2,3,1,1,0,1,0,1,0.139464473771626,0.860535526228374,0.860535526228374,0,1,1,1,0.860535526228374
"standard prompt","gpt-3.5-turbo-0125",0,17,0,0,1,1,0,0,1,0,1,1,0,0.989799730560294,0.0102002694397058,0.989799730560294,1,0,1,1,0.989799730560294
"standard prompt","gpt-3.5-turbo-0125",0,18,0,0,1,1,0,0,1,1,1,1,1,0.994187375526607,0.00581262447339284,0.994187375526607,1,0,1,1,0.994187375526607
"standard prompt","gpt-3.5-turbo-0125",0,19,0,0,1,0,1,1,1,0,0,0,0,0.0544564631047633,0.945543536895237,0.945543536895237,0,1,1,1,0.945543536895237
"standard prompt","gpt-3.5-turbo-0125",0,20,0,0,1,0,1,1,1,0,0,0,0,0.0585664340261923,0.941433565973808,0.941433565973808,0,1,1,1,0.941433565973808
"standard prompt","gpt-3.5-turbo-0125",0,21,0,0,1,0,1,1,1,0,0,0,0,0.0640101627608148,0.935989837239185,0.935989837239185,0,1,1,1,0.935989837239185
"standard prompt","gpt-3.5-turbo-0125",0,22,0,0,1,1,0,0,1,0,0,0,0,0.991721485071825,0.00827851492817472,0.991721485071825,1,0,1,1,0.991721485071825
"standard prompt","gpt-3.5-turbo-0125",0,23,1,2,3,2,3,1,1,1,1,1,1,0.0784160660369064,0.921583933963094,0.921583933963094,0,1,1,1,0.921583933963094
"standard prompt","gpt-3.5-turbo-0125",0,24,0,0,1,1,0,0,1,1,0,0,1,0.990694565176806,0.00930543482319347,0.990694565176806,1,0,1,1,0.990694565176806
"standard prompt","gpt-3.5-turbo-0125",0,25,0,0,1,1,0,0,1,0,0,0,0,0.982406407946427,0.017593592053573,0.982406407946427,1,0,1,1,0.982406407946427
"standard prompt","gpt-3.5-turbo-0125",0,26,1,2,3,3,2,0,1,0,1,1,0,0.989770816450617,0.0102291835493831,0.989770816450617,1,0,1,1,0.989770816450617
"standard prompt","gpt-3.5-turbo-0125",0,27,1,2,3,2,3,1,1,1,1,1,1,0.0507790058977428,0.949220994102257,0.949220994102257,0,1,1,1,0.949220994102257
"standard prompt","gpt-3.5-turbo-0125",0,28,0,0,1,1,0,0,1,0,0,0,0,0.981421755984528,0.018578244015472,0.981421755984528,1,0,1,1,0.981421755984528
"standard prompt","gpt-3.5-turbo-0125",0,29,1,2,3,3,2,0,1,1,1,1,1,0.993179887351986,0.00682011264801427,0.993179887351986,1,0,1,1,0.993179887351986
"standard prompt","gpt-3.5-turbo-0125",0,30,0,0,1,1,0,0,1,0,0,0,0,0.98012749302838,0.0198725069716204,0.98012749302838,1,0,1,1,0.98012749302838
"standard prompt","gpt-3.5-turbo-0125",0,31,1,2,3,2,3,1,1,1,1,1,1,0.0685285498964146,0.931471450103585,0.931471450103585,0,1,1,1,0.931471450103585
"standard prompt","gpt-3.5-turbo-0125",0,32,1,2,3,2,3,1,1,1,1,1,1,0.0795018017650039,0.920498198234996,0.920498198234996,0,1,1,1,0.920498198234996
"standard prompt","gpt-3.5-turbo-0125",0,33,0,0,1,0,1,1,1,0,1,0,1,0.166823413295575,0.833176586704425,0.833176586704425,0,1,1,1,0.833176586704425
"standard prompt","gpt-3.5-turbo-0125",0,34,0,0,1,1,0,0,1,0,0,0,0,0.988948066956651,0.0110519330433488,0.988948066956651,1,0,1,1,0.988948066956651
"standard prompt","gpt-3.5-turbo-0125",0,35,1,2,3,2,3,1,1,1,1,1,1,0.0919561583020491,0.908043841697951,0.908043841697951,0,1,1,1,0.908043841697951
"standard prompt","gpt-3.5-turbo-0125",0,36,0,0,1,1,0,0,1,0,1,1,0,0.98735650148685,0.0126434985131497,0.98735650148685,1,0,1,1,0.98735650148685
