"condition","model","id","trial","context","L_index","M_index","H_index","left_index","middle_index","right_index","choice_idx","accuracy","L_outcome","M_outcome","H_outcome","left_outcome","middle_outcome","right_outcome"
"standard prompt","gpt-3.5-turbo-0125",0,0,2,5,-99,6,6,-99,5,0,1,15,0,87,87,0,15
"standard prompt","gpt-3.5-turbo-0125",0,1,1,2,3,4,4,3,2,0,1,14,34,47,47,34,14
"standard prompt","gpt-3.5-turbo-0125",0,2,0,0,-99,1,0,-99,1,0,0,15,0,48,15,0,48
"standard prompt","gpt-3.5-turbo-0125",0,3,0,0,-99,1,1,-99,0,0,1,14,0,47,47,0,14
"standard prompt","gpt-3.5-turbo-0125",0,4,0,0,-99,1,1,-99,0,0,1,18,0,47,47,0,18
"standard prompt","gpt-3.5-turbo-0125",0,5,2,5,-99,6,5,-99,6,1,1,12,0,82,12,0,82
"standard prompt","gpt-3.5-turbo-0125",0,6,1,2,3,4,4,2,3,0,1,15,31,48,48,15,31
"standard prompt","gpt-3.5-turbo-0125",0,7,0,0,-99,1,0,-99,1,1,1,15,0,51,15,0,51
"standard prompt","gpt-3.5-turbo-0125",0,8,3,7,8,9,9,7,8,0,1,14,52,85,85,14,52
"standard prompt","gpt-3.5-turbo-0125",0,9,3,7,8,9,9,8,7,0,1,12,51,85,85,51,12
"standard prompt","gpt-3.5-turbo-0125",0,10,0,0,-99,1,0,-99,1,1,1,10,0,47,10,0,47
"standard prompt","gpt-3.5-turbo-0125",0,11,2,5,-99,6,5,-99,6,1,1,14,0,87,14,0,87
"standard prompt","gpt-3.5-turbo-0125",0,12,0,0,-99,1,0,-99,1,1,1,13,0,52,13,0,52
"standard prompt","gpt-3.5-turbo-0125",0,13,2,5,-99,6,5,-99,6,1,1,12,0,90,12,0,90
"standard prompt","gpt-3.5-turbo-0125",0,14,1,2,3,4,4,2,3,0,1,14,34,49,49,14,34
"standard prompt","gpt-3.5-turbo-0125",0,15,1,2,3,4,4,2,3,0,1,15,33,49,49,15,33
"standard prompt","gpt-3.5-turbo-0125",0,16,3,7,8,9,7,9,8,1,1,11,51,84,11,84,51
"standard prompt","gpt-3.5-turbo-0125",0,17,3,7,8,9,8,9,7,1,1,13,49,83,49,83,13
"standard prompt","gpt-3.5-turbo-0125",0,18,0,0,-99,1,0,-99,1,1,1,10,0,48,10,0,48
