trial,context,L_index,H_index,L_option,H_option,left_index,right_index,left_option,right_option,choice,accuracy,chose_left,L_outcome,H_outcome
0,0,0,1,E,G,0,1,E,G,I would choose slot machine E.,0,1,20.0,25.0
1,2,4,5,C,B,5,4,B,C,I would choose slot machine B.,1,1,28.0,27.0
2,3,6,7,D,H,7,6,H,D,I would choose slot machine H.,1,1,44.0,34.0
3,3,6,7,D,H,7,6,H,D,I would choose slot machine D.,0,0,29.0,34.0
4,3,6,7,D,H,6,7,D,H,I would choose slot machine D.,0,1,29.0,34.0
5,0,0,1,E,G,0,1,E,G,I would choose slot machine G.,1,0,20.0,25.0
6,2,4,5,C,B,5,4,B,C,I would choose slot machine B.,1,1,28.0,27.0
7,3,6,7,D,H,6,7,D,H,I would choose slot machine D.,0,1,29.0,34.0
8,0,0,1,E,G,0,1,E,G,I would choose slot machine G.,1,0,20.0,25.0
9,1,2,3,A,F,3,2,F,A,I would choose slot machine F.,1,1,12.0,26.0
10,0,0,1,E,G,0,1,E,G,I would choose slot machine E.,0,1,20.0,10.0
11,2,4,5,C,B,4,5,C,B,I would choose slot machine B.,1,0,28.0,42.0
12,1,2,3,A,F,3,2,F,A,I would choose slot machine F.,1,1,27.0,26.0
13,0,0,1,E,G,0,1,E,G,I would choose slot machine E.,0,1,20.0,25.0
14,2,4,5,C,B,5,4,B,C,I would choose slot machine B.,1,1,28.0,27.0
15,3,6,7,D,H,7,6,H,D,I would choose slot machine H.,1,1,29.0,34.0
16,2,4,5,C,B,4,5,C,B,I would choose slot machine C.,0,1,28.0,27.0
17,1,2,3,A,F,3,2,F,A,I would choose slot machine F.,1,1,12.0,26.0
18,1,2,3,A,F,3,2,F,A,I would choose slot machine F.,1,1,12.0,26.0
19,3,6,7,D,H,6,7,D,H,I would choose slot machine D.,0,1,29.0,34.0
20,2,4,5,C,B,4,5,C,B,I would choose slot machine C.,0,1,28.0,27.0
21,3,6,7,D,H,6,7,D,H,I would choose slot machine H.,1,0,29.0,34.0
22,0,0,1,E,G,1,0,G,E,I would choose slot machine G.,1,1,20.0,25.0
23,1,2,3,A,F,2,3,A,F,I would choose slot machine F.,1,0,27.0,26.0
24,3,6,7,D,H,7,6,H,D,I would choose slot machine H.,1,1,29.0,34.0
25,0,0,1,E,G,0,1,E,G,I would choose slot machine E.,0,1,20.0,25.0
26,3,6,7,D,H,7,6,H,D,I would choose slot machine H.,1,1,29.0,34.0
27,1,2,3,A,F,2,3,A,F,I would choose slot machine F.,1,0,27.0,26.0
28,3,6,7,D,H,7,6,H,D,I would choose slot machine H.,1,1,29.0,34.0
29,1,2,3,A,F,3,2,F,A,I would choose slot machine F.,1,1,27.0,26.0
30,0,0,1,E,G,0,1,E,G,I would choose slot machine E.,0,1,20.0,25.0
31,2,4,5,C,B,5,4,B,C,I would choose slot machine B.,1,1,28.0,27.0
32,2,4,5,C,B,5,4,B,C,I would choose slot machine B.,1,1,28.0,27.0
33,2,4,5,C,B,4,5,C,B,I would choose slot machine C.,0,1,28.0,27.0
34,0,0,1,E,G,1,0,G,E,I would choose slot machine G.,1,1,20.0,25.0
35,2,4,5,C,B,5,4,B,C,I would choose slot machine B.,1,1,28.0,27.0
36,2,4,5,C,B,5,4,B,C,I would choose slot machine B.,1,1,28.0,42.0
37,3,6,7,D,H,6,7,D,H,I would choose slot machine D.,0,1,44.0,34.0
38,2,4,5,C,B,4,5,C,B,I would choose slot machine B.,1,0,28.0,27.0
39,0,0,1,E,G,0,1,E,G,I would choose slot machine E.,0,1,20.0,25.0
40,0,0,1,E,G,0,1,E,G,I would choose slot machine E.,0,1,20.0,10.0
41,0,0,1,E,G,0,1,E,G,I would choose slot machine E.,0,1,20.0,25.0
42,1,2,3,A,F,3,2,F,A,I would choose slot machine F.,1,1,27.0,26.0
43,1,2,3,A,F,3,2,F,A,I would choose slot machine F.,1,1,27.0,26.0
44,2,4,5,C,B,5,4,B,C,I would choose slot machine B.,1,1,28.0,27.0
