trial,context,L_index,H_index,L_option,H_option,left_index,right_index,left_option,right_option,choice,accuracy,chose_left,L_outcome,H_outcome
0,1,2,3,E,D,3,2,D,E,I would choose slot machine E.,0,0,27.0,26.0
1,0,0,1,F,A,0,1,F,A,I would choose slot machine F.,0,1,20.0,25.0
2,1,2,3,E,D,3,2,D,E,I would choose slot machine E.,0,0,12.0,26.0
3,2,4,5,G,C,4,5,G,C,I would choose slot machine C.,1,0,28.0,27.0
4,1,2,3,E,D,3,2,D,E,I would choose slot machine D.,1,1,27.0,26.0
5,0,0,1,F,A,0,1,F,A,I would choose slot machine A.,1,0,20.0,25.0
6,1,2,3,E,D,3,2,D,E,I would choose slot machine E.,0,0,12.0,26.0
7,2,4,5,G,C,5,4,C,G,I would choose slot machine G.,0,0,28.0,27.0
8,2,4,5,G,C,4,5,G,C,I would choose slot machine G.,0,1,28.0,27.0
9,0,0,1,F,A,1,0,A,F,I would choose slot machine A.,1,1,20.0,25.0
10,3,6,7,H,B,6,7,H,B,I would choose slot machine H.,0,1,29.0,34.0
11,0,0,1,F,A,1,0,A,F,I would choose slot machine A.,1,1,20.0,10.0
12,3,6,7,H,B,6,7,H,B,I would choose slot machine B.,1,0,29.0,34.0
13,3,6,7,H,B,6,7,H,B,I would choose slot machine B.,1,0,29.0,34.0
14,0,0,1,F,A,1,0,A,F,I would choose slot machine A.,1,1,20.0,25.0
15,3,6,7,H,B,7,6,B,H,I would choose slot machine B.,1,1,29.0,34.0
16,0,0,1,F,A,0,1,F,A,I would choose slot machine A.,1,0,20.0,25.0
17,0,0,1,F,A,0,1,F,A,I would choose slot machine A.,1,0,20.0,25.0
18,1,2,3,E,D,2,3,E,D,I would choose slot machine D.,1,0,27.0,26.0
19,0,0,1,F,A,0,1,F,A,I would choose slot machine A.,1,0,20.0,10.0
20,2,4,5,G,C,4,5,G,C,I would choose slot machine G.,0,1,28.0,27.0
21,0,0,1,F,A,0,1,F,A,I would choose slot machine A.,1,0,20.0,25.0
22,2,4,5,G,C,5,4,C,G,I would choose slot machine G.,0,0,28.0,27.0
23,1,2,3,E,D,2,3,E,D,I would choose slot machine E.,0,1,27.0,26.0
24,2,4,5,G,C,4,5,G,C,I would choose slot machine G.,0,1,28.0,27.0
25,3,6,7,H,B,6,7,H,B,I would choose slot machine B.,1,0,29.0,34.0
26,3,6,7,H,B,6,7,H,B,I would choose slot machine B.,1,0,29.0,34.0
27,2,4,5,G,C,5,4,C,G,I would choose slot machine G.,0,0,28.0,42.0
28,1,2,3,E,D,2,3,E,D,I would choose slot machine E.,0,1,27.0,26.0
29,3,6,7,H,B,6,7,H,B,I would choose slot machine B.,1,0,29.0,34.0
30,2,4,5,G,C,5,4,C,G,I would choose slot machine C.,1,1,28.0,27.0
31,2,4,5,G,C,4,5,G,C,I would choose slot machine G.,0,1,28.0,27.0
32,0,0,1,F,A,1,0,A,F,I would choose slot machine A.,1,1,20.0,25.0
33,0,0,1,F,A,0,1,F,A,I would choose slot machine A.,1,0,20.0,25.0
34,1,2,3,E,D,3,2,D,E,I would choose slot machine D.,1,1,27.0,26.0
35,0,0,1,F,A,0,1,F,A,I would choose slot machine A.,1,0,20.0,25.0
36,1,2,3,E,D,2,3,E,D,I would choose slot machine E.,0,1,27.0,26.0
