trial,context,L_index,H_index,L_option,H_option,left_index,right_index,left_option,right_option,choice,accuracy,chose_left,L_outcome,H_outcome
0,0,0,1,E,G,0,1,E,G,I would choose slot machine E.,0,1,13,16
1,2,4,5,H,C,5,4,C,H,I would choose slot machine H.,0,0,26,29
2,3,6,7,F,A,6,7,F,A,I would choose slot machine F.,0,1,33,36
3,1,2,3,D,B,3,2,B,D,I would choose slot machine B.,1,1,17,24
4,1,2,3,D,B,2,3,D,B,I would choose slot machine B.,1,0,22,22
5,3,6,7,F,A,6,7,F,A,I would choose slot machine A.,1,0,30,35
6,0,0,1,E,G,1,0,G,E,I would choose slot machine G.,1,1,12,17
7,2,4,5,H,C,4,5,H,C,I would choose slot machine C.,1,0,28,29
8,2,4,5,H,C,4,5,H,C,I would choose slot machine C.,1,0,27,29
9,3,6,7,F,A,6,7,F,A,I would choose slot machine A.,1,0,31,36
10,0,0,1,E,G,1,0,G,E,I would choose slot machine G.,1,1,14,19
11,3,6,7,F,A,6,7,F,A,I would choose slot machine A.,1,0,33,36
12,2,4,5,H,C,5,4,C,H,I would choose slot machine C.,1,1,27,32
13,2,4,5,H,C,4,5,H,C,I would choose slot machine C.,1,0,26,29
14,3,6,7,F,A,7,6,A,F,I would choose slot machine A.,1,1,33,36
15,2,4,5,H,C,5,4,C,H,I would choose slot machine C.,1,1,26,29
16,3,6,7,F,A,6,7,F,A,I would choose slot machine A.,1,0,33,36
17,3,6,7,F,A,7,6,A,F,I would choose slot machine A.,1,1,32,35
18,1,2,3,D,B,3,2,B,D,I would choose slot machine B.,1,1,22,24
19,1,2,3,D,B,2,3,D,B,I would choose slot machine B.,1,0,21,22
20,3,6,7,F,A,6,7,F,A,I would choose slot machine A.,1,0,31,36
21,2,4,5,H,C,4,5,H,C,I would choose slot machine C.,1,0,27,29
22,1,2,3,D,B,3,2,B,D,I would choose slot machine B.,1,1,21,23
23,1,2,3,D,B,2,3,D,B,I would choose slot machine B.,1,0,21,22
24,1,2,3,D,B,2,3,D,B,I would choose slot machine B.,1,0,22,25
25,2,4,5,H,C,4,5,H,C,I would choose slot machine C.,1,0,26,30
26,1,2,3,D,B,2,3,D,B,I would choose slot machine B.,1,0,22,23
27,1,2,3,D,B,2,3,D,B,I would choose slot machine B.,1,0,20,24
28,0,0,1,E,G,1,0,G,E,I would choose slot machine G.,1,1,14,18
29,0,0,1,E,G,1,0,G,E,I would choose slot machine G.,1,1,14,17
30,2,4,5,H,C,4,5,H,C,I would choose slot machine C.,1,0,27,30
31,2,4,5,H,C,4,5,H,C,I would choose slot machine C.,1,0,28,30
32,3,6,7,F,A,7,6,A,F,I would choose slot machine A.,1,1,31,35
33,0,0,1,E,G,0,1,E,G,I would choose slot machine G.,1,0,14,18
34,0,0,1,E,G,0,1,E,G,I would choose slot machine G.,1,0,15,16
35,2,4,5,H,C,4,5,H,C,I would choose slot machine C.,1,0,27,30
36,3,6,7,F,A,6,7,F,A,I would choose slot machine A.,1,0,33,36
37,0,0,1,E,G,1,0,G,E,I would choose slot machine G.,1,1,14,18
38,0,0,1,E,G,0,1,E,G,I would choose slot machine G.,1,0,12,18
39,3,6,7,F,A,7,6,A,F,I would choose slot machine A.,1,1,34,35
40,3,6,7,F,A,7,6,A,F,I would choose slot machine A.,1,1,32,34
41,1,2,3,D,B,3,2,B,D,I would choose slot machine B.,1,1,20,26
42,0,0,1,E,G,1,0,G,E,I would choose slot machine G.,1,1,14,16
43,0,0,1,E,G,0,1,E,G,I would choose slot machine G.,1,0,14,18
44,0,0,1,E,G,1,0,G,E,I would choose slot machine G.,1,1,15,17
45,3,6,7,F,A,7,6,A,F,I would choose slot machine A.,1,1,31,35
46,2,4,5,H,C,5,4,C,H,I would choose slot machine C.,1,1,27,28
47,1,2,3,D,B,2,3,D,B,I would choose slot machine B.,1,0,20,23
48,1,2,3,D,B,2,3,D,B,I would choose slot machine B.,1,0,20,24
49,3,6,7,F,A,7,6,A,F,I would choose slot machine A.,1,1,33,35
50,1,2,3,D,B,3,2,B,D,I would choose slot machine B.,1,1,21,24
