trial,context,L_index,H_index,L_option,H_option,left_index,right_index,left_option,right_option,choice,accuracy,chose_left,L_outcome,H_outcome
0,0,0,1,E,H,1,0,H,E,H,1,1,14,18
1,1,2,3,F,A,2,3,F,A,F,0,1,20,24
2,1,2,3,F,A,3,2,A,F,A,1,1,20,24
3,2,4,5,B,C,4,5,B,C,B,0,1,26,29
4,3,6,7,G,D,7,6,D,G,D,1,1,33,36
5,1,2,3,F,A,2,3,F,A,A,1,0,21,23
6,3,6,7,G,D,6,7,G,D,D,1,0,33,35
7,3,6,7,G,D,6,7,G,D,G,0,1,33,36
8,3,6,7,G,D,6,7,G,D,D,1,0,32,34
9,2,4,5,B,C,4,5,B,C,C,1,0,26,32
10,0,0,1,E,H,1,0,H,E,H,1,1,13,17
11,2,4,5,B,C,4,5,B,C,C,1,0,27,29
12,3,6,7,G,D,6,7,G,D,D,1,0,34,36
13,0,0,1,E,H,1,0,H,E,H,1,1,15,19
14,1,2,3,F,A,3,2,A,F,A,1,1,20,24
15,3,6,7,G,D,6,7,G,D,D,1,0,33,36
16,3,6,7,G,D,7,6,D,G,D,1,1,32,35
17,1,2,3,F,A,3,2,A,F,A,1,1,21,24
18,2,4,5,B,C,4,5,B,C,C,1,0,25,29
19,3,6,7,G,D,7,6,D,G,D,1,1,32,37
20,3,6,7,G,D,6,7,G,D,D,1,0,33,37
21,0,0,1,E,H,1,0,H,E,H,1,1,15,17
22,0,0,1,E,H,1,0,H,E,H,1,1,13,18
23,1,2,3,F,A,2,3,F,A,A,1,0,21,22
24,2,4,5,B,C,4,5,B,C,C,1,0,26,30
25,3,6,7,G,D,6,7,G,D,D,1,0,32,37
26,0,0,1,E,H,1,0,H,E,H,1,1,15,19
27,2,4,5,B,C,5,4,C,B,C,1,1,25,32
28,2,4,5,B,C,5,4,C,B,C,1,1,24,29
29,0,0,1,E,H,1,0,H,E,H,1,1,14,17
30,1,2,3,F,A,2,3,F,A,A,1,0,21,24
31,0,0,1,E,H,0,1,E,H,E,0,1,15,17
32,2,4,5,B,C,5,4,C,B,C,1,1,26,27
33,0,0,1,E,H,1,0,H,E,H,1,1,13,18
34,1,2,3,F,A,3,2,A,F,A,1,1,19,22
35,1,2,3,F,A,3,2,A,F,A,1,1,20,22
36,0,0,1,E,H,1,0,H,E,H,1,1,15,17
37,1,2,3,F,A,3,2,A,F,A,1,1,22,22
38,2,4,5,B,C,5,4,C,B,C,1,1,26,30
39,3,6,7,G,D,6,7,G,D,D,1,0,33,35
40,0,0,1,E,H,1,0,H,E,H,1,1,15,15
41,2,4,5,B,C,5,4,C,B,C,1,1,27,30
42,3,6,7,G,D,7,6,D,G,D,1,1,33,36
43,1,2,3,F,A,2,3,F,A,A,1,0,22,24
44,1,2,3,F,A,3,2,A,F,A,1,1,21,23
45,2,4,5,B,C,4,5,B,C,C,1,0,26,30
46,0,0,1,E,H,1,0,H,E,H,1,1,15,18
47,0,0,1,E,H,1,0,H,E,H,1,1,15,18
48,0,0,1,E,H,1,0,H,E,H,1,1,15,16
49,3,6,7,G,D,7,6,D,G,D,1,1,34,36
50,1,2,3,F,A,3,2,A,F,A,1,1,20,23
51,2,4,5,B,C,4,5,B,C,C,1,0,27,28
52,2,4,5,B,C,4,5,B,C,C,1,0,27,29
53,2,4,5,B,C,5,4,C,B,C,1,1,26,29
54,3,6,7,G,D,7,6,D,G,D,1,1,33,37
55,2,4,5,B,C,5,4,C,B,C,1,1,27,32
56,1,2,3,F,A,2,3,F,A,F,0,1,20,23
57,1,2,3,F,A,3,2,A,F,A,1,1,20,24
58,3,6,7,G,D,6,7,G,D,G,0,1,33,36
59,0,0,1,E,H,1,0,H,E,H,1,1,15,17
0,99,0,1,E,H,1,0,H,E,H,1,1,0,0
1,99,0,2,E,F,0,2,E,F,F,1,0,0,0
2,99,0,3,E,A,3,0,A,E,A,1,1,0,0
3,99,0,4,E,B,4,0,B,E,B,1,1,0,0
4,99,0,5,E,C,5,0,C,E,C,1,1,0,0
5,99,0,6,E,G,0,6,E,G,E,0,1,0,0
6,99,0,7,E,D,0,7,E,D,D,1,0,0,0
7,99,1,2,H,F,1,2,H,F,H,0,1,0,0
8,99,1,3,H,A,1,3,H,A,A,1,0,0,0
9,99,1,4,H,B,4,1,B,H,B,1,1,0,0
10,99,1,5,H,C,5,1,C,H,C,1,1,0,0
11,99,1,6,H,G,1,6,H,G,H,0,1,0,0
12,99,1,7,H,D,7,1,D,H,D,1,1,0,0
13,99,2,3,F,A,3,2,A,F,A,1,1,0,0
14,99,2,4,F,B,4,2,B,F,B,1,1,0,0
15,99,2,5,F,C,2,5,F,C,C,1,0,0,0
16,99,2,6,F,G,6,2,G,F,G,1,1,0,0
17,99,2,7,F,D,2,7,F,D,D,1,0,0,0
18,99,3,4,A,B,3,4,A,B,A,0,1,0,0
19,99,3,5,A,C,3,5,A,C,C,1,0,0,0
20,99,3,6,A,G,3,6,A,G,A,0,1,0,0
21,99,3,7,A,D,3,7,A,D,A,0,1,0,0
22,99,4,5,B,C,4,5,B,C,C,1,0,0,0
23,99,4,6,B,G,6,4,G,B,G,1,1,0,0
24,99,4,7,B,D,4,7,B,D,B,0,1,0,0
25,99,5,6,C,G,5,6,C,G,C,0,1,0,0
26,99,5,7,C,D,5,7,C,D,C,0,1,0,0
27,99,6,7,G,D,6,7,G,D,D,1,0,0,0
