trial,context,L_index,M_index,H_index,L_option,M_option,H_option,left_index,middle_index,right_index,left_option,middle_option,right_option,choice,accuracy,chose_left,L_outcome,M_outcome,H_outcome
0,0,0,-99,1,D,--,C,0,-99,1,D,--,C,I would choose slot machine D.,0,1,15,0,50
1,3,7,8,9,G,F,J,8,9,7,F,J,G,I would choose slot machine F.,0,1,14,49,87
2,0,0,-99,1,D,--,C,1,-99,0,C,--,D,I would choose slot machine C.,1,1,14,0,47
3,2,5,-99,6,H,--,A,6,-99,5,A,--,H,I would choose slot machine A.,1,1,12,0,82
4,3,7,8,9,G,F,J,8,9,7,F,J,G,I would choose slot machine J.,1,0,11,49,82
5,3,7,8,9,G,F,J,7,9,8,G,J,F,I would choose slot machine J.,1,0,12,52,84
6,3,7,8,9,G,F,J,7,9,8,G,J,F,I would choose slot machine J.,1,0,14,49,87
7,2,5,-99,6,H,--,A,5,-99,6,H,--,A,I would choose slot machine A.,1,0,13,0,86
8,3,7,8,9,G,F,J,7,9,8,G,J,F,I would choose slot machine J.,1,0,17,50,81
9,1,2,3,4,I,B,E,4,3,2,E,B,I,I would choose slot machine I.,0,0,14,32,51
10,1,2,3,4,I,B,E,4,2,3,E,I,B,I would choose slot machine E.,1,1,16,30,49
11,3,7,8,9,G,F,J,8,9,7,F,J,G,I would choose slot machine J.,1,0,16,54,85
12,1,2,3,4,I,B,E,3,4,2,B,E,I,I would choose slot machine E.,1,0,14,30,50
13,3,7,8,9,G,F,J,7,9,8,G,J,F,I would choose slot machine J.,1,0,11,49,86
14,1,2,3,4,I,B,E,2,3,4,I,B,E,I would choose slot machine E.,1,0,10,31,49
15,0,0,-99,1,D,--,C,0,-99,1,D,--,C,I would choose slot machine C.,1,0,14,0,46
16,0,0,-99,1,D,--,C,0,-99,1,D,--,C,I would choose slot machine C.,1,0,15,0,49
17,1,2,3,4,I,B,E,4,2,3,E,I,B,I would choose slot machine E.,1,1,14,31,48
18,0,0,-99,1,D,--,C,1,-99,0,C,--,D,I would choose slot machine C.,1,1,13,0,48
19,1,2,3,4,I,B,E,2,3,4,I,B,E,I would choose slot machine E.,1,0,10,31,49
20,3,7,8,9,G,F,J,9,8,7,J,F,G,I would choose slot machine J.,1,1,11,50,87
21,0,0,-99,1,D,--,C,0,-99,1,D,--,C,I would choose slot machine C.,1,0,11,0,48
22,0,0,-99,1,D,--,C,0,-99,1,D,--,C,I would choose slot machine C.,1,0,13,0,49
23,2,5,-99,6,H,--,A,6,-99,5,A,--,H,I would choose slot machine A.,1,1,14,0,83
24,0,0,-99,1,D,--,C,1,-99,0,C,--,D,I would choose slot machine C.,1,1,14,0,53
25,1,2,3,4,I,B,E,2,4,3,I,E,B,I would choose slot machine E.,1,0,14,31,51
26,1,2,3,4,I,B,E,3,4,2,B,E,I,I would choose slot machine E.,1,0,13,32,51
27,3,7,8,9,G,F,J,9,8,7,J,F,G,I would choose slot machine J.,1,1,13,50,90
28,1,2,3,4,I,B,E,4,3,2,E,B,I,I would choose slot machine E.,1,1,10,31,47
29,3,7,8,9,G,F,J,8,7,9,F,G,J,I would choose slot machine J.,1,0,14,48,87
30,2,5,-99,6,H,--,A,6,-99,5,A,--,H,I would choose slot machine A.,1,1,12,0,85
31,1,2,3,4,I,B,E,2,3,4,I,B,E,I would choose slot machine E.,1,0,13,30,48
32,0,0,-99,1,D,--,C,1,-99,0,C,--,D,I would choose slot machine C.,1,1,13,0,48
33,3,7,8,9,G,F,J,8,7,9,F,G,J,I would choose slot machine J.,1,0,12,50,89
34,0,0,-99,1,D,--,C,1,-99,0,C,--,D,I would choose slot machine C.,1,1,16,0,51
35,3,7,8,9,G,F,J,7,8,9,G,F,J,I would choose slot machine J.,1,0,14,49,84
36,2,5,-99,6,H,--,A,5,-99,6,H,--,A,I would choose slot machine A.,1,0,14,0,85
37,2,5,-99,6,H,--,A,5,-99,6,H,--,A,I would choose slot machine A.,1,0,12,0,85
38,1,2,3,4,I,B,E,4,3,2,E,B,I,I would choose slot machine E.,1,1,11,33,50
39,3,7,8,9,G,F,J,7,9,8,G,J,F,I would choose slot machine J.,1,0,17,47,83
40,1,2,3,4,I,B,E,4,3,2,E,B,I,I would choose slot machine E.,1,1,14,27,51
41,2,5,-99,6,H,--,A,6,-99,5,A,--,H,I would choose slot machine A.,1,1,15,0,84
42,2,5,-99,6,H,--,A,5,-99,6,H,--,A,I would choose slot machine A.,1,0,13,0,85
43,2,5,-99,6,H,--,A,5,-99,6,H,--,A,I would choose slot machine A.,1,0,14,0,86
44,3,7,8,9,G,F,J,8,7,9,F,G,J,I would choose slot machine J.,1,0,13,49,85
45,2,5,-99,6,H,--,A,6,-99,5,A,--,H,I would choose slot machine A.,1,1,13,0,83
46,0,0,-99,1,D,--,C,1,-99,0,C,--,D,I would choose slot machine C.,1,1,13,0,51
47,2,5,-99,6,H,--,A,6,-99,5,A,--,H,I would choose slot machine A.,1,1,9,0,86
48,1,2,3,4,I,B,E,3,4,2,B,E,I,I would choose slot machine E.,1,0,15,32,51
49,1,2,3,4,I,B,E,3,4,2,B,E,I,I would choose slot machine E.,1,0,11,29,48
50,0,0,-99,1,D,--,C,1,-99,0,C,--,D,I would choose slot machine C.,1,1,14,0,48
51,2,5,-99,6,H,--,A,6,-99,5,A,--,H,I would choose slot machine A.,1,1,15,0,84
52,2,5,-99,6,H,--,A,6,-99,5,A,--,H,I would choose slot machine A.,1,1,10,0,89
53,0,0,-99,1,D,--,C,1,-99,0,C,--,D,I would choose slot machine C.,1,1,15,0,48
54,2,5,-99,6,H,--,A,6,-99,5,A,--,H,I would choose slot machine A.,1,1,14,0,85
55,0,0,-99,1,D,--,C,0,-99,1,D,--,C,I would choose slot machine C.,1,0,14,0,52
56,2,5,-99,6,H,--,A,6,-99,5,A,--,H,I would choose slot machine A.,1,1,16,0,83
57,0,0,-99,1,D,--,C,1,-99,0,C,--,D,I would choose slot machine C.,1,1,14,0,54
58,3,7,8,9,G,F,J,9,7,8,J,G,F,I would choose slot machine J.,1,1,15,49,84
59,1,2,3,4,I,B,E,2,4,3,I,E,B,I would choose slot machine E.,1,0,14,34,54
0,99,0,-99,1,D,--,C,0,-99,1,D,--,C,I would choose slot machine C.,1,0,0,0,0
1,99,0,-99,2,D,--,I,2,-99,0,I,--,D,I would choose slot machine D.,0,0,0,0,0
2,99,0,-99,3,D,--,B,3,-99,0,B,--,D,I would choose slot machine B.,1,1,0,0,0
3,99,0,-99,4,D,--,E,0,-99,4,D,--,E,I would choose slot machine E.,1,0,0,0,0
4,99,0,-99,5,D,--,H,5,-99,0,H,--,D,I would choose slot machine D.,0,0,0,0,0
5,99,0,-99,6,D,--,A,6,-99,0,A,--,D,I would choose slot machine A.,1,1,0,0,0
6,99,0,-99,7,D,--,G,0,-99,7,D,--,G,I would choose slot machine D.,0,1,0,0,0
7,99,0,-99,8,D,--,F,0,-99,8,D,--,F,I would choose slot machine F.,1,0,0,0,0
8,99,0,-99,9,D,--,J,0,-99,9,D,--,J,I would choose slot machine J.,1,0,0,0,0
9,99,1,-99,2,C,--,I,2,-99,1,I,--,C,I would choose slot machine C.,0,0,0,0,0
10,99,1,-99,3,C,--,B,1,-99,3,C,--,B,I would choose slot machine C.,0,1,0,0,0
11,99,1,-99,4,C,--,E,1,-99,4,C,--,E,I would choose slot machine C.,0,1,0,0,0
12,99,1,-99,5,C,--,H,1,-99,5,C,--,H,I would choose slot machine C.,0,1,0,0,0
13,99,1,-99,6,C,--,A,6,-99,1,A,--,C,I would choose slot machine A.,1,1,0,0,0
14,99,1,-99,7,C,--,G,1,-99,7,C,--,G,I would choose slot machine C.,0,1,0,0,0
15,99,1,-99,8,C,--,F,8,-99,1,F,--,C,I would choose slot machine C.,0,0,0,0,0
16,99,1,-99,9,C,--,J,9,-99,1,J,--,C,I would choose slot machine J.,1,1,0,0,0
17,99,2,-99,3,I,--,B,2,-99,3,I,--,B,I would choose slot machine B.,1,0,0,0,0
18,99,2,-99,4,I,--,E,4,-99,2,E,--,I,I would choose slot machine E.,1,1,0,0,0
19,99,2,-99,5,I,--,H,2,-99,5,I,--,H,I would choose slot machine I.,0,1,0,0,0
20,99,2,-99,6,I,--,A,6,-99,2,A,--,I,I would choose slot machine A.,1,1,0,0,0
21,99,2,-99,7,I,--,G,2,-99,7,I,--,G,I would choose slot machine G.,1,0,0,0,0
22,99,2,-99,8,I,--,F,8,-99,2,F,--,I,I would choose slot machine F.,1,1,0,0,0
23,99,2,-99,9,I,--,J,9,-99,2,J,--,I,I would choose slot machine J.,1,1,0,0,0
24,99,3,-99,4,B,--,E,3,-99,4,B,--,E,I would choose slot machine E.,1,0,0,0,0
