trial,context,L_index,H_index,L_option,H_option,left_index,right_index,left_option,right_option,choice,accuracy,chose_left,L_outcome,H_outcome
0,1,2,3,D,H,2,3,D,H,I would choose slot machine D.,0,1,12.0,26.0
1,1,2,3,D,H,2,3,D,H,I would choose slot machine H.,1,0,27.0,26.0
2,1,2,3,D,H,3,2,H,D,I would choose slot machine D.,0,0,27.0,26.0
3,3,6,7,G,B,6,7,G,B,I would choose slot machine G.,0,1,29.0,34.0
4,0,0,1,E,F,0,1,E,F,I would choose slot machine E.,0,1,20.0,25.0
5,1,2,3,D,H,3,2,H,D,I would choose slot machine H.,1,1,12.0,26.0
6,2,4,5,A,C,5,4,C,A,I would choose slot machine C.,1,1,28.0,27.0
7,1,2,3,D,H,2,3,D,H,I would choose slot machine D.,0,1,27.0,26.0
8,3,6,7,G,B,6,7,G,B,I would choose slot machine B.,1,0,29.0,34.0
9,3,6,7,G,B,7,6,B,G,I would choose slot machine G.,0,0,29.0,34.0
10,2,4,5,A,C,5,4,C,A,I would choose slot machine C.,1,1,28.0,27.0
11,0,0,1,E,F,1,0,F,E,I would choose slot machine F.,1,1,20.0,25.0
12,0,0,1,E,F,1,0,F,E,I would choose slot machine F.,1,1,20.0,25.0
13,2,4,5,A,C,4,5,A,C,I would choose slot machine A.,0,1,28.0,42.0
14,0,0,1,E,F,0,1,E,F,I would choose slot machine F.,1,0,20.0,25.0
15,3,6,7,G,B,7,6,B,G,I would choose slot machine B.,1,1,44.0,34.0
16,0,0,1,E,F,0,1,E,F,I would choose slot machine F.,1,0,20.0,25.0
17,0,0,1,E,F,1,0,F,E,I would choose slot machine F.,1,1,20.0,10.0
18,1,2,3,D,H,2,3,D,H,I would choose slot machine D.,0,1,27.0,26.0
19,2,4,5,A,C,4,5,A,C,I would choose slot machine C.,1,0,28.0,27.0
20,1,2,3,D,H,2,3,D,H,I would choose slot machine D.,0,1,27.0,26.0
21,1,2,3,D,H,2,3,D,H,I would choose slot machine D.,0,1,27.0,26.0
22,0,0,1,E,F,1,0,F,E,I would choose slot machine F.,1,1,20.0,25.0
23,2,4,5,A,C,5,4,C,A,I would choose slot machine C.,1,1,28.0,27.0
24,2,4,5,A,C,4,5,A,C,I would choose slot machine C.,1,0,28.0,27.0
25,0,0,1,E,F,0,1,E,F,I would choose slot machine E.,0,1,20.0,25.0
26,2,4,5,A,C,5,4,C,A,I would choose slot machine A.,0,0,28.0,27.0
27,0,0,1,E,F,0,1,E,F,I would choose slot machine E.,0,1,20.0,25.0
28,3,6,7,G,B,7,6,B,G,I would choose slot machine G.,0,0,44.0,34.0
29,2,4,5,A,C,5,4,C,A,I would choose slot machine A.,0,0,28.0,42.0
30,1,2,3,D,H,3,2,H,D,I would choose slot machine H.,1,1,12.0,26.0
31,3,6,7,G,B,7,6,B,G,I would choose slot machine G.,0,0,29.0,34.0
32,2,4,5,A,C,4,5,A,C,I would choose slot machine C.,1,0,28.0,27.0
33,0,0,1,E,F,0,1,E,F,I would choose slot machine F.,1,0,20.0,10.0
34,0,0,1,E,F,0,1,E,F,I would choose slot machine E.,0,1,20.0,25.0
35,0,0,1,E,F,1,0,F,E,I would choose slot machine F.,1,1,20.0,25.0
36,3,6,7,G,B,7,6,B,G,I would choose slot machine G.,0,0,29.0,34.0
37,2,4,5,A,C,4,5,A,C,I would choose slot machine C.,1,0,28.0,27.0
38,2,4,5,A,C,4,5,A,C,I would choose slot machine C.,1,0,28.0,27.0
39,1,2,3,D,H,3,2,H,D,I would choose slot machine H.,1,1,27.0,26.0
40,1,2,3,D,H,3,2,H,D,I would choose slot machine H.,1,1,27.0,26.0
41,3,6,7,G,B,6,7,G,B,I would choose slot machine G.,0,1,44.0,34.0
42,3,6,7,G,B,6,7,G,B,I would choose slot machine G.,0,1,29.0,34.0
43,2,4,5,A,C,4,5,A,C,I would choose slot machine A.,0,1,28.0,27.0
44,3,6,7,G,B,7,6,B,G,I would choose slot machine G.,0,0,29.0,34.0
45,3,6,7,G,B,6,7,G,B,I would choose slot machine G.,0,1,29.0,34.0
46,3,6,7,G,B,6,7,G,B,I would choose slot machine G.,0,1,29.0,34.0
47,1,2,3,D,H,3,2,H,D,I would choose slot machine H.,1,1,27.0,26.0
48,1,2,3,D,H,2,3,D,H,I would choose slot machine D.,0,1,27.0,26.0
49,2,4,5,A,C,4,5,A,C,I would choose slot machine C.,1,0,28.0,27.0
50,3,6,7,G,B,6,7,G,B,I would choose slot machine G.,0,1,29.0,34.0
51,3,6,7,G,B,6,7,G,B,I would choose slot machine G.,0,1,29.0,34.0
52,0,0,1,E,F,0,1,E,F,I would choose slot machine F.,1,0,20.0,25.0
53,0,0,1,E,F,1,0,F,E,I would choose slot machine F.,1,1,20.0,25.0
54,0,0,1,E,F,0,1,E,F,I would choose slot machine E.,0,1,20.0,10.0
55,2,4,5,A,C,5,4,C,A,I would choose slot machine A.,0,0,28.0,42.0
56,1,2,3,D,H,2,3,D,H,I would choose slot machine D.,0,1,27.0,26.0
57,2,4,5,A,C,5,4,C,A,I would choose slot machine C.,1,1,28.0,27.0
58,3,6,7,G,B,6,7,G,B,I would choose slot machine G.,0,1,29.0,34.0
59,1,2,3,D,H,2,3,D,H,I would choose slot machine D.,0,1,27.0,26.0
0,99,0,1,E,F,1,0,F,E,I would choose slot machine F.,1,1,0.0,0.0
1,99,0,2,E,D,2,0,D,E,I would choose slot machine D.,1,1,0.0,0.0
2,99,0,3,E,H,0,3,E,H,I would choose slot machine E.,0,1,0.0,0.0
3,99,0,4,E,A,0,4,E,A,I would choose slot machine A.,1,0,0.0,0.0
4,99,0,5,E,C,5,0,C,E,I would choose slot machine C.,1,1,0.0,0.0
5,99,0,6,E,G,0,6,E,G,I would choose slot machine G.,1,0,0.0,0.0
6,99,0,7,E,B,7,0,B,E,I would choose slot machine B.,1,1,0.0,0.0
7,99,1,2,F,D,2,1,D,F,I would choose slot machine D.,1,1,0.0,0.0
8,99,1,3,F,H,3,1,H,F,I would choose slot machine H.,1,1,0.0,0.0
9,99,1,4,F,A,4,1,A,F,I would choose slot machine A.,1,1,0.0,0.0
10,99,1,5,F,C,1,5,F,C,I would choose slot machine C.,1,0,0.0,0.0
11,99,1,6,F,G,1,6,F,G,I would choose slot machine G.,1,0,0.0,0.0
12,99,1,7,F,B,7,1,B,F,I would choose slot machine F.,0,0,0.0,0.0
13,99,2,3,D,H,3,2,H,D,I would choose slot machine H.,1,1,0.0,0.0
14,99,2,4,D,A,4,2,A,D,I would choose slot machine D.,0,0,0.0,0.0
15,99,2,5,D,C,5,2,C,D,I would choose slot machine C.,1,1,0.0,0.0
16,99,2,6,D,G,6,2,G,D,I would choose slot machine G.,1,1,0.0,0.0
17,99,2,7,D,B,7,2,B,D,I would choose slot machine D.,0,0,0.0,0.0
18,99,3,4,H,A,3,4,H,A,I would choose slot machine A.,1,0,0.0,0.0
19,99,3,5,H,C,5,3,C,H,I would choose slot machine C.,1,1,0.0,0.0
20,99,3,6,H,G,6,3,G,H,I would choose slot machine G.,1,1,0.0,0.0
21,99,3,7,H,B,3,7,H,B,I would choose slot machine B.,1,0,0.0,0.0
22,99,4,5,A,C,5,4,C,A,I would choose slot machine C.,1,1,0.0,0.0
23,99,4,6,A,G,6,4,G,A,I would choose slot machine G.,1,1,0.0,0.0
24,99,4,7,A,B,7,4,B,A,I would choose slot machine A.,0,0,0.0,0.0
25,99,5,6,C,G,5,6,C,G,I would choose slot machine G.,1,0,0.0,0.0
26,99,5,7,C,B,5,7,C,B,I would choose slot machine B.,1,0,0.0,0.0
27,99,6,7,G,B,6,7,G,B,I would choose slot machine G.,0,1,0.0,0.0
