trial,context,L_index,H_index,L_option,H_option,left_index,right_index,left_option,right_option,choice,accuracy,chose_left,L_outcome,H_outcome
0,1,2,3,B,F,3,2,F,B,I would choose slot machine F.,1,1,-0.1,0.0
1,0,0,1,E,H,1,0,H,E,I would choose slot machine H.,1,1,0.0,0.0
2,1,2,3,B,F,3,2,F,B,I would choose slot machine F.,1,1,-0.1,0.0
3,3,6,7,A,D,7,6,D,A,I would choose slot machine D.,1,1,1.0,1.0
4,0,0,1,E,H,0,1,E,H,I would choose slot machine E.,0,1,0.0,-1.0
5,0,0,1,E,H,0,1,E,H,I would choose slot machine E.,0,1,0.0,-1.0
6,3,6,7,A,D,6,7,A,D,I would choose slot machine A.,0,1,0.0,1.0
7,0,0,1,E,H,1,0,H,E,I would choose slot machine E.,0,0,-1.0,0.0
8,0,0,1,E,H,1,0,H,E,I would choose slot machine H.,1,1,-1.0,0.0
9,2,4,5,C,G,5,4,G,C,I would choose slot machine G.,1,1,0.1,0.0
10,2,4,5,C,G,4,5,C,G,I would choose slot machine C.,0,1,0.0,0.1
11,1,2,3,B,F,2,3,B,F,I would choose slot machine F.,1,0,0.0,0.0
12,2,4,5,C,G,5,4,G,C,I would choose slot machine G.,1,1,0.0,0.1
13,2,4,5,C,G,4,5,C,G,I would choose slot machine G.,1,0,0.0,0.1
14,3,6,7,A,D,6,7,A,D,I would choose slot machine D.,1,0,0.0,1.0
15,1,2,3,B,F,3,2,F,B,I would choose slot machine F.,1,1,-0.1,-0.1
16,1,2,3,B,F,2,3,B,F,I would choose slot machine F.,1,0,-0.1,-0.1
17,2,4,5,C,G,5,4,G,C,I would choose slot machine G.,1,1,0.0,0.1
18,1,2,3,B,F,2,3,B,F,I would choose slot machine F.,1,0,0.0,0.0
19,1,2,3,B,F,2,3,B,F,I would choose slot machine F.,1,0,-0.1,0.0
20,2,4,5,C,G,4,5,C,G,I would choose slot machine G.,1,0,0.1,0.1
21,3,6,7,A,D,6,7,A,D,I would choose slot machine D.,1,0,0.0,1.0
22,3,6,7,A,D,7,6,D,A,I would choose slot machine D.,1,1,0.0,0.0
23,0,0,1,E,H,0,1,E,H,I would choose slot machine E.,0,1,-1.0,0.0
24,1,2,3,B,F,3,2,F,B,I would choose slot machine F.,1,1,0.0,0.0
25,1,2,3,B,F,3,2,F,B,I would choose slot machine F.,1,1,-0.1,-0.1
26,1,2,3,B,F,3,2,F,B,I would choose slot machine F.,1,1,-0.1,0.0
27,0,0,1,E,H,0,1,E,H,I would choose slot machine H.,1,0,-1.0,0.0
28,3,6,7,A,D,6,7,A,D,I would choose slot machine D.,1,0,0.0,1.0
29,3,6,7,A,D,7,6,D,A,I would choose slot machine D.,1,1,1.0,1.0
30,1,2,3,B,F,2,3,B,F,I would choose slot machine F.,1,0,-0.1,0.0
31,2,4,5,C,G,4,5,C,G,I would choose slot machine G.,1,0,0.1,0.1
32,0,0,1,E,H,0,1,E,H,I would choose slot machine H.,1,0,-1.0,0.0
33,0,0,1,E,H,1,0,H,E,I would choose slot machine H.,1,1,-1.0,0.0
34,2,4,5,C,G,5,4,G,C,I would choose slot machine G.,1,1,0.0,0.0
35,3,6,7,A,D,6,7,A,D,I would choose slot machine D.,1,0,0.0,0.0
36,3,6,7,A,D,7,6,D,A,I would choose slot machine D.,1,1,0.0,1.0
37,3,6,7,A,D,6,7,A,D,I would choose slot machine D.,1,0,0.0,0.0
38,0,0,1,E,H,1,0,H,E,I would choose slot machine H.,1,1,-1.0,0.0
39,2,4,5,C,G,4,5,C,G,I would choose slot machine C.,0,1,0.0,0.1
40,0,0,1,E,H,0,1,E,H,I would choose slot machine H.,1,0,-1.0,-1.0
41,2,4,5,C,G,5,4,G,C,I would choose slot machine G.,1,1,0.0,0.1
42,0,0,1,E,H,1,0,H,E,I would choose slot machine H.,1,1,-1.0,0.0
43,2,4,5,C,G,5,4,G,C,I would choose slot machine G.,1,1,0.0,0.0
44,3,6,7,A,D,7,6,D,A,I would choose slot machine D.,1,1,0.0,1.0
45,2,4,5,C,G,5,4,G,C,I would choose slot machine G.,1,1,0.0,0.1
46,1,2,3,B,F,3,2,F,B,I would choose slot machine F.,1,1,-0.1,0.0
47,3,6,7,A,D,7,6,D,A,I would choose slot machine D.,1,1,1.0,1.0
0,99,0,1,E,H,1,0,H,E,I would choose slot machine H.,1,1,0.0,0.0
1,99,0,2,E,B,2,0,B,E,I would choose slot machine B.,1,1,0.0,0.0
2,99,0,3,E,F,3,0,F,E,I would choose slot machine F.,1,1,0.0,0.0
3,99,0,4,E,C,0,4,E,C,I would choose slot machine C.,1,0,0.0,0.0
4,99,0,5,E,G,5,0,G,E,I would choose slot machine G.,1,1,0.0,0.0
5,99,0,6,E,A,0,6,E,A,I would choose slot machine A.,1,0,0.0,0.0
6,99,0,7,E,D,0,7,E,D,I would choose slot machine D.,1,0,0.0,0.0
7,99,1,2,H,B,2,1,B,H,I would choose slot machine H.,0,0,0.0,0.0
8,99,1,3,H,F,1,3,H,F,I would choose slot machine H.,0,1,0.0,0.0
9,99,1,4,H,C,4,1,C,H,I would choose slot machine C.,1,1,0.0,0.0
10,99,1,5,H,G,1,5,H,G,I would choose slot machine G.,1,0,0.0,0.0
11,99,1,6,H,A,1,6,H,A,I would choose slot machine A.,1,0,0.0,0.0
12,99,1,7,H,D,7,1,D,H,I would choose slot machine D.,1,1,0.0,0.0
13,99,2,3,B,F,3,2,F,B,I would choose slot machine F.,1,1,0.0,0.0
14,99,2,4,B,C,4,2,C,B,I would choose slot machine C.,1,1,0.0,0.0
15,99,2,5,B,G,2,5,B,G,I would choose slot machine G.,1,0,0.0,0.0
16,99,2,6,B,A,6,2,A,B,I would choose slot machine A.,1,1,0.0,0.0
17,99,2,7,B,D,2,7,B,D,I would choose slot machine D.,1,0,0.0,0.0
18,99,3,4,F,C,4,3,C,F,I would choose slot machine C.,1,1,0.0,0.0
19,99,3,5,F,G,5,3,G,F,I would choose slot machine G.,1,1,0.0,0.0
20,99,3,6,F,A,6,3,A,F,I would choose slot machine A.,1,1,0.0,0.0
21,99,3,7,F,D,3,7,F,D,I would choose slot machine D.,1,0,0.0,0.0
22,99,4,5,C,G,5,4,G,C,I would choose slot machine G.,1,1,0.0,0.0
23,99,4,6,C,A,6,4,A,C,I would choose slot machine A.,1,1,0.0,0.0
24,99,4,7,C,D,7,4,D,C,I would choose slot machine D.,1,1,0.0,0.0
25,99,5,6,G,A,6,5,A,G,I would choose slot machine G.,0,0,0.0,0.0
26,99,5,7,G,D,5,7,G,D,I would choose slot machine D.,1,0,0.0,0.0
27,99,6,7,A,D,7,6,D,A,I would choose slot machine D.,1,1,0.0,0.0
