trial,context,L_index,H_index,L_option,H_option,left_index,right_index,left_option,right_option,choice,accuracy,chose_left,L_outcome,H_outcome
0,3,6,7,D,C,7,6,C,D,I would choose slot machine D.,0,0,32,35
1,1,2,3,H,F,3,2,F,H,I would choose slot machine F.,1,1,19,23
2,1,2,3,H,F,2,3,H,F,I would choose slot machine F.,1,0,20,22
3,1,2,3,H,F,3,2,F,H,I would choose slot machine F.,1,1,22,24
4,0,0,1,B,A,0,1,B,A,I would choose slot machine B.,0,1,15,17
5,2,4,5,G,E,4,5,G,E,I would choose slot machine G.,0,1,27,30
6,0,0,1,B,A,0,1,B,A,I would choose slot machine A.,1,0,14,17
7,2,4,5,G,E,5,4,E,G,I would choose slot machine E.,1,1,27,30
8,0,0,1,B,A,0,1,B,A,I would choose slot machine A.,1,0,14,18
9,0,0,1,B,A,1,0,A,B,I would choose slot machine A.,1,1,14,16
10,0,0,1,B,A,0,1,B,A,I would choose slot machine A.,1,0,14,18
11,3,6,7,D,C,7,6,C,D,I would choose slot machine C.,1,1,33,39
12,2,4,5,G,E,4,5,G,E,I would choose slot machine G.,0,1,26,30
13,2,4,5,G,E,5,4,E,G,I would choose slot machine E.,1,1,27,30
14,1,2,3,H,F,3,2,F,H,I would choose slot machine F.,1,1,21,23
15,1,2,3,H,F,3,2,F,H,I would choose slot machine F.,1,1,21,22
16,3,6,7,D,C,6,7,D,C,I would choose slot machine C.,1,0,31,36
17,3,6,7,D,C,6,7,D,C,I would choose slot machine D.,0,1,33,35
18,3,6,7,D,C,6,7,D,C,I would choose slot machine D.,0,1,34,37
19,2,4,5,G,E,5,4,E,G,I would choose slot machine E.,1,1,26,31
20,2,4,5,G,E,5,4,E,G,I would choose slot machine E.,1,1,26,31
21,1,2,3,H,F,2,3,H,F,I would choose slot machine H.,0,1,20,24
22,0,0,1,B,A,1,0,A,B,I would choose slot machine A.,1,1,14,19
23,1,2,3,H,F,2,3,H,F,I would choose slot machine H.,0,1,21,23
24,2,4,5,G,E,4,5,G,E,I would choose slot machine G.,0,1,27,28
25,2,4,5,G,E,5,4,E,G,I would choose slot machine E.,1,1,26,29
26,1,2,3,H,F,2,3,H,F,I would choose slot machine H.,0,1,21,23
27,2,4,5,G,E,4,5,G,E,I would choose slot machine G.,0,1,24,28
28,0,0,1,B,A,0,1,B,A,I would choose slot machine A.,1,0,14,17
29,1,2,3,H,F,3,2,F,H,I would choose slot machine F.,1,1,20,23
30,1,2,3,H,F,3,2,F,H,I would choose slot machine F.,1,1,21,25
31,0,0,1,B,A,1,0,A,B,I would choose slot machine A.,1,1,15,14
32,1,2,3,H,F,3,2,F,H,I would choose slot machine F.,1,1,19,24
33,0,0,1,B,A,1,0,A,B,I would choose slot machine A.,1,1,12,17
34,2,4,5,G,E,5,4,E,G,I would choose slot machine E.,1,1,27,28
35,3,6,7,D,C,6,7,D,C,I would choose slot machine D.,0,1,33,37
36,1,2,3,H,F,2,3,H,F,I would choose slot machine H.,0,1,20,23
37,0,0,1,B,A,1,0,A,B,I would choose slot machine A.,1,1,15,16
38,3,6,7,D,C,6,7,D,C,I would choose slot machine D.,0,1,34,35
39,3,6,7,D,C,7,6,C,D,I would choose slot machine C.,1,1,32,36
40,1,2,3,H,F,2,3,H,F,I would choose slot machine H.,0,1,20,23
41,0,0,1,B,A,0,1,B,A,I would choose slot machine B.,0,1,13,17
42,3,6,7,D,C,6,7,D,C,I would choose slot machine D.,0,1,32,36
43,3,6,7,D,C,7,6,C,D,I would choose slot machine C.,1,1,32,35
44,3,6,7,D,C,7,6,C,D,I would choose slot machine C.,1,1,32,35
45,3,6,7,D,C,6,7,D,C,I would choose slot machine D.,0,1,33,36
46,0,0,1,B,A,1,0,A,B,I would choose slot machine A.,1,1,14,18
47,3,6,7,D,C,7,6,C,D,I would choose slot machine C.,1,1,34,35
48,0,0,1,B,A,0,1,B,A,I would choose slot machine B.,0,1,14,17
49,2,4,5,G,E,4,5,G,E,I would choose slot machine G.,0,1,27,31
50,1,2,3,H,F,3,2,F,H,I would choose slot machine F.,1,1,20,23
51,2,4,5,G,E,4,5,G,E,I would choose slot machine G.,0,1,27,30
52,3,6,7,D,C,7,6,C,D,I would choose slot machine C.,1,1,34,36
53,2,4,5,G,E,4,5,G,E,I would choose slot machine G.,0,1,26,28
54,0,0,1,B,A,1,0,A,B,I would choose slot machine A.,1,1,15,16
55,2,4,5,G,E,5,4,E,G,I would choose slot machine E.,1,1,26,29
56,1,2,3,H,F,2,3,H,F,I would choose slot machine H.,0,1,21,23
57,3,6,7,D,C,7,6,C,D,I would choose slot machine C.,1,1,33,35
58,2,4,5,G,E,5,4,E,G,I would choose slot machine E.,1,1,25,30
59,0,0,1,B,A,0,1,B,A,I would choose slot machine B.,0,1,13,18
0,99,0,1,B,A,1,0,A,B,I would choose slot machine A.,1,1,0,0
