trial,context,L_index,H_index,L_option,H_option,left_index,right_index,left_option,right_option,choice,accuracy,chose_left,L_outcome,H_outcome
0,0,0,1,A,B,1,0,B,A,I would choose slot machine B.,1,1,0.0,1.0
1,1,2,3,C,D,2,3,C,D,I would choose slot machine D.,1,0,1.0,1.0
2,1,2,3,C,D,2,3,C,D,I would choose slot machine D.,1,0,1.0,1.0
3,0,0,1,A,B,1,0,B,A,I would choose slot machine B.,1,1,0.0,1.0
4,0,0,1,A,B,0,1,A,B,I would choose slot machine B.,1,0,0.0,0.0
5,1,2,3,C,D,2,3,C,D,I would choose slot machine C.,0,1,1.0,1.0
6,1,2,3,C,D,2,3,C,D,I would choose slot machine D.,1,0,1.0,1.0
7,0,0,1,A,B,0,1,A,B,I would choose slot machine B.,1,0,0.0,0.0
8,1,2,3,C,D,2,3,C,D,I would choose slot machine D.,1,0,0.0,1.0
9,0,0,1,A,B,1,0,B,A,I would choose slot machine B.,1,1,1.0,1.0
10,1,2,3,C,D,3,2,D,C,I would choose slot machine D.,1,1,1.0,1.0
11,1,2,3,C,D,2,3,C,D,I would choose slot machine D.,1,0,1.0,1.0
12,1,2,3,C,D,3,2,D,C,I would choose slot machine D.,1,1,1.0,1.0
13,0,0,1,A,B,0,1,A,B,I would choose slot machine B.,1,0,0.0,0.0
14,0,0,1,A,B,0,1,A,B,I would choose slot machine B.,1,0,0.0,1.0
15,0,0,1,A,B,0,1,A,B,I would choose slot machine B.,1,0,0.0,0.0
16,1,2,3,C,D,3,2,D,C,I would choose slot machine D.,1,1,1.0,1.0
17,0,0,1,A,B,1,0,B,A,I would choose slot machine B.,1,1,0.0,0.0
18,1,2,3,C,D,2,3,C,D,I would choose slot machine D.,1,0,0.0,1.0
19,1,2,3,C,D,2,3,C,D,I would choose slot machine D.,1,0,1.0,1.0
20,1,2,3,C,D,2,3,C,D,I would choose slot machine D.,1,0,1.0,1.0
21,1,2,3,C,D,3,2,D,C,I would choose slot machine D.,1,1,0.0,1.0
22,1,2,3,C,D,3,2,D,C,I would choose slot machine D.,1,1,1.0,0.0
23,0,0,1,A,B,0,1,A,B,I would choose slot machine B.,1,0,0.0,1.0
24,1,2,3,C,D,2,3,C,D,I would choose slot machine D.,1,0,1.0,1.0
25,0,0,1,A,B,0,1,A,B,I would choose slot machine B.,1,0,0.0,0.0
26,0,0,1,A,B,1,0,B,A,I would choose slot machine B.,1,1,0.0,1.0
27,1,2,3,C,D,3,2,D,C,I would choose slot machine D.,1,1,0.0,1.0
28,1,2,3,C,D,3,2,D,C,I would choose slot machine D.,1,1,1.0,1.0
29,0,0,1,A,B,0,1,A,B,I would choose slot machine B.,1,0,0.0,0.0
30,1,2,3,C,D,3,2,D,C,I would choose slot machine D.,1,1,0.0,1.0
31,0,0,1,A,B,0,1,A,B,I would choose slot machine B.,1,0,1.0,1.0
32,0,0,1,A,B,0,1,A,B,I would choose slot machine B.,1,0,1.0,1.0
33,0,0,1,A,B,0,1,A,B,I would choose slot machine B.,1,0,0.0,0.0
34,0,0,1,A,B,1,0,B,A,I would choose slot machine B.,1,1,0.0,0.0
