"condition","model","id","trial","context","L_index","H_index","left_index","right_index","choice_idx","accuracy","L_outcome","H_outcome","left_outcome","right_outcome","M7_predL","M7_predR","M7_pACC","left_REL","right_REL","target_trial","chose_REL","M7_pREL"
"standard prompt","gpt-3.5-turbo-0125",0,0,2,4,5,4,5,0,0,28,27,28,27,0.746659534982761,0.253340465017239,0.253340465017239,1,0,1,1,0.746659534982761
"standard prompt","gpt-3.5-turbo-0125",0,1,0,0,1,1,0,0,1,20,25,25,20,0.746659534982761,0.253340465017239,0.746659534982761,1,0,1,1,0.746659534982761
"standard prompt","gpt-3.5-turbo-0125",0,2,1,2,3,2,3,0,0,27,26,27,26,0.746659534982761,0.253340465017239,0.253340465017239,1,0,1,1,0.746659534982761
"standard prompt","gpt-3.5-turbo-0125",0,3,3,6,7,7,6,1,0,29,34,34,29,0.746659534982761,0.253340465017239,0.746659534982761,1,0,1,0,0.746659534982761
"standard prompt","gpt-3.5-turbo-0125",0,4,3,6,7,7,6,0,1,29,34,34,29,0.808879142309854,0.191120857690146,0.808879142309854,1,0,1,1,0.808879142309854
"standard prompt","gpt-3.5-turbo-0125",0,5,2,4,5,4,5,0,0,28,27,28,27,0.998424634979121,0.00157536502087947,0.00157536502087947,1,0,1,1,0.998424634979121
"standard prompt","gpt-3.5-turbo-0125",0,6,0,0,1,1,0,0,1,20,25,25,20,0.990691601517703,0.00930839848229755,0.990691601517703,1,0,1,1,0.990691601517703
"standard prompt","gpt-3.5-turbo-0125",0,7,1,2,3,3,2,0,1,27,26,26,27,0.316893093405311,0.683106906594689,0.316893093405311,0,1,1,0,0.683106906594689
"standard prompt","gpt-3.5-turbo-0125",0,8,1,2,3,3,2,1,0,27,26,26,27,0.33201022016008,0.66798977983992,0.33201022016008,0,1,1,1,0.66798977983992
"standard prompt","gpt-3.5-turbo-0125",0,9,2,4,5,4,5,0,0,28,42,28,42,0.998187754894377,0.00181224510562245,0.00181224510562245,1,0,1,1,0.998187754894377
"standard prompt","gpt-3.5-turbo-0125",0,10,1,2,3,2,3,0,0,27,26,27,26,0.96974539472816,0.0302546052718401,0.0302546052718401,1,0,1,1,0.96974539472816
"standard prompt","gpt-3.5-turbo-0125",0,11,0,0,1,0,1,0,0,20,25,20,25,0.0135332541477481,0.986466745852252,0.986466745852252,0,1,1,0,0.986466745852252
"standard prompt","gpt-3.5-turbo-0125",0,12,0,0,1,0,1,1,1,20,25,20,25,0.0296875994794453,0.970312400520555,0.970312400520555,0,1,1,1,0.970312400520555
"standard prompt","gpt-3.5-turbo-0125",0,13,0,0,1,1,0,0,1,20,25,25,20,0.998801515821418,0.00119848417858178,0.998801515821418,1,0,1,1,0.998801515821418
"standard prompt","gpt-3.5-turbo-0125",0,14,1,2,3,2,3,0,0,27,26,27,26,0.987903896400793,0.0120961035992074,0.0120961035992074,1,0,1,1,0.987903896400793
"standard prompt","gpt-3.5-turbo-0125",0,15,1,2,3,3,2,1,0,27,26,26,27,0.0539356352587624,0.946064364741238,0.0539356352587624,0,1,1,1,0.946064364741238
"standard prompt","gpt-3.5-turbo-0125",0,16,1,2,3,2,3,0,0,27,26,27,26,0.995624585012601,0.00437541498739927,0.00437541498739927,1,0,1,1,0.995624585012601
"standard prompt","gpt-3.5-turbo-0125",0,17,0,0,1,1,0,0,1,20,25,25,20,0.999425582231272,0.000574417768728533,0.999425582231272,1,0,1,1,0.999425582231272
"standard prompt","gpt-3.5-turbo-0125",0,18,1,2,3,3,2,1,0,27,26,26,27,0.0290612455915469,0.970938754408453,0.0290612455915469,0,1,1,1,0.970938754408453
"standard prompt","gpt-3.5-turbo-0125",0,19,0,0,1,0,1,1,1,20,25,20,25,0.00304374969145275,0.996956250308547,0.996956250308547,0,1,1,1,0.996956250308547
"standard prompt","gpt-3.5-turbo-0125",0,20,3,6,7,7,6,0,1,29,34,34,29,0.979230778775856,0.0207692212241443,0.979230778775856,1,0,1,1,0.979230778775856
"standard prompt","gpt-3.5-turbo-0125",0,21,3,6,7,7,6,0,1,29,34,34,29,0.991765362737169,0.0082346372628313,0.991765362737169,1,0,1,1,0.991765362737169
"standard prompt","gpt-3.5-turbo-0125",0,22,2,4,5,4,5,0,0,28,27,28,27,0.992783433381169,0.00721656661883063,0.00721656661883063,1,0,1,1,0.992783433381169
"standard prompt","gpt-3.5-turbo-0125",0,23,3,6,7,7,6,0,1,29,34,34,29,0.995819342992239,0.00418065700776102,0.995819342992239,1,0,1,1,0.995819342992239
"standard prompt","gpt-3.5-turbo-0125",0,24,2,4,5,5,4,1,0,28,27,27,28,0.0381312994760592,0.961868700523941,0.0381312994760592,0,1,1,1,0.961868700523941
"standard prompt","gpt-3.5-turbo-0125",0,25,0,0,1,0,1,1,1,20,25,20,25,0.00221781944237982,0.99778218055762,0.99778218055762,0,1,1,1,0.99778218055762
"standard prompt","gpt-3.5-turbo-0125",0,26,2,4,5,4,5,0,0,28,27,28,27,0.996587547163752,0.00341245283624816,0.00341245283624816,1,0,1,1,0.996587547163752
"standard prompt","gpt-3.5-turbo-0125",0,27,3,6,7,7,6,0,1,29,34,34,29,0.997449700459184,0.00255029954081562,0.997449700459184,1,0,1,1,0.997449700459184
"standard prompt","gpt-3.5-turbo-0125",0,28,3,6,7,7,6,0,1,29,34,34,29,0.998220397841499,0.00177960215850086,0.998220397841499,1,0,1,1,0.998220397841499
"standard prompt","gpt-3.5-turbo-0125",0,29,0,0,1,1,0,0,1,20,25,25,20,0.999789190699286,0.00021080930071397,0.999789190699286,1,0,1,1,0.999789190699286
"standard prompt","gpt-3.5-turbo-0125",0,30,0,0,1,0,1,1,1,20,10,20,10,0.00164407546721466,0.998355924532785,0.998355924532785,0,1,1,1,0.998355924532785
"standard prompt","gpt-3.5-turbo-0125",0,31,3,6,7,6,7,1,1,29,34,29,34,0.0117737066361244,0.988226293363876,0.988226293363876,0,1,1,1,0.988226293363876
"standard prompt","gpt-3.5-turbo-0125",0,32,0,0,1,1,0,0,1,20,10,10,20,0.999411004772429,0.000588995227571301,0.999411004772429,1,0,1,1,0.999411004772429
"standard prompt","gpt-3.5-turbo-0125",0,33,2,4,5,5,4,1,0,28,27,27,28,0.0246805777714614,0.975319422228539,0.0246805777714614,0,1,1,1,0.975319422228539
"standard prompt","gpt-3.5-turbo-0125",0,34,2,4,5,5,4,1,0,28,27,27,28,0.0247350974309346,0.975264902569065,0.0247350974309346,0,1,1,1,0.975264902569065
"standard prompt","gpt-3.5-turbo-0125",0,35,1,2,3,2,3,0,0,12,26,12,26,0.996989619109371,0.00301038089062889,0.00301038089062889,1,0,1,1,0.996989619109371
"standard prompt","gpt-3.5-turbo-0125",0,36,2,4,5,5,4,0,1,28,27,27,28,0.025757271622901,0.974242728377099,0.025757271622901,0,1,1,0,0.974242728377099
"standard prompt","gpt-3.5-turbo-0125",0,37,2,4,5,4,5,0,0,28,27,28,27,0.994479430051557,0.00552056994844282,0.00552056994844282,1,0,1,1,0.994479430051557
"standard prompt","gpt-3.5-turbo-0125",0,38,0,0,1,1,0,0,1,20,25,25,20,0.998319586008406,0.00168041399159423,0.998319586008406,1,0,1,1,0.998319586008406
"standard prompt","gpt-3.5-turbo-0125",0,39,2,4,5,5,4,1,0,28,42,42,28,0.0472438517256151,0.952756148274385,0.0472438517256151,0,1,1,1,0.952756148274385
"standard prompt","gpt-3.5-turbo-0125",0,40,2,4,5,5,4,0,1,28,27,27,28,0.123320180706104,0.876679819293896,0.123320180706104,0,1,1,0,0.876679819293896
"standard prompt","gpt-3.5-turbo-0125",0,41,1,2,3,3,2,1,0,27,26,26,27,0.0723809590144247,0.927619040985575,0.0723809590144247,0,1,1,1,0.927619040985575
"standard prompt","gpt-3.5-turbo-0125",0,42,3,6,7,7,6,0,1,44,34,34,44,0.999047514085541,0.000952485914459312,0.999047514085541,1,0,1,1,0.999047514085541
"standard prompt","gpt-3.5-turbo-0125",0,43,3,6,7,7,6,0,1,29,34,34,29,0.997441773810517,0.0025582261894833,0.997441773810517,1,0,1,1,0.997441773810517
