trial,context,L_index,M_index,H_index,L_option,M_option,H_option,left_index,middle_index,right_index,left_option,middle_option,right_option,choice,accuracy,chose_left,L_outcome,M_outcome,H_outcome
0,3,7,8,9,B,H,I,7,8,9,B,H,I,I would choose slot machine B.,0,1,11,47,87
1,3,7,8,9,B,H,I,9,7,8,I,B,H,I would choose slot machine I.,1,1,12,48,83
2,1,2,3,4,D,J,E,2,4,3,D,E,J,I would choose slot machine D.,0,1,14,31,51
3,1,2,3,4,D,J,E,2,3,4,D,J,E,I would choose slot machine E.,1,0,13,32,51
4,2,5,-99,6,C,--,A,5,-99,6,C,--,A,I would choose slot machine C.,0,1,18,0,86
5,0,0,-99,1,G,--,F,0,-99,1,G,--,F,I would choose slot machine G.,0,1,16,0,48
6,3,7,8,9,B,H,I,8,9,7,H,I,B,I would choose slot machine I.,1,0,12,49,86
7,2,5,-99,6,C,--,A,6,-99,5,A,--,C,I would choose slot machine A.,1,1,11,0,84
8,0,0,-99,1,G,--,F,0,-99,1,G,--,F,I would choose slot machine F.,1,0,14,0,51
9,3,7,8,9,B,H,I,7,9,8,B,I,H,I would choose slot machine I.,1,0,17,48,87
10,1,2,3,4,D,J,E,2,3,4,D,J,E,I would choose slot machine E.,1,0,14,33,48
11,0,0,-99,1,G,--,F,0,-99,1,G,--,F,I would choose slot machine F.,1,0,16,0,52
12,2,5,-99,6,C,--,A,6,-99,5,A,--,C,I would choose slot machine A.,1,1,19,0,86
13,1,2,3,4,D,J,E,4,3,2,E,J,D,I would choose slot machine E.,1,1,13,31,51
14,0,0,-99,1,G,--,F,0,-99,1,G,--,F,I would choose slot machine F.,1,0,13,0,49
15,3,7,8,9,B,H,I,8,7,9,H,B,I,I would choose slot machine I.,1,0,14,50,81
16,2,5,-99,6,C,--,A,6,-99,5,A,--,C,I would choose slot machine A.,1,1,13,0,84
17,2,5,-99,6,C,--,A,6,-99,5,A,--,C,I would choose slot machine A.,1,1,14,0,86
18,2,5,-99,6,C,--,A,6,-99,5,A,--,C,I would choose slot machine A.,1,1,15,0,86
19,1,2,3,4,D,J,E,2,3,4,D,J,E,I would choose slot machine E.,1,0,15,31,50
20,1,2,3,4,D,J,E,3,2,4,J,D,E,I would choose slot machine E.,1,0,13,30,49
21,1,2,3,4,D,J,E,4,3,2,E,J,D,I would choose slot machine E.,1,1,14,30,48
22,0,0,-99,1,G,--,F,0,-99,1,G,--,F,I would choose slot machine F.,1,0,14,0,49
23,0,0,-99,1,G,--,F,0,-99,1,G,--,F,I would choose slot machine F.,1,0,11,0,48
24,2,5,-99,6,C,--,A,5,-99,6,C,--,A,I would choose slot machine A.,1,0,13,0,85
25,3,7,8,9,B,H,I,8,7,9,H,B,I,I would choose slot machine I.,1,0,13,53,84
26,0,0,-99,1,G,--,F,0,-99,1,G,--,F,I would choose slot machine F.,1,0,12,0,47
27,0,0,-99,1,G,--,F,1,-99,0,F,--,G,I would choose slot machine F.,1,1,12,0,49
28,2,5,-99,6,C,--,A,6,-99,5,A,--,C,I would choose slot machine A.,1,1,15,0,87
29,1,2,3,4,D,J,E,2,4,3,D,E,J,I would choose slot machine E.,1,0,13,28,50
30,0,0,-99,1,G,--,F,0,-99,1,G,--,F,I would choose slot machine F.,1,0,12,0,50
31,3,7,8,9,B,H,I,8,7,9,H,B,I,I would choose slot machine I.,1,0,12,46,88
32,2,5,-99,6,C,--,A,6,-99,5,A,--,C,I would choose slot machine A.,1,1,13,0,87
33,0,0,-99,1,G,--,F,0,-99,1,G,--,F,I would choose slot machine F.,1,0,13,0,52
34,3,7,8,9,B,H,I,8,9,7,H,I,B,I would choose slot machine I.,1,0,15,49,83
35,2,5,-99,6,C,--,A,6,-99,5,A,--,C,I would choose slot machine A.,1,1,13,0,82
36,3,7,8,9,B,H,I,8,7,9,H,B,I,I would choose slot machine I.,1,0,10,48,84
37,3,7,8,9,B,H,I,8,9,7,H,I,B,I would choose slot machine I.,1,0,11,52,85
38,3,7,8,9,B,H,I,8,7,9,H,B,I,I would choose slot machine I.,1,0,13,48,87
39,1,2,3,4,D,J,E,3,2,4,J,D,E,I would choose slot machine E.,1,0,12,35,51
40,0,0,-99,1,G,--,F,1,-99,0,F,--,G,I would choose slot machine F.,1,1,13,0,49
41,3,7,8,9,B,H,I,9,7,8,I,B,H,I would choose slot machine I.,1,1,12,54,84
42,1,2,3,4,D,J,E,3,2,4,J,D,E,I would choose slot machine E.,1,0,11,32,47
43,0,0,-99,1,G,--,F,1,-99,0,F,--,G,I would choose slot machine F.,1,1,12,0,50
44,1,2,3,4,D,J,E,4,2,3,E,D,J,I would choose slot machine E.,1,1,14,30,49
45,3,7,8,9,B,H,I,9,7,8,I,B,H,I would choose slot machine I.,1,1,12,49,85
46,2,5,-99,6,C,--,A,5,-99,6,C,--,A,I would choose slot machine A.,1,0,13,0,87
47,0,0,-99,1,G,--,F,0,-99,1,G,--,F,I would choose slot machine F.,1,0,11,0,51
48,2,5,-99,6,C,--,A,5,-99,6,C,--,A,I would choose slot machine A.,1,0,13,0,85
49,0,0,-99,1,G,--,F,0,-99,1,G,--,F,I would choose slot machine F.,1,0,11,0,51
50,1,2,3,4,D,J,E,3,2,4,J,D,E,I would choose slot machine E.,1,0,14,32,49
51,3,7,8,9,B,H,I,9,7,8,I,B,H,I would choose slot machine I.,1,1,11,48,84
52,1,2,3,4,D,J,E,3,2,4,J,D,E,I would choose slot machine E.,1,0,15,30,50
53,0,0,-99,1,G,--,F,0,-99,1,G,--,F,I would choose slot machine F.,1,0,15,0,50
54,1,2,3,4,D,J,E,3,4,2,J,E,D,I would choose slot machine E.,1,0,17,30,48
55,2,5,-99,6,C,--,A,6,-99,5,A,--,C,I would choose slot machine A.,1,1,16,0,85
56,2,5,-99,6,C,--,A,6,-99,5,A,--,C,I would choose slot machine A.,1,1,15,0,88
57,2,5,-99,6,C,--,A,5,-99,6,C,--,A,I would choose slot machine A.,1,0,14,0,88
58,3,7,8,9,B,H,I,9,8,7,I,H,B,I would choose slot machine I.,1,1,15,51,85
59,1,2,3,4,D,J,E,4,3,2,E,J,D,I would choose slot machine E.,1,1,15,34,48
0,99,0,-99,1,G,--,F,1,-99,0,F,--,G,I would choose slot machine F.,1,1,0,0,0
1,99,0,-99,2,G,--,D,0,-99,2,G,--,D,I would choose slot machine G.,0,1,0,0,0
2,99,0,-99,3,G,--,J,0,-99,3,G,--,J,I would choose slot machine G.,0,1,0,0,0
3,99,0,-99,4,G,--,E,4,-99,0,E,--,G,I would choose slot machine E.,1,1,0,0,0
4,99,0,-99,5,G,--,C,5,-99,0,C,--,G,I would choose slot machine C.,1,1,0,0,0
5,99,0,-99,6,G,--,A,0,-99,6,G,--,A,I would choose slot machine A.,1,0,0,0,0
6,99,0,-99,7,G,--,B,7,-99,0,B,--,G,I would choose slot machine G.,0,0,0,0,0
7,99,0,-99,8,G,--,H,0,-99,8,G,--,H,I would choose slot machine H.,1,0,0,0,0
8,99,0,-99,9,G,--,I,0,-99,9,G,--,I,I would choose slot machine I.,1,0,0,0,0
9,99,1,-99,2,F,--,D,2,-99,1,D,--,F,I would choose slot machine F.,0,0,0,0,0
10,99,1,-99,3,F,--,J,1,-99,3,F,--,J,I would choose slot machine F.,0,1,0,0,0
11,99,1,-99,4,F,--,E,4,-99,1,E,--,F,I would choose slot machine F.,0,0,0,0,0
12,99,1,-99,5,F,--,C,1,-99,5,F,--,C,I would choose slot machine F.,0,1,0,0,0
13,99,1,-99,6,F,--,A,6,-99,1,A,--,F,I would choose slot machine A.,1,1,0,0,0
14,99,1,-99,7,F,--,B,7,-99,1,B,--,F,I would choose slot machine F.,0,0,0,0,0
15,99,1,-99,8,F,--,H,1,-99,8,F,--,H,I would choose slot machine F.,0,1,0,0,0
16,99,1,-99,9,F,--,I,1,-99,9,F,--,I,I would choose slot machine I.,1,0,0,0,0
17,99,2,-99,3,D,--,J,2,-99,3,D,--,J,I would choose slot machine D.,0,1,0,0,0
18,99,2,-99,4,D,--,E,2,-99,4,D,--,E,I would choose slot machine E.,1,0,0,0,0
19,99,2,-99,5,D,--,C,2,-99,5,D,--,C,I would choose slot machine C.,1,0,0,0,0
20,99,2,-99,6,D,--,A,6,-99,2,A,--,D,I would choose slot machine A.,1,1,0,0,0
21,99,2,-99,7,D,--,B,7,-99,2,B,--,D,I would choose slot machine B.,1,1,0,0,0
22,99,2,-99,8,D,--,H,8,-99,2,H,--,D,I would choose slot machine H.,1,1,0,0,0
23,99,2,-99,9,D,--,I,2,-99,9,D,--,I,I would choose slot machine I.,1,0,0,0,0
24,99,3,-99,4,J,--,E,3,-99,4,J,--,E,I would choose slot machine E.,1,0,0,0,0
25,99,3,-99,5,J,--,C,3,-99,5,J,--,C,I would choose slot machine J.,0,1,0,0,0
26,99,3,-99,6,J,--,A,3,-99,6,J,--,A,I would choose slot machine A.,1,0,0,0,0
27,99,3,-99,7,J,--,B,3,-99,7,J,--,B,I would choose slot machine J.,0,1,0,0,0
28,99,3,-99,8,J,--,H,8,-99,3,H,--,J,I would choose slot machine H.,1,1,0,0,0
29,99,3,-99,9,J,--,I,9,-99,3,I,--,J,I would choose slot machine I.,1,1,0,0,0
30,99,4,-99,5,E,--,C,4,-99,5,E,--,C,I would choose slot machine E.,0,1,0,0,0
31,99,4,-99,6,E,--,A,4,-99,6,E,--,A,I would choose slot machine A.,1,0,0,0,0
32,99,4,-99,7,E,--,B,7,-99,4,B,--,E,I would choose slot machine E.,0,0,0,0,0
33,99,4,-99,8,E,--,H,4,-99,8,E,--,H,I would choose slot machine E.,0,1,0,0,0
34,99,4,-99,9,E,--,I,9,-99,4,I,--,E,I would choose slot machine I.,1,1,0,0,0
35,99,5,-99,6,C,--,A,6,-99,5,A,--,C,I would choose slot machine A.,1,1,0,0,0
36,99,5,-99,7,C,--,B,7,-99,5,B,--,C,I would choose slot machine C.,0,0,0,0,0
37,99,5,-99,8,C,--,H,5,-99,8,C,--,H,I would choose slot machine H.,1,0,0,0,0
38,99,5,-99,9,C,--,I,5,-99,9,C,--,I,I would choose slot machine I.,1,0,0,0,0
39,99,6,-99,7,A,--,B,6,-99,7,A,--,B,I would choose slot machine A.,0,1,0,0,0
40,99,6,-99,8,A,--,H,8,-99,6,H,--,A,I would choose slot machine A.,0,0,0,0,0
41,99,6,-99,9,A,--,I,6,-99,9,A,--,I,I would choose slot machine A.,0,1,0,0,0
42,99,7,-99,8,B,--,H,8,-99,7,H,--,B,I would choose slot machine H.,1,1,0,0,0
43,99,7,-99,9,B,--,I,7,-99,9,B,--,I,I would choose slot machine I.,1,0,0,0,0
44,99,8,-99,9,H,--,I,8,-99,9,H,--,I,I would choose slot machine I.,1,0,0,0,0
