trial,context,L_index,H_index,L_option,H_option,left_index,right_index,left_option,right_option,choice,accuracy,chose_left,L_outcome,H_outcome
0,0,0,1,G,A,1,0,A,G,I would choose slot machine A.,1,1,14,18
1,3,6,7,F,B,7,6,B,F,I would choose slot machine B.,1,1,33,34
2,2,4,5,E,D,4,5,E,D,I would choose slot machine E.,0,1,28,31
3,0,0,1,G,A,1,0,A,G,I would choose slot machine A.,1,1,14,17
4,2,4,5,E,D,5,4,D,E,I would choose slot machine E.,0,0,27,30
5,2,4,5,E,D,4,5,E,D,I would choose slot machine E.,0,1,27,31
6,2,4,5,E,D,4,5,E,D,I would choose slot machine E.,0,1,25,28
7,0,0,1,G,A,0,1,G,A,I would choose slot machine G.,0,1,14,17
8,3,6,7,F,B,7,6,B,F,I would choose slot machine B.,1,1,32,35
9,1,2,3,C,H,2,3,C,H,I would choose slot machine C.,0,1,21,22
10,0,0,1,G,A,0,1,G,A,I would choose slot machine G.,0,1,15,17
11,3,6,7,F,B,7,6,B,F,I would choose slot machine B.,1,1,34,35
12,3,6,7,F,B,6,7,F,B,I would choose slot machine B.,1,0,32,33
13,1,2,3,C,H,2,3,C,H,I would choose slot machine C.,0,1,21,23
14,3,6,7,F,B,6,7,F,B,I would choose slot machine B.,1,0,33,35
15,2,4,5,E,D,4,5,E,D,I would choose slot machine E.,0,1,26,29
16,3,6,7,F,B,6,7,F,B,I would choose slot machine B.,1,0,34,35
17,1,2,3,C,H,3,2,H,C,I would choose slot machine H.,1,1,22,22
18,0,0,1,G,A,1,0,A,G,I would choose slot machine A.,1,1,15,17
19,1,2,3,C,H,3,2,H,C,I would choose slot machine H.,1,1,22,24
20,2,4,5,E,D,4,5,E,D,I would choose slot machine E.,0,1,27,28
21,3,6,7,F,B,6,7,F,B,I would choose slot machine B.,1,0,32,35
22,1,2,3,C,H,3,2,H,C,I would choose slot machine H.,1,1,21,22
23,0,0,1,G,A,1,0,A,G,I would choose slot machine A.,1,1,16,18
24,3,6,7,F,B,7,6,B,F,I would choose slot machine B.,1,1,32,35
25,1,2,3,C,H,3,2,H,C,I would choose slot machine H.,1,1,20,23
26,3,6,7,F,B,7,6,B,F,I would choose slot machine B.,1,1,33,36
27,0,0,1,G,A,0,1,G,A,I would choose slot machine G.,0,1,13,19
28,3,6,7,F,B,7,6,B,F,I would choose slot machine B.,1,1,34,34
29,0,0,1,G,A,0,1,G,A,I would choose slot machine G.,0,1,14,19
30,0,0,1,G,A,0,1,G,A,I would choose slot machine G.,0,1,14,17
31,2,4,5,E,D,5,4,D,E,I would choose slot machine E.,0,0,27,30
32,1,2,3,C,H,2,3,C,H,I would choose slot machine C.,0,1,21,23
33,3,6,7,F,B,7,6,B,F,I would choose slot machine B.,1,1,34,35
34,1,2,3,C,H,2,3,C,H,I would choose slot machine C.,0,1,21,24
35,2,4,5,E,D,5,4,D,E,I would choose slot machine E.,0,0,27,29
36,3,6,7,F,B,6,7,F,B,I would choose slot machine B.,1,0,34,36
37,2,4,5,E,D,4,5,E,D,I would choose slot machine E.,0,1,26,31
38,2,4,5,E,D,4,5,E,D,I would choose slot machine E.,0,1,26,29
39,1,2,3,C,H,2,3,C,H,I would choose slot machine C.,0,1,19,23
40,0,0,1,G,A,1,0,A,G,I would choose slot machine A.,1,1,15,18
41,1,2,3,C,H,3,2,H,C,I would choose slot machine H.,1,1,21,23
42,0,0,1,G,A,1,0,A,G,I would choose slot machine A.,1,1,15,17
43,2,4,5,E,D,4,5,E,D,I would choose slot machine E.,0,1,26,27
44,1,2,3,C,H,3,2,H,C,I would choose slot machine H.,1,1,20,24
45,2,4,5,E,D,5,4,D,E,I would choose slot machine E.,0,0,26,29
46,3,6,7,F,B,7,6,B,F,I would choose slot machine B.,1,1,31,36
47,1,2,3,C,H,3,2,H,C,I would choose slot machine H.,1,1,21,24
48,1,2,3,C,H,2,3,C,H,I would choose slot machine C.,0,1,20,25
49,3,6,7,F,B,7,6,B,F,I would choose slot machine B.,1,1,33,36
50,0,0,1,G,A,0,1,G,A,I would choose slot machine G.,0,1,14,17
51,0,0,1,G,A,1,0,A,G,I would choose slot machine A.,1,1,15,18
52,2,4,5,E,D,4,5,E,D,I would choose slot machine E.,0,1,27,31
53,1,2,3,C,H,2,3,C,H,I would choose slot machine C.,0,1,21,24
54,2,4,5,E,D,4,5,E,D,I would choose slot machine E.,0,1,26,29
55,0,0,1,G,A,1,0,A,G,I would choose slot machine A.,1,1,14,17
56,1,2,3,C,H,3,2,H,C,I would choose slot machine H.,1,1,20,24
57,3,6,7,F,B,7,6,B,F,I would choose slot machine B.,1,1,33,34
58,0,0,1,G,A,1,0,A,G,I would choose slot machine A.,1,1,16,17
59,2,4,5,E,D,4,5,E,D,I would choose slot machine E.,0,1,26,29
0,99,0,1,G,A,0,1,G,A,I would choose slot machine G.,0,1,0,0
1,99,0,2,G,C,2,0,C,G,I would choose slot machine G.,0,0,0,0
2,99,0,3,G,H,0,3,G,H,I would choose slot machine G.,0,1,0,0
3,99,0,4,G,E,4,0,E,G,I would choose slot machine E.,1,1,0,0
4,99,0,5,G,D,5,0,D,G,I would choose slot machine D.,1,1,0,0
5,99,0,6,G,F,6,0,F,G,I would choose slot machine F.,1,1,0,0
6,99,0,7,G,B,0,7,G,B,I would choose slot machine G.,0,1,0,0
7,99,1,2,A,C,2,1,C,A,I would choose slot machine C.,1,1,0,0
8,99,1,3,A,H,1,3,A,H,I would choose slot machine A.,0,1,0,0
9,99,1,4,A,E,1,4,A,E,I would choose slot machine E.,1,0,0,0
10,99,1,5,A,D,1,5,A,D,I would choose slot machine A.,0,1,0,0
11,99,1,6,A,F,1,6,A,F,I would choose slot machine A.,0,1,0,0
12,99,1,7,A,B,1,7,A,B,I would choose slot machine B.,1,0,0,0
13,99,2,3,C,H,2,3,C,H,I would choose slot machine C.,0,1,0,0
14,99,2,4,C,E,4,2,E,C,I would choose slot machine E.,1,1,0,0
15,99,2,5,C,D,5,2,D,C,I would choose slot machine D.,1,1,0,0
16,99,2,6,C,F,6,2,F,C,I would choose slot machine F.,1,1,0,0
17,99,2,7,C,B,7,2,B,C,I would choose slot machine B.,1,1,0,0
18,99,3,4,H,E,3,4,H,E,I would choose slot machine E.,1,0,0,0
19,99,3,5,H,D,5,3,D,H,I would choose slot machine D.,1,1,0,0
20,99,3,6,H,F,6,3,F,H,I would choose slot machine F.,1,1,0,0
21,99,3,7,H,B,7,3,B,H,I would choose slot machine B.,1,1,0,0
22,99,4,5,E,D,5,4,D,E,I would choose slot machine E.,0,0,0,0
23,99,4,6,E,F,6,4,F,E,I would choose slot machine E.,0,0,0,0
24,99,4,7,E,B,4,7,E,B,I would choose slot machine E.,0,1,0,0
25,99,5,6,D,F,5,6,D,F,I would choose slot machine D.,0,1,0,0
26,99,5,7,D,B,5,7,D,B,I would choose slot machine D.,0,1,0,0
27,99,6,7,F,B,7,6,B,F,I would choose slot machine B.,1,1,0,0
