"condition","model","id","trial","context","L_index","H_index","left_index","right_index","choice_idx","accuracy","L_outcome","H_outcome","left_outcome","right_outcome"
"standard prompt","gpt-3.5-turbo-0125",0,0,2,4,5,5,4,0,1,25,29,29,25
"standard prompt","gpt-3.5-turbo-0125",0,1,2,4,5,5,4,0,1,28,31,31,28
"standard prompt","gpt-3.5-turbo-0125",0,2,0,0,1,1,0,0,1,14,17,17,14
"standard prompt","gpt-3.5-turbo-0125",0,3,1,2,3,2,3,0,0,20,24,20,24
"standard prompt","gpt-3.5-turbo-0125",0,4,0,0,1,0,1,0,0,14,16,14,16
"standard prompt","gpt-3.5-turbo-0125",0,5,0,0,1,1,0,0,1,14,17,17,14
"standard prompt","gpt-3.5-turbo-0125",0,6,2,4,5,5,4,0,1,26,28,28,26
"standard prompt","gpt-3.5-turbo-0125",0,7,1,2,3,2,3,1,1,22,23,22,23
"standard prompt","gpt-3.5-turbo-0125",0,8,0,0,1,0,1,1,1,13,18,13,18
"standard prompt","gpt-3.5-turbo-0125",0,9,2,4,5,4,5,1,1,26,30,26,30
"standard prompt","gpt-3.5-turbo-0125",0,10,1,2,3,2,3,0,0,21,22,21,22
"standard prompt","gpt-3.5-turbo-0125",0,11,2,4,5,5,4,0,1,26,29,29,26
"standard prompt","gpt-3.5-turbo-0125",0,12,3,6,7,7,6,0,1,33,35,35,33
"standard prompt","gpt-3.5-turbo-0125",0,13,0,0,1,1,0,0,1,14,17,17,14
"standard prompt","gpt-3.5-turbo-0125",0,14,1,2,3,3,2,0,1,20,25,25,20
"standard prompt","gpt-3.5-turbo-0125",0,15,1,2,3,2,3,1,1,21,24,21,24
"standard prompt","gpt-3.5-turbo-0125",0,16,0,0,1,1,0,0,1,13,17,17,13
"standard prompt","gpt-3.5-turbo-0125",0,17,1,2,3,2,3,1,1,21,23,21,23
"standard prompt","gpt-3.5-turbo-0125",0,18,0,0,1,1,0,0,1,15,19,19,15
"standard prompt","gpt-3.5-turbo-0125",0,19,1,2,3,3,2,0,1,21,24,24,21
"standard prompt","gpt-3.5-turbo-0125",0,20,3,6,7,7,6,0,1,33,35,35,33
"standard prompt","gpt-3.5-turbo-0125",0,21,2,4,5,5,4,0,1,27,29,29,27
"standard prompt","gpt-3.5-turbo-0125",0,22,0,0,1,0,1,1,1,15,16,15,16
"standard prompt","gpt-3.5-turbo-0125",0,23,2,4,5,4,5,1,1,27,31,27,31
"standard prompt","gpt-3.5-turbo-0125",0,24,0,0,1,1,0,0,1,15,16,16,15
"standard prompt","gpt-3.5-turbo-0125",0,25,2,4,5,5,4,0,1,26,29,29,26
"standard prompt","gpt-3.5-turbo-0125",0,26,1,2,3,2,3,1,1,22,24,22,24
"standard prompt","gpt-3.5-turbo-0125",0,27,1,2,3,3,2,0,1,22,22,22,22
"standard prompt","gpt-3.5-turbo-0125",0,28,1,2,3,2,3,1,1,20,23,20,23
"standard prompt","gpt-3.5-turbo-0125",0,29,0,0,1,0,1,1,1,16,18,16,18
"standard prompt","gpt-3.5-turbo-0125",0,30,1,2,3,2,3,1,1,23,23,23,23
"standard prompt","gpt-3.5-turbo-0125",0,31,2,4,5,4,5,1,1,27,31,27,31
"standard prompt","gpt-3.5-turbo-0125",0,32,3,6,7,6,7,1,1,32,35,32,35
"standard prompt","gpt-3.5-turbo-0125",0,33,3,6,7,6,7,1,1,32,34,32,34
"standard prompt","gpt-3.5-turbo-0125",0,34,2,4,5,4,5,1,1,25,31,25,31
"standard prompt","gpt-3.5-turbo-0125",0,35,3,6,7,6,7,1,1,32,36,32,36
"standard prompt","gpt-3.5-turbo-0125",0,36,3,6,7,7,6,0,1,34,35,35,34
"standard prompt","gpt-3.5-turbo-0125",0,37,3,6,7,6,7,1,1,32,36,32,36
"standard prompt","gpt-3.5-turbo-0125",0,38,0,0,1,1,0,0,1,17,18,18,17
"standard prompt","gpt-3.5-turbo-0125",0,39,2,4,5,5,4,0,1,25,29,29,25
"standard prompt","gpt-3.5-turbo-0125",0,40,2,4,5,5,4,0,1,27,28,28,27
"standard prompt","gpt-3.5-turbo-0125",0,41,3,6,7,6,7,1,1,33,35,33,35
"standard prompt","gpt-3.5-turbo-0125",0,42,2,4,5,4,5,1,1,25,29,25,29
"standard prompt","gpt-3.5-turbo-0125",0,43,3,6,7,6,7,1,1,31,36,31,36
"standard prompt","gpt-3.5-turbo-0125",0,44,0,0,1,0,1,1,1,15,17,15,17
"standard prompt","gpt-3.5-turbo-0125",0,45,3,6,7,7,6,0,1,32,34,34,32
"standard prompt","gpt-3.5-turbo-0125",0,46,3,6,7,6,7,1,1,32,35,32,35
"standard prompt","gpt-3.5-turbo-0125",0,47,0,0,1,1,0,0,1,14,18,18,14
"standard prompt","gpt-3.5-turbo-0125",0,48,0,0,1,0,1,1,1,15,18,15,18
"standard prompt","gpt-3.5-turbo-0125",0,49,0,0,1,0,1,1,1,15,18,15,18
"standard prompt","gpt-3.5-turbo-0125",0,50,3,6,7,6,7,1,1,33,36,33,36
"standard prompt","gpt-3.5-turbo-0125",0,51,2,4,5,5,4,0,1,27,31,31,27
"standard prompt","gpt-3.5-turbo-0125",0,52,3,6,7,7,6,0,1,34,36,36,34
"standard prompt","gpt-3.5-turbo-0125",0,53,3,6,7,7,6,0,1,33,34,34,33
"standard prompt","gpt-3.5-turbo-0125",0,54,1,2,3,2,3,1,1,21,25,21,25
"standard prompt","gpt-3.5-turbo-0125",0,55,1,2,3,2,3,1,1,21,23,21,23
"standard prompt","gpt-3.5-turbo-0125",0,56,3,6,7,7,6,0,1,32,33,33,32
"standard prompt","gpt-3.5-turbo-0125",0,57,1,2,3,3,2,0,1,20,23,23,20
"standard prompt","gpt-3.5-turbo-0125",0,58,1,2,3,2,3,1,1,21,24,21,24
"standard prompt","gpt-3.5-turbo-0125",0,59,2,4,5,4,5,1,1,26,29,26,29
"standard prompt","gpt-3.5-turbo-0125",0,0,99,0,1,1,0,0,1,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,1,99,0,2,0,2,1,1,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,2,99,0,3,3,0,0,1,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,3,99,0,4,4,0,0,1,0,0,0,0
