trial,context,L_index,H_index,L_option,H_option,left_index,right_index,left_option,right_option,choice,accuracy,chose_left,L_outcome,H_outcome
0,2,4,5,B,D,5,4,D,B,I would choose slot machine D.,1,1,28.0,27.0
1,0,0,1,F,A,1,0,A,F,I would choose slot machine A.,1,1,20.0,25.0
2,2,4,5,B,D,4,5,B,D,I would choose slot machine B.,0,1,28.0,27.0
3,1,2,3,E,G,3,2,G,E,I would choose slot machine G.,1,1,27.0,26.0
4,2,4,5,B,D,4,5,B,D,I would choose slot machine B.,0,1,28.0,27.0
5,1,2,3,E,G,3,2,G,E,I would choose slot machine E.,0,0,27.0,26.0
6,3,6,7,C,H,6,7,C,H,I would choose slot machine C.,0,1,29.0,34.0
7,1,2,3,E,G,3,2,G,E,I would choose slot machine E.,0,0,12.0,26.0
8,0,0,1,F,A,1,0,A,F,I would choose slot machine A.,1,1,20.0,25.0
9,3,6,7,C,H,6,7,C,H,I would choose slot machine H.,1,0,29.0,34.0
10,3,6,7,C,H,7,6,H,C,I would choose slot machine H.,1,1,44.0,34.0
11,3,6,7,C,H,6,7,C,H,I would choose slot machine C.,0,1,29.0,34.0
12,0,0,1,F,A,0,1,F,A,I would choose slot machine A.,1,0,20.0,25.0
13,1,2,3,E,G,3,2,G,E,I would choose slot machine G.,1,1,27.0,26.0
14,1,2,3,E,G,3,2,G,E,I would choose slot machine E.,0,0,27.0,26.0
15,2,4,5,B,D,5,4,D,B,I would choose slot machine B.,0,0,28.0,27.0
16,2,4,5,B,D,5,4,D,B,I would choose slot machine B.,0,0,28.0,42.0
17,2,4,5,B,D,5,4,D,B,I would choose slot machine D.,1,1,28.0,42.0
18,0,0,1,F,A,1,0,A,F,I would choose slot machine A.,1,1,20.0,25.0
19,1,2,3,E,G,3,2,G,E,I would choose slot machine G.,1,1,27.0,26.0
20,2,4,5,B,D,5,4,D,B,I would choose slot machine D.,1,1,28.0,42.0
21,2,4,5,B,D,4,5,B,D,I would choose slot machine D.,1,0,28.0,27.0
22,1,2,3,E,G,2,3,E,G,I would choose slot machine G.,1,0,27.0,26.0
23,2,4,5,B,D,4,5,B,D,I would choose slot machine D.,1,0,28.0,27.0
24,3,6,7,C,H,6,7,C,H,I would choose slot machine C.,0,1,44.0,34.0
25,2,4,5,B,D,4,5,B,D,I would choose slot machine B.,0,1,28.0,27.0
26,3,6,7,C,H,7,6,H,C,I would choose slot machine C.,0,0,44.0,34.0
27,1,2,3,E,G,3,2,G,E,I would choose slot machine E.,0,0,27.0,26.0
28,3,6,7,C,H,6,7,C,H,I would choose slot machine C.,0,1,29.0,34.0
29,0,0,1,F,A,0,1,F,A,I would choose slot machine A.,1,0,20.0,25.0
30,2,4,5,B,D,4,5,B,D,I would choose slot machine B.,0,1,28.0,27.0
31,0,0,1,F,A,1,0,A,F,I would choose slot machine A.,1,1,20.0,25.0
32,3,6,7,C,H,7,6,H,C,I would choose slot machine C.,0,0,29.0,34.0
33,1,2,3,E,G,2,3,E,G,I would choose slot machine E.,0,1,12.0,26.0
34,0,0,1,F,A,0,1,F,A,I would choose slot machine A.,1,0,20.0,10.0
35,0,0,1,F,A,1,0,A,F,I would choose slot machine A.,1,1,20.0,25.0
36,0,0,1,F,A,1,0,A,F,I would choose slot machine A.,1,1,20.0,10.0
37,1,2,3,E,G,2,3,E,G,I would choose slot machine E.,0,1,27.0,26.0
38,0,0,1,F,A,1,0,A,F,I would choose slot machine A.,1,1,20.0,25.0
39,2,4,5,B,D,5,4,D,B,I would choose slot machine D.,1,1,28.0,27.0
40,1,2,3,E,G,2,3,E,G,I would choose slot machine E.,0,1,27.0,26.0
41,1,2,3,E,G,2,3,E,G,I would choose slot machine E.,0,1,27.0,26.0
42,3,6,7,C,H,7,6,H,C,I would choose slot machine C.,0,0,29.0,34.0
43,0,0,1,F,A,0,1,F,A,I would choose slot machine A.,1,0,20.0,25.0
44,0,0,1,F,A,0,1,F,A,I would choose slot machine A.,1,0,20.0,25.0
45,0,0,1,F,A,1,0,A,F,I would choose slot machine A.,1,1,20.0,10.0
46,1,2,3,E,G,3,2,G,E,I would choose slot machine E.,0,0,12.0,26.0
47,2,4,5,B,D,5,4,D,B,I would choose slot machine D.,1,1,28.0,27.0
48,3,6,7,C,H,7,6,H,C,I would choose slot machine C.,0,0,29.0,34.0
49,1,2,3,E,G,2,3,E,G,I would choose slot machine E.,0,1,27.0,26.0
50,3,6,7,C,H,7,6,H,C,I would choose slot machine C.,0,0,29.0,34.0
51,1,2,3,E,G,2,3,E,G,I would choose slot machine E.,0,1,27.0,26.0
52,2,4,5,B,D,5,4,D,B,I would choose slot machine D.,1,1,28.0,27.0
