trial,context,L_index,M_index,H_index,L_option,M_option,H_option,left_index,middle_index,right_index,left_option,middle_option,right_option,choice,accuracy,chose_left,L_outcome,M_outcome,H_outcome
0,0,0,-99,1,G,--,D,0,-99,1,G,--,D,I would choose slot machine G.,0,1,16,0,52
1,0,0,-99,1,G,--,D,1,-99,0,D,--,G,I would choose slot machine D.,1,1,12,0,51
2,3,7,8,9,H,J,I,8,9,7,J,I,H,I would choose slot machine J.,0,1,15,48,88
3,0,0,-99,1,G,--,D,0,-99,1,G,--,D,I would choose slot machine D.,1,0,12,0,49
4,2,5,-99,6,C,--,E,6,-99,5,E,--,C,I would choose slot machine E.,1,1,11,0,87
5,3,7,8,9,H,J,I,7,8,9,H,J,I,I would choose slot machine I.,1,0,13,49,85
6,2,5,-99,6,C,--,E,5,-99,6,C,--,E,I would choose slot machine E.,1,0,16,0,87
7,2,5,-99,6,C,--,E,6,-99,5,E,--,C,I would choose slot machine E.,1,1,12,0,80
8,1,2,3,4,F,B,A,3,4,2,B,A,F,I would choose slot machine F.,0,0,10,31,50
9,3,7,8,9,H,J,I,8,7,9,J,H,I,I would choose slot machine I.,1,0,11,52,87
10,0,0,-99,1,G,--,D,0,-99,1,G,--,D,I would choose slot machine D.,1,0,14,0,51
11,1,2,3,4,F,B,A,2,3,4,F,B,A,I would choose slot machine A.,1,0,13,27,49
12,0,0,-99,1,G,--,D,1,-99,0,D,--,G,I would choose slot machine D.,1,1,12,0,51
13,2,5,-99,6,C,--,E,5,-99,6,C,--,E,I would choose slot machine E.,1,0,14,0,85
14,0,0,-99,1,G,--,D,0,-99,1,G,--,D,I would choose slot machine D.,1,0,14,0,51
15,2,5,-99,6,C,--,E,6,-99,5,E,--,C,I would choose slot machine E.,1,1,16,0,85
16,1,2,3,4,F,B,A,2,4,3,F,A,B,I would choose slot machine A.,1,0,15,29,51
17,3,7,8,9,H,J,I,7,8,9,H,J,I,I would choose slot machine I.,1,0,16,49,85
18,1,2,3,4,F,B,A,3,2,4,B,F,A,I would choose slot machine A.,1,0,13,31,51
19,0,0,-99,1,G,--,D,1,-99,0,D,--,G,I would choose slot machine D.,1,1,12,0,50
20,1,2,3,4,F,B,A,4,3,2,A,B,F,I would choose slot machine A.,1,1,14,31,48
21,2,5,-99,6,C,--,E,5,-99,6,C,--,E,I would choose slot machine E.,1,0,14,0,85
22,0,0,-99,1,G,--,D,0,-99,1,G,--,D,I would choose slot machine D.,1,0,13,0,49
23,2,5,-99,6,C,--,E,6,-99,5,E,--,C,I would choose slot machine E.,1,1,13,0,85
24,2,5,-99,6,C,--,E,6,-99,5,E,--,C,I would choose slot machine E.,1,1,13,0,85
25,0,0,-99,1,G,--,D,1,-99,0,D,--,G,I would choose slot machine D.,1,1,17,0,45
26,2,5,-99,6,C,--,E,5,-99,6,C,--,E,I would choose slot machine E.,1,0,17,0,86
27,0,0,-99,1,G,--,D,0,-99,1,G,--,D,I would choose slot machine D.,1,0,15,0,44
28,3,7,8,9,H,J,I,7,9,8,H,I,J,I would choose slot machine I.,1,0,12,47,82
29,2,5,-99,6,C,--,E,6,-99,5,E,--,C,I would choose slot machine E.,1,1,12,0,82
30,3,7,8,9,H,J,I,7,9,8,H,I,J,I would choose slot machine I.,1,0,13,46,86
31,2,5,-99,6,C,--,E,5,-99,6,C,--,E,I would choose slot machine E.,1,0,15,0,83
32,0,0,-99,1,G,--,D,0,-99,1,G,--,D,I would choose slot machine D.,1,0,16,0,53
33,1,2,3,4,F,B,A,4,3,2,A,B,F,I would choose slot machine A.,1,1,15,33,50
34,1,2,3,4,F,B,A,4,3,2,A,B,F,I would choose slot machine A.,1,1,13,33,49
35,0,0,-99,1,G,--,D,0,-99,1,G,--,D,I would choose slot machine D.,1,0,16,0,52
36,3,7,8,9,H,J,I,8,9,7,J,I,H,I would choose slot machine I.,1,0,15,50,83
37,3,7,8,9,H,J,I,7,9,8,H,I,J,I would choose slot machine I.,1,0,14,51,84
38,1,2,3,4,F,B,A,4,3,2,A,B,F,I would choose slot machine A.,1,1,16,30,46
39,3,7,8,9,H,J,I,8,9,7,J,I,H,I would choose slot machine I.,1,0,14,51,87
40,3,7,8,9,H,J,I,8,9,7,J,I,H,I would choose slot machine I.,1,0,14,51,85
41,3,7,8,9,H,J,I,8,7,9,J,H,I,I would choose slot machine I.,1,0,17,52,83
42,1,2,3,4,F,B,A,2,4,3,F,A,B,I would choose slot machine A.,1,0,13,34,48
43,2,5,-99,6,C,--,E,5,-99,6,C,--,E,I would choose slot machine E.,1,0,13,0,86
44,3,7,8,9,H,J,I,8,7,9,J,H,I,I would choose slot machine I.,1,0,14,46,87
45,1,2,3,4,F,B,A,3,2,4,B,F,A,I would choose slot machine A.,1,0,15,27,52
46,3,7,8,9,H,J,I,8,9,7,J,I,H,I would choose slot machine I.,1,0,17,52,86
47,0,0,-99,1,G,--,D,1,-99,0,D,--,G,I would choose slot machine D.,1,1,16,0,48
48,2,5,-99,6,C,--,E,5,-99,6,C,--,E,I would choose slot machine E.,1,0,14,0,88
49,2,5,-99,6,C,--,E,5,-99,6,C,--,E,I would choose slot machine E.,1,0,15,0,88
