"condition","model","id","trial","context","L_index","H_index","left_index","right_index","choice_idx","accuracy","L_outcome","H_outcome","left_outcome","right_outcome"
"standard prompt","gpt-3.5-turbo-0125",0,0,1,2,3,2,3,0,0,-0.1,-0.1,-0.1,-0.1
"standard prompt","gpt-3.5-turbo-0125",0,1,2,4,5,5,4,0,1,0,0.1,0.1,0
"standard prompt","gpt-3.5-turbo-0125",0,2,3,6,7,6,7,1,1,1,1,1,1
"standard prompt","gpt-3.5-turbo-0125",0,3,0,0,1,0,1,0,0,-1,-1,-1,-1
"standard prompt","gpt-3.5-turbo-0125",0,4,0,0,1,1,0,1,0,-1,0,0,-1
"standard prompt","gpt-3.5-turbo-0125",0,5,2,4,5,4,5,1,1,0,0.1,0,0.1
"standard prompt","gpt-3.5-turbo-0125",0,6,1,2,3,2,3,0,0,-0.1,-0.1,-0.1,-0.1
"standard prompt","gpt-3.5-turbo-0125",0,7,2,4,5,4,5,1,1,0,0.1,0,0.1
"standard prompt","gpt-3.5-turbo-0125",0,8,3,6,7,6,7,0,0,0,1,0,1
"standard prompt","gpt-3.5-turbo-0125",0,9,2,4,5,4,5,1,1,0.1,0,0.1,0
"standard prompt","gpt-3.5-turbo-0125",0,10,1,2,3,2,3,0,0,-0.1,0,-0.1,0
"standard prompt","gpt-3.5-turbo-0125",0,11,3,6,7,6,7,0,0,0,1,0,1
"standard prompt","gpt-3.5-turbo-0125",0,12,3,6,7,6,7,1,1,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,13,0,0,1,1,0,0,1,-1,-1,-1,-1
"standard prompt","gpt-3.5-turbo-0125",0,14,0,0,1,0,1,0,0,-1,0,-1,0
"standard prompt","gpt-3.5-turbo-0125",0,15,3,6,7,6,7,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,16,1,2,3,2,3,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,17,2,4,5,4,5,0,0,0,0.1,0,0.1
"standard prompt","gpt-3.5-turbo-0125",0,18,1,2,3,3,2,0,1,-0.1,0,0,-0.1
"standard prompt","gpt-3.5-turbo-0125",0,19,3,6,7,7,6,0,1,1,1,1,1
"standard prompt","gpt-3.5-turbo-0125",0,20,0,0,1,1,0,0,1,-1,0,0,-1
"standard prompt","gpt-3.5-turbo-0125",0,21,0,0,1,1,0,0,1,-1,-1,-1,-1
"standard prompt","gpt-3.5-turbo-0125",0,22,3,6,7,6,7,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,23,0,0,1,0,1,0,0,-1,0,-1,0
