trial,context,L_index,H_index,L_option,H_option,left_index,right_index,left_option,right_option,choice,accuracy,chose_left,L_outcome,H_outcome
0,2,4,5,H,D,5,4,D,H,"Slot machine D has a 30% chance of winning $10, a 60% chance of winning $0, and a 10% chance of losing $5.
Slot machine H has a 20% chance of winning $15, a 70% chance of winning $0, and a 10% chance of losing $10.

I would choose slot machine D.",1,1,0.1,0.1
1,2,4,5,H,D,4,5,H,D,I would choose slot machine H.,0,1,0.0,0.0
2,1,2,3,B,E,2,3,B,E,I would choose slot machine B.,0,1,-0.1,0.0
3,2,4,5,H,D,4,5,H,D,I would choose slot machine D.,1,0,0.0,0.1
4,2,4,5,H,D,5,4,D,H,I would choose slot machine D.,1,1,0.0,0.1
5,1,2,3,B,E,2,3,B,E,I would choose slot machine E.,1,0,-0.1,0.0
6,3,6,7,G,C,6,7,G,C,I would choose slot machine G.,0,1,0.0,1.0
7,0,0,1,A,F,0,1,A,F,I would choose slot machine A.,0,1,-1.0,0.0
8,0,0,1,A,F,1,0,F,A,I would choose slot machine F.,1,1,0.0,0.0
9,0,0,1,A,F,0,1,A,F,I would choose slot machine F.,1,0,-1.0,-1.0
10,0,0,1,A,F,0,1,A,F,I would choose slot machine F.,1,0,-1.0,0.0
11,3,6,7,G,C,7,6,C,G,I would choose slot machine G.,0,0,1.0,1.0
12,0,0,1,A,F,1,0,F,A,I would choose slot machine F.,1,1,-1.0,0.0
13,3,6,7,G,C,6,7,G,C,I would choose slot machine G.,0,1,0.0,0.0
14,1,2,3,B,E,2,3,B,E,I would choose slot machine E.,1,0,-0.1,0.0
15,2,4,5,H,D,5,4,D,H,I would choose slot machine D.,1,1,0.0,0.1
16,1,2,3,B,E,3,2,E,B,I would choose slot machine E.,1,1,0.0,0.0
17,1,2,3,B,E,2,3,B,E,I would choose slot machine E.,1,0,-0.1,0.0
18,0,0,1,A,F,1,0,F,A,I would choose slot machine F.,1,1,0.0,0.0
19,0,0,1,A,F,0,1,A,F,I would choose slot machine F.,1,0,-1.0,0.0
20,2,4,5,H,D,4,5,H,D,I would choose slot machine D.,1,0,0.1,0.0
21,3,6,7,G,C,7,6,C,G,I would choose slot machine C.,1,1,0.0,1.0
22,2,4,5,H,D,5,4,D,H,I would choose slot machine D.,1,1,0.0,0.0
23,0,0,1,A,F,0,1,A,F,I would choose slot machine F.,1,0,-1.0,0.0
24,2,4,5,H,D,4,5,H,D,I would choose slot machine H.,0,1,0.1,0.1
25,0,0,1,A,F,0,1,A,F,I would choose slot machine F.,1,0,-1.0,-1.0
26,3,6,7,G,C,7,6,C,G,I would choose slot machine C.,1,1,0.0,1.0
27,3,6,7,G,C,6,7,G,C,I would choose slot machine G.,0,1,0.0,0.0
28,3,6,7,G,C,6,7,G,C,I would choose slot machine G.,0,1,0.0,1.0
29,3,6,7,G,C,6,7,G,C,I would choose slot machine G.,0,1,0.0,0.0
30,1,2,3,B,E,3,2,E,B,I would choose slot machine E.,1,1,-0.1,0.0
31,1,2,3,B,E,3,2,E,B,I would choose slot machine E.,1,1,0.0,0.0
32,0,0,1,A,F,1,0,F,A,I would choose slot machine F.,1,1,0.0,0.0
33,3,6,7,G,C,7,6,C,G,I would choose slot machine G.,0,0,1.0,1.0
34,3,6,7,G,C,6,7,G,C,I would choose slot machine G.,0,1,1.0,1.0
35,0,0,1,A,F,1,0,F,A,I would choose slot machine F.,1,1,-1.0,0.0
36,1,2,3,B,E,3,2,E,B,I would choose slot machine E.,1,1,-0.1,0.0
37,1,2,3,B,E,3,2,E,B,I would choose slot machine E.,1,1,0.0,-0.1
38,3,6,7,G,C,6,7,G,C,I would choose slot machine G.,0,1,0.0,1.0
39,1,2,3,B,E,3,2,E,B,I would choose slot machine E.,1,1,-0.1,-0.1
40,1,2,3,B,E,3,2,E,B,I would choose slot machine E.,1,1,-0.1,0.0
41,2,4,5,H,D,4,5,H,D,I would choose slot machine H.,0,1,0.0,0.1
42,2,4,5,H,D,5,4,D,H,I would choose slot machine D.,1,1,0.0,0.1
43,0,0,1,A,F,0,1,A,F,I would choose slot machine F.,1,0,-1.0,-1.0
44,2,4,5,H,D,4,5,H,D,I would choose slot machine D.,1,0,0.0,0.1
45,3,6,7,G,C,6,7,G,C,I would choose slot machine G.,0,1,0.0,1.0
46,2,4,5,H,D,4,5,H,D,I would choose slot machine H.,0,1,0.0,0.1
47,1,2,3,B,E,3,2,E,B,I would choose slot machine E.,1,1,-0.1,-0.1
0,99,0,1,A,F,0,1,A,F,I would choose slot machine F.,1,0,0.0,0.0
1,99,0,2,A,B,0,2,A,B,I would choose slot machine A.,0,1,0.0,0.0
2,99,0,3,A,E,0,3,A,E,I would choose slot machine E.,1,0,0.0,0.0
3,99,0,4,A,H,4,0,H,A,I would choose slot machine H.,1,1,0.0,0.0
4,99,0,5,A,D,0,5,A,D,I would choose slot machine D.,1,0,0.0,0.0
5,99,0,6,A,G,6,0,G,A,I would choose slot machine G.,1,1,0.0,0.0
6,99,0,7,A,C,0,7,A,C,I would choose slot machine C.,1,0,0.0,0.0
7,99,1,2,F,B,1,2,F,B,I would choose slot machine F.,0,1,0.0,0.0
8,99,1,3,F,E,1,3,F,E,I would choose slot machine E.,1,0,0.0,0.0
9,99,1,4,F,H,4,1,H,F,I would choose slot machine H.,1,1,0.0,0.0
