trial,context,L_index,H_index,L_option,H_option,left_index,right_index,left_option,right_option,choice,accuracy,chose_left,L_outcome,H_outcome
0,2,4,5,D,B,5,4,B,D,I would choose slot machine D.,0,0,0.1,0.1
1,3,6,7,F,G,7,6,G,F,I would choose slot machine G.,1,1,0.0,1.0
2,3,6,7,F,G,7,6,G,F,I would choose slot machine G.,1,1,0.0,1.0
3,0,0,1,C,E,0,1,C,E,I would choose slot machine C.,0,1,-1.0,0.0
4,3,6,7,F,G,6,7,F,G,I would choose slot machine G.,1,0,0.0,1.0
5,3,6,7,F,G,6,7,F,G,I would choose slot machine G.,1,0,1.0,0.0
6,2,4,5,D,B,4,5,D,B,I would choose slot machine D.,0,1,0.0,0.1
7,0,0,1,C,E,0,1,C,E,I would choose slot machine E.,1,0,-1.0,0.0
8,2,4,5,D,B,5,4,B,D,I would choose slot machine B.,1,1,0.1,0.1
9,3,6,7,F,G,6,7,F,G,I would choose slot machine G.,1,0,0.0,1.0
10,3,6,7,F,G,6,7,F,G,I would choose slot machine G.,1,0,1.0,0.0
11,2,4,5,D,B,4,5,D,B,I would choose slot machine D.,0,1,0.0,0.1
12,2,4,5,D,B,5,4,B,D,I would choose slot machine B.,1,1,0.0,0.1
13,0,0,1,C,E,0,1,C,E,I would choose slot machine E.,1,0,-1.0,-1.0
14,1,2,3,A,H,3,2,H,A,I would choose slot machine H.,1,1,0.0,0.0
15,3,6,7,F,G,7,6,G,F,I would choose slot machine G.,1,1,1.0,1.0
16,0,0,1,C,E,1,0,E,C,I would choose slot machine C.,0,0,-1.0,0.0
17,3,6,7,F,G,6,7,F,G,I would choose slot machine G.,1,0,0.0,1.0
18,3,6,7,F,G,6,7,F,G,I would choose slot machine G.,1,0,0.0,1.0
19,2,4,5,D,B,4,5,D,B,I would choose slot machine B.,1,0,0.0,0.1
20,2,4,5,D,B,4,5,D,B,I would choose slot machine B.,1,0,0.1,0.1
21,2,4,5,D,B,4,5,D,B,I would choose slot machine D.,0,1,0.0,0.1
22,2,4,5,D,B,4,5,D,B,I would choose slot machine D.,0,1,0.0,0.0
23,0,0,1,C,E,0,1,C,E,I would choose slot machine E.,1,0,-1.0,0.0
24,1,2,3,A,H,3,2,H,A,I would choose slot machine H.,1,1,-0.1,-0.1
25,1,2,3,A,H,3,2,H,A,I would choose slot machine A.,0,0,-0.1,0.0
26,0,0,1,C,E,0,1,C,E,I would choose slot machine E.,1,0,0.0,0.0
27,1,2,3,A,H,2,3,A,H,I would choose slot machine H.,1,0,-0.1,-0.1
28,1,2,3,A,H,3,2,H,A,I would choose slot machine H.,1,1,-0.1,-0.1
29,1,2,3,A,H,3,2,H,A,I would choose slot machine H.,1,1,-0.1,0.0
30,3,6,7,F,G,7,6,G,F,I would choose slot machine G.,1,1,0.0,1.0
31,1,2,3,A,H,2,3,A,H,I would choose slot machine H.,1,0,-0.1,0.0
32,0,0,1,C,E,0,1,C,E,I would choose slot machine E.,1,0,-1.0,-1.0
33,0,0,1,C,E,1,0,E,C,I would choose slot machine E.,1,1,0.0,0.0
34,3,6,7,F,G,6,7,F,G,I would choose slot machine G.,1,0,0.0,0.0
35,0,0,1,C,E,1,0,E,C,I would choose slot machine E.,1,1,-1.0,0.0
36,0,0,1,C,E,1,0,E,C,I would choose slot machine E.,1,1,0.0,0.0
37,1,2,3,A,H,3,2,H,A,I would choose slot machine H.,1,1,0.0,0.0
38,1,2,3,A,H,3,2,H,A,I would choose slot machine H.,1,1,-0.1,0.0
39,2,4,5,D,B,4,5,D,B,I would choose slot machine D.,0,1,0.0,0.0
40,2,4,5,D,B,4,5,D,B,I would choose slot machine D.,0,1,0.0,0.1
41,1,2,3,A,H,3,2,H,A,I would choose slot machine H.,1,1,0.0,0.0
42,3,6,7,F,G,7,6,G,F,I would choose slot machine G.,1,1,0.0,1.0
43,0,0,1,C,E,0,1,C,E,I would choose slot machine E.,1,0,-1.0,0.0
44,1,2,3,A,H,2,3,A,H,I would choose slot machine H.,1,0,-0.1,0.0
45,0,0,1,C,E,0,1,C,E,I would choose slot machine E.,1,0,-1.0,-1.0
46,2,4,5,D,B,5,4,B,D,I would choose slot machine B.,1,1,0.0,0.0
47,1,2,3,A,H,2,3,A,H,I would choose slot machine H.,1,0,-0.1,0.0
0,99,0,1,C,E,0,1,C,E,I would choose slot machine E.,1,0,0.0,0.0
1,99,0,2,C,A,2,0,A,C,I would choose slot machine C.,0,0,0.0,0.0
2,99,0,3,C,H,3,0,H,C,I would choose slot machine H.,1,1,0.0,0.0
3,99,0,4,C,D,0,4,C,D,I would choose slot machine D.,1,0,0.0,0.0
4,99,0,5,C,B,5,0,B,C,I would choose slot machine B.,1,1,0.0,0.0
5,99,0,6,C,F,0,6,C,F,I would choose slot machine F.,1,0,0.0,0.0
6,99,0,7,C,G,0,7,C,G,I would choose slot machine G.,1,0,0.0,0.0
7,99,1,2,E,A,1,2,E,A,I would choose slot machine E.,0,1,0.0,0.0
8,99,1,3,E,H,1,3,E,H,I would choose slot machine E.,0,1,0.0,0.0
9,99,1,4,E,D,4,1,D,E,I would choose slot machine D.,1,1,0.0,0.0
10,99,1,5,E,B,1,5,E,B,I would choose slot machine B.,1,0,0.0,0.0
11,99,1,6,E,F,6,1,F,E,I would choose slot machine F.,1,1,0.0,0.0
12,99,1,7,E,G,1,7,E,G,I would choose slot machine G.,1,0,0.0,0.0
13,99,2,3,A,H,3,2,H,A,I would choose slot machine H.,1,1,0.0,0.0
14,99,2,4,A,D,4,2,D,A,I would choose slot machine D.,1,1,0.0,0.0
15,99,2,5,A,B,5,2,B,A,I would choose slot machine B.,1,1,0.0,0.0
16,99,2,6,A,F,2,6,A,F,I would choose slot machine F.,1,0,0.0,0.0
17,99,2,7,A,G,7,2,G,A,I would choose slot machine G.,1,1,0.0,0.0
18,99,3,4,H,D,4,3,D,H,I would choose slot machine D.,1,1,0.0,0.0
19,99,3,5,H,B,5,3,B,H,I would choose slot machine B.,1,1,0.0,0.0
20,99,3,6,H,F,3,6,H,F,I would choose slot machine F.,1,0,0.0,0.0
21,99,3,7,H,G,7,3,G,H,I would choose slot machine G.,1,1,0.0,0.0
22,99,4,5,D,B,4,5,D,B,I would choose slot machine D.,0,1,0.0,0.0
23,99,4,6,D,F,6,4,F,D,I would choose slot machine F.,1,1,0.0,0.0
24,99,4,7,D,G,4,7,D,G,I would choose slot machine G.,1,0,0.0,0.0
25,99,5,6,B,F,5,6,B,F,I would choose slot machine B.,0,1,0.0,0.0
26,99,5,7,B,G,5,7,B,G,I would choose slot machine G.,1,0,0.0,0.0
27,99,6,7,F,G,6,7,F,G,I would choose slot machine G.,1,0,0.0,0.0
