"condition","model","id","trial","context","L_index","H_index","left_index","right_index","choice_idx","accuracy","L_outcome","H_outcome","left_outcome","right_outcome","M7_predL","M7_predR","M7_pACC","left_REL","right_REL","target_trial","chose_REL","M7_pREL"
"standard prompt","gpt-3.5-turbo-0125",0,0,1,2,3,2,3,0,0,-0.1,-0.1,-0.1,-0.1,0.790128854011819,0.209871145988181,0.209871145988181,0,1,1,0,0.209871145988181
"standard prompt","gpt-3.5-turbo-0125",0,1,2,4,5,5,4,0,1,0,0.1,0.1,0,0.790128854011819,0.209871145988181,0.790128854011819,1,0,1,1,0.790128854011819
"standard prompt","gpt-3.5-turbo-0125",0,2,3,6,7,6,7,1,1,1,1,1,1,0.790128854011819,0.209871145988181,0.209871145988181,0,1,1,1,0.209871145988181
"standard prompt","gpt-3.5-turbo-0125",0,3,0,0,1,0,1,0,0,-1,-1,-1,-1,0.790128854011819,0.209871145988181,0.209871145988181,0,1,1,0,0.209871145988181
"standard prompt","gpt-3.5-turbo-0125",0,4,0,0,1,1,0,1,0,-1,0,0,-1,0.656148890722746,0.343851109277253,0.656148890722746,1,0,1,0,0.656148890722746
"standard prompt","gpt-3.5-turbo-0125",0,5,2,4,5,4,5,1,1,0,0.1,0,0.1,0.474920307567625,0.525079692432375,0.525079692432375,0,1,1,1,0.525079692432375
"standard prompt","gpt-3.5-turbo-0125",0,6,1,2,3,2,3,0,0,-0.1,-0.1,-0.1,-0.1,0.881344639981061,0.118655360018939,0.118655360018939,0,1,1,0,0.118655360018939
"standard prompt","gpt-3.5-turbo-0125",0,7,2,4,5,4,5,1,1,0,0.1,0,0.1,0.447409333708042,0.552590666291958,0.552590666291958,0,1,1,1,0.552590666291958
"standard prompt","gpt-3.5-turbo-0125",0,8,3,6,7,6,7,0,0,0,1,0,1,0.656148890722747,0.343851109277253,0.343851109277253,0,1,1,0,0.343851109277253
"standard prompt","gpt-3.5-turbo-0125",0,9,2,4,5,4,5,1,1,0.1,0,0.1,0,0.431772149474936,0.568227850525064,0.568227850525064,0,1,1,1,0.568227850525064
"standard prompt","gpt-3.5-turbo-0125",0,10,1,2,3,2,3,0,0,-0.1,0,-0.1,0,0.874052276035249,0.125947723964751,0.125947723964751,0,1,1,0,0.125947723964751
"standard prompt","gpt-3.5-turbo-0125",0,11,3,6,7,6,7,0,0,0,1,0,1,0.56985635543874,0.43014364456126,0.43014364456126,0,1,1,0,0.43014364456126
