trial,context,L_index,H_index,L_option,H_option,left_index,right_index,left_option,right_option,choice,accuracy,chose_left,L_outcome,H_outcome
0,1,2,3,C,A,3,2,A,C,I would choose slot machine A.,1,1,20,23
1,3,6,7,E,D,6,7,E,D,I would choose slot machine E.,0,1,33,37
2,1,2,3,C,A,3,2,A,C,I would choose slot machine A.,1,1,22,23
3,1,2,3,C,A,2,3,C,A,I would choose slot machine A.,1,0,21,23
4,0,0,1,B,H,1,0,H,B,I would choose slot machine H.,1,1,16,17
5,0,0,1,B,H,1,0,H,B,I would choose slot machine H.,1,1,13,19
6,1,2,3,C,A,3,2,A,C,I would choose slot machine A.,1,1,19,25
7,0,0,1,B,H,0,1,B,H,I would choose slot machine H.,1,0,15,18
8,2,4,5,G,F,5,4,F,G,I would choose slot machine F.,1,1,28,28
9,0,0,1,B,H,1,0,H,B,I would choose slot machine H.,1,1,15,18
10,2,4,5,G,F,4,5,G,F,I would choose slot machine F.,1,0,27,31
11,0,0,1,B,H,0,1,B,H,I would choose slot machine H.,1,0,14,18
12,2,4,5,G,F,5,4,F,G,I would choose slot machine F.,1,1,27,29
13,3,6,7,E,D,6,7,E,D,I would choose slot machine E.,0,1,32,36
14,0,0,1,B,H,1,0,H,B,I would choose slot machine H.,1,1,15,19
15,2,4,5,G,F,4,5,G,F,I would choose slot machine F.,1,0,28,31
16,3,6,7,E,D,6,7,E,D,I would choose slot machine E.,0,1,33,35
17,1,2,3,C,A,2,3,C,A,I would choose slot machine A.,1,0,21,22
18,0,0,1,B,H,1,0,H,B,I would choose slot machine H.,1,1,14,18
19,3,6,7,E,D,7,6,D,E,I would choose slot machine E.,0,0,33,37
20,0,0,1,B,H,0,1,B,H,I would choose slot machine H.,1,0,18,20
21,1,2,3,C,A,3,2,A,C,I would choose slot machine A.,1,1,20,25
22,0,0,1,B,H,1,0,H,B,I would choose slot machine H.,1,1,14,19
23,3,6,7,E,D,6,7,E,D,I would choose slot machine E.,0,1,31,35
24,3,6,7,E,D,7,6,D,E,I would choose slot machine D.,1,1,31,36
25,3,6,7,E,D,7,6,D,E,I would choose slot machine D.,1,1,33,36
26,1,2,3,C,A,2,3,C,A,I would choose slot machine A.,1,0,22,24
27,0,0,1,B,H,1,0,H,B,I would choose slot machine H.,1,1,15,18
28,2,4,5,G,F,4,5,G,F,I would choose slot machine G.,0,1,26,31
29,3,6,7,E,D,7,6,D,E,I would choose slot machine D.,1,1,34,36
30,0,0,1,B,H,1,0,H,B,I would choose slot machine H.,1,1,14,16
31,3,6,7,E,D,7,6,D,E,I would choose slot machine D.,1,1,32,35
32,3,6,7,E,D,7,6,D,E,I would choose slot machine D.,1,1,32,34
