trial,context,L_index,H_index,L_option,H_option,left_index,right_index,left_option,right_option,choice,accuracy,chose_left,L_outcome,H_outcome
0,2,4,5,A,C,4,5,A,C,I would choose slot machine A.,0,1,26,31
1,0,0,1,G,E,0,1,G,E,I would choose slot machine G.,0,1,16,17
2,2,4,5,A,C,4,5,A,C,I would choose slot machine C.,1,0,26,31
3,0,0,1,G,E,0,1,G,E,I would choose slot machine E.,1,0,13,17
4,1,2,3,B,F,2,3,B,F,I would choose slot machine B.,0,1,20,23
5,0,0,1,G,E,0,1,G,E,I would choose slot machine E.,1,0,15,16
6,0,0,1,G,E,1,0,E,G,I would choose slot machine E.,1,1,17,17
7,0,0,1,G,E,0,1,G,E,I would choose slot machine G.,0,1,14,18
8,1,2,3,B,F,3,2,F,B,I would choose slot machine F.,1,1,21,22
9,3,6,7,H,D,6,7,H,D,I would choose slot machine H.,0,1,31,33
10,1,2,3,B,F,2,3,B,F,I would choose slot machine F.,1,0,20,24
11,3,6,7,H,D,7,6,D,H,I would choose slot machine D.,1,1,32,37
12,1,2,3,B,F,2,3,B,F,I would choose slot machine F.,1,0,20,22
13,0,0,1,G,E,0,1,G,E,I would choose slot machine E.,1,0,14,17
14,0,0,1,G,E,0,1,G,E,I would choose slot machine E.,1,0,13,16
15,3,6,7,H,D,6,7,H,D,I would choose slot machine D.,1,0,32,38
16,1,2,3,B,F,2,3,B,F,I would choose slot machine F.,1,0,19,24
17,2,4,5,A,C,4,5,A,C,I would choose slot machine C.,1,0,27,30
18,2,4,5,A,C,4,5,A,C,I would choose slot machine C.,1,0,26,28
19,3,6,7,H,D,7,6,D,H,I would choose slot machine D.,1,1,32,36
20,0,0,1,G,E,0,1,G,E,I would choose slot machine E.,1,0,14,16
21,0,0,1,G,E,0,1,G,E,I would choose slot machine E.,1,0,14,17
22,3,6,7,H,D,6,7,H,D,I would choose slot machine D.,1,0,33,33
23,1,2,3,B,F,2,3,B,F,I would choose slot machine F.,1,0,23,23
24,1,2,3,B,F,3,2,F,B,I would choose slot machine F.,1,1,19,22
25,0,0,1,G,E,1,0,E,G,I would choose slot machine E.,1,1,15,16
26,1,2,3,B,F,3,2,F,B,I would choose slot machine F.,1,1,20,24
27,3,6,7,H,D,6,7,H,D,I would choose slot machine D.,1,0,31,35
28,1,2,3,B,F,3,2,F,B,I would choose slot machine F.,1,1,19,23
29,2,4,5,A,C,5,4,C,A,I would choose slot machine C.,1,1,27,29
30,0,0,1,G,E,1,0,E,G,I would choose slot machine E.,1,1,15,19
31,2,4,5,A,C,5,4,C,A,I would choose slot machine C.,1,1,28,29
32,0,0,1,G,E,1,0,E,G,I would choose slot machine E.,1,1,15,18
33,1,2,3,B,F,2,3,B,F,I would choose slot machine F.,1,0,21,25
34,1,2,3,B,F,3,2,F,B,I would choose slot machine F.,1,1,19,24
35,2,4,5,A,C,5,4,C,A,I would choose slot machine C.,1,1,27,29
36,2,4,5,A,C,5,4,C,A,I would choose slot machine C.,1,1,28,29
37,2,4,5,A,C,5,4,C,A,I would choose slot machine C.,1,1,27,30
38,1,2,3,B,F,3,2,F,B,I would choose slot machine F.,1,1,19,24
