trial,context,L_index,H_index,L_option,H_option,left_index,right_index,left_option,right_option,choice,accuracy,chose_left,L_outcome,H_outcome
0,1,2,3,E,F,2,3,E,F,"Slot machine E has a 10% chance of paying $100, a 20% chance of paying $50, and a 70% chance of paying $20.
Slot machine F has a 25% chance of paying $75, a 50% chance of paying $30, and a 25% chance of paying $15.


I would",-99,-99,27.0,26.0
1,0,0,1,B,H,0,1,B,H,I would choose slot machine B.,0,1,20.0,25.0
2,3,6,7,C,D,7,6,D,C,I would choose slot machine D.,1,1,29.0,34.0
3,3,6,7,C,D,6,7,C,D,I would choose slot machine D.,1,0,29.0,34.0
4,0,0,1,B,H,0,1,B,H,I would choose slot machine H.,1,0,20.0,25.0
5,0,0,1,B,H,1,0,H,B,I would choose slot machine H.,1,1,20.0,10.0
6,3,6,7,C,D,7,6,D,C,I would choose slot machine D.,1,1,29.0,34.0
7,3,6,7,C,D,6,7,C,D,I would choose slot machine D.,1,0,29.0,34.0
8,1,2,3,E,F,2,3,E,F,I would choose slot machine E.,0,1,27.0,26.0
9,2,4,5,A,G,5,4,G,A,I would choose slot machine G.,1,1,28.0,27.0
10,2,4,5,A,G,5,4,G,A,I would choose slot machine A.,0,0,28.0,27.0
11,3,6,7,C,D,7,6,D,C,I would choose slot machine D.,1,1,29.0,34.0
12,1,2,3,E,F,3,2,F,E,I would choose slot machine E.,0,0,12.0,26.0
13,1,2,3,E,F,3,2,F,E,I would choose slot machine F.,1,1,27.0,26.0
14,2,4,5,A,G,4,5,A,G,I would choose slot machine G.,1,0,28.0,27.0
15,3,6,7,C,D,6,7,C,D,I would choose slot machine D.,1,0,44.0,34.0
16,1,2,3,E,F,3,2,F,E,I would choose slot machine E.,0,0,27.0,26.0
17,0,0,1,B,H,0,1,B,H,I would choose slot machine B.,0,1,20.0,25.0
18,2,4,5,A,G,4,5,A,G,I would choose slot machine G.,1,0,28.0,27.0
19,1,2,3,E,F,2,3,E,F,I would choose slot machine E.,0,1,27.0,26.0
