trial,context,L_index,M_index,H_index,L_option,M_option,H_option,left_index,middle_index,right_index,left_option,middle_option,right_option,choice,accuracy,chose_left,L_outcome,M_outcome,H_outcome
0,1,2,3,4,F,J,B,3,4,2,J,B,F,I would choose slot machine J.,0,1,13,31,54
1,3,7,8,9,H,A,G,8,7,9,A,H,G,I would choose slot machine H.,0,0,11,49,85
2,0,0,-99,1,E,--,I,0,-99,1,E,--,I,I would choose slot machine E.,0,1,15,0,49
3,2,5,-99,6,C,--,D,6,-99,5,D,--,C,I would choose slot machine D.,1,1,16,0,91
4,2,5,-99,6,C,--,D,6,-99,5,D,--,C,I would choose slot machine D.,1,1,15,0,87
5,2,5,-99,6,C,--,D,6,-99,5,D,--,C,I would choose slot machine D.,1,1,11,0,86
6,1,2,3,4,F,J,B,2,3,4,F,J,B,I would choose slot machine B.,1,0,12,34,51
7,1,2,3,4,F,J,B,4,3,2,B,J,F,I would choose slot machine B.,1,1,10,31,49
8,1,2,3,4,F,J,B,3,2,4,J,F,B,I would choose slot machine B.,1,0,11,30,51
9,2,5,-99,6,C,--,D,5,-99,6,C,--,D,I would choose slot machine D.,1,0,11,0,84
10,3,7,8,9,H,A,G,7,9,8,H,G,A,I would choose slot machine G.,1,0,11,49,90
11,1,2,3,4,F,J,B,2,3,4,F,J,B,I would choose slot machine B.,1,0,13,33,46
12,0,0,-99,1,E,--,I,1,-99,0,I,--,E,I would choose slot machine E.,0,0,14,0,51
13,1,2,3,4,F,J,B,3,4,2,J,B,F,I would choose slot machine B.,1,0,12,31,47
14,3,7,8,9,H,A,G,9,8,7,G,A,H,I would choose slot machine G.,1,1,19,46,84
15,3,7,8,9,H,A,G,7,8,9,H,A,G,I would choose slot machine G.,1,0,12,51,87
16,3,7,8,9,H,A,G,7,9,8,H,G,A,I would choose slot machine G.,1,0,13,51,87
17,0,0,-99,1,E,--,I,0,-99,1,E,--,I,I would choose slot machine E.,0,1,13,0,48
