trial,context,L_index,H_index,L_option,H_option,left_index,right_index,left_option,right_option,choice,accuracy,chose_left,L_outcome,H_outcome
0,0,0,1,D,B,0,1,D,B,"Slot machine D gives 1 point with a probability of 0.7, otherwise 0 points.
Slot machine B gives 1 point with a probability of 0.4, otherwise 0 points.


I would choose slot machine D.",0,1,0.0,1.0
1,0,0,1,D,B,0,1,D,B,I would choose slot machine B.,1,0,1.0,0.0
2,0,0,1,D,B,1,0,B,D,I would choose slot machine D.,0,0,0.0,1.0
3,1,2,3,C,A,3,2,A,C,I would choose slot machine A.,1,1,1.0,1.0
4,0,0,1,D,B,0,1,D,B,I would choose slot machine D.,0,1,1.0,0.0
5,1,2,3,C,A,3,2,A,C,I would choose slot machine A.,1,1,0.0,1.0
6,1,2,3,C,A,2,3,C,A,I would choose slot machine A.,1,0,1.0,1.0
7,0,0,1,D,B,0,1,D,B,I would choose slot machine D.,0,1,0.0,0.0
8,1,2,3,C,A,2,3,C,A,I would choose slot machine A.,1,0,0.0,1.0
9,0,0,1,D,B,1,0,B,D,I would choose slot machine D.,0,0,0.0,1.0
10,1,2,3,C,A,3,2,A,C,I would choose slot machine A.,1,1,1.0,1.0
11,0,0,1,D,B,1,0,B,D,I would choose slot machine B.,1,1,0.0,0.0
12,0,0,1,D,B,0,1,D,B,I would choose slot machine D.,0,1,0.0,0.0
13,1,2,3,C,A,3,2,A,C,I would choose slot machine A.,1,1,1.0,1.0
14,1,2,3,C,A,2,3,C,A,I would choose slot machine A.,1,0,1.0,1.0
15,0,0,1,D,B,0,1,D,B,I would choose slot machine D.,0,1,0.0,0.0
16,0,0,1,D,B,0,1,D,B,I would choose slot machine D.,0,1,0.0,0.0
17,0,0,1,D,B,0,1,D,B,I would choose slot machine D.,0,1,0.0,1.0
18,1,2,3,C,A,3,2,A,C,I would choose slot machine A.,1,1,0.0,0.0
19,0,0,1,D,B,1,0,B,D,I would choose slot machine B.,1,1,0.0,0.0
20,0,0,1,D,B,1,0,B,D,I would choose slot machine D.,0,0,0.0,0.0
21,1,2,3,C,A,2,3,C,A,I would choose slot machine A.,1,0,0.0,1.0
22,1,2,3,C,A,2,3,C,A,I would choose slot machine A.,1,0,0.0,1.0
23,0,0,1,D,B,1,0,B,D,I would choose slot machine B.,1,1,0.0,0.0
24,0,0,1,D,B,0,1,D,B,I would choose slot machine D.,0,1,0.0,0.0
25,1,2,3,C,A,2,3,C,A,I would choose slot machine A.,1,0,0.0,1.0
26,1,2,3,C,A,2,3,C,A,I would choose slot machine A.,1,0,1.0,1.0
27,1,2,3,C,A,3,2,A,C,I would choose slot machine A.,1,1,1.0,1.0
28,0,0,1,D,B,1,0,B,D,I would choose slot machine B.,1,1,0.0,1.0
29,0,0,1,D,B,0,1,D,B,I would choose slot machine D.,0,1,1.0,0.0
30,0,0,1,D,B,0,1,D,B,I would choose slot machine D.,0,1,0.0,0.0
31,1,2,3,C,A,2,3,C,A,I would choose slot machine A.,1,0,0.0,1.0
32,0,0,1,D,B,0,1,D,B,I would choose slot machine D.,0,1,0.0,1.0
33,1,2,3,C,A,3,2,A,C,I would choose slot machine A.,1,1,1.0,1.0
34,1,2,3,C,A,3,2,A,C,I would choose slot machine A.,1,1,0.0,1.0
35,1,2,3,C,A,3,2,A,C,I would choose slot machine A.,1,1,1.0,0.0
36,1,2,3,C,A,2,3,C,A,I would choose slot machine A.,1,0,0.0,1.0
37,1,2,3,C,A,2,3,C,A,I would choose slot machine A.,1,0,1.0,1.0
38,0,0,1,D,B,0,1,D,B,I would choose slot machine D.,0,1,0.0,0.0
39,0,0,1,D,B,1,0,B,D,I would choose slot machine B.,1,1,0.0,1.0
40,0,0,1,D,B,0,1,D,B,I would choose slot machine D.,0,1,0.0,1.0
41,1,2,3,C,A,3,2,A,C,I would choose slot machine A.,1,1,1.0,1.0
42,1,2,3,C,A,2,3,C,A,I would choose slot machine A.,1,0,1.0,1.0
43,0,0,1,D,B,1,0,B,D,I would choose slot machine B.,1,1,0.0,1.0
44,0,0,1,D,B,1,0,B,D,I would choose slot machine B.,1,1,0.0,1.0
45,1,2,3,C,A,3,2,A,C,I would choose slot machine A.,1,1,0.0,1.0
46,1,2,3,C,A,2,3,C,A,I would choose slot machine A.,1,0,1.0,0.0
47,1,2,3,C,A,2,3,C,A,I would choose slot machine A.,1,0,1.0,1.0
48,1,2,3,C,A,3,2,A,C,I would choose slot machine A.,1,1,0.0,1.0
49,0,0,1,D,B,0,1,D,B,I would choose slot machine D.,0,1,0.0,1.0
50,1,2,3,C,A,2,3,C,A,I would choose slot machine A.,1,0,1.0,1.0
51,1,2,3,C,A,2,3,C,A,I would choose slot machine C.,0,1,1.0,1.0
52,0,0,1,D,B,0,1,D,B,I would choose slot machine D.,0,1,0.0,0.0
53,0,0,1,D,B,1,0,B,D,I would choose slot machine B.,1,1,0.0,0.0
54,1,2,3,C,A,3,2,A,C,I would choose slot machine A.,1,1,1.0,1.0
55,0,0,1,D,B,1,0,B,D,I would choose slot machine B.,1,1,0.0,1.0
56,1,2,3,C,A,2,3,C,A,I would choose slot machine A.,1,0,1.0,1.0
57,0,0,1,D,B,0,1,D,B,I would choose slot machine D.,0,1,0.0,0.0
58,1,2,3,C,A,3,2,A,C,I would choose slot machine A.,1,1,0.0,1.0
