trial,context,L_index,H_index,L_option,H_option,left_index,right_index,left_option,right_option,choice,accuracy,chose_left,L_outcome,H_outcome
0,1,2,3,E,H,3,2,H,E,H,1,1,21,24
1,0,0,1,D,A,1,0,A,D,A,1,1,15,19
2,0,0,1,D,A,0,1,D,A,A,1,0,15,19
3,2,4,5,F,G,4,5,F,G,F,0,1,25,29
4,0,0,1,D,A,0,1,D,A,A,1,0,14,17
5,0,0,1,D,A,1,0,A,D,A,1,1,16,18
6,3,6,7,C,B,7,6,B,C,B,1,1,33,35
7,2,4,5,F,G,4,5,F,G,F,0,1,26,30
8,3,6,7,C,B,6,7,C,B,C,0,1,31,37
9,3,6,7,C,B,6,7,C,B,C,0,1,33,36
10,3,6,7,C,B,6,7,C,B,C,0,1,31,36
11,3,6,7,C,B,6,7,C,B,C,0,1,31,37
12,2,4,5,F,G,4,5,F,G,F,0,1,26,30
13,0,0,1,D,A,0,1,D,A,A,1,0,15,18
14,2,4,5,F,G,4,5,F,G,F,0,1,26,31
15,3,6,7,C,B,6,7,C,B,C,0,1,33,36
16,2,4,5,F,G,4,5,F,G,F,0,1,25,28
17,0,0,1,D,A,0,1,D,A,A,1,0,15,17
18,1,2,3,E,H,3,2,H,E,H,1,1,19,23
19,0,0,1,D,A,1,0,A,D,A,1,1,14,18
20,1,2,3,E,H,3,2,H,E,H,1,1,18,24
21,2,4,5,F,G,5,4,G,F,G,1,1,25,31
22,2,4,5,F,G,4,5,F,G,F,0,1,27,30
23,0,0,1,D,A,0,1,D,A,A,1,0,15,17
24,3,6,7,C,B,7,6,B,C,B,1,1,32,35
25,0,0,1,D,A,1,0,A,D,A,1,1,14,17
26,3,6,7,C,B,6,7,C,B,C,0,1,33,35
27,1,2,3,E,H,2,3,E,H,E,0,1,22,24
28,1,2,3,E,H,3,2,H,E,H,1,1,20,24
29,2,4,5,F,G,5,4,G,F,G,1,1,25,30
30,2,4,5,F,G,4,5,F,G,F,0,1,27,30
31,2,4,5,F,G,5,4,G,F,G,1,1,28,29
32,0,0,1,D,A,1,0,A,D,A,1,1,14,18
33,3,6,7,C,B,7,6,B,C,C,0,0,34,35
34,3,6,7,C,B,7,6,B,C,C,0,0,32,34
35,1,2,3,E,H,2,3,E,H,E,0,1,20,24
36,1,2,3,E,H,3,2,H,E,H,1,1,18,24
37,1,2,3,E,H,2,3,E,H,H,1,0,20,25
38,0,0,1,D,A,0,1,D,A,A,1,0,15,18
39,2,4,5,F,G,5,4,G,F,G,1,1,28,31
40,3,6,7,C,B,6,7,C,B,C,0,1,33,38
41,1,2,3,E,H,3,2,H,E,H,1,1,23,23
42,1,2,3,E,H,2,3,E,H,E,0,1,20,25
43,0,0,1,D,A,1,0,A,D,A,1,1,15,15
44,1,2,3,E,H,2,3,E,H,E,0,1,21,25
45,1,2,3,E,H,3,2,H,E,E,0,0,19,24
46,3,6,7,C,B,7,6,B,C,C,0,0,33,34
47,1,2,3,E,H,3,2,H,E,H,1,1,20,25
48,1,2,3,E,H,3,2,H,E,E,0,0,22,25
49,2,4,5,F,G,5,4,G,F,F,0,0,26,30
50,2,4,5,F,G,4,5,F,G,F,0,1,24,30
51,2,4,5,F,G,5,4,G,F,G,1,1,26,30
52,0,0,1,D,A,0,1,D,A,A,1,0,16,17
53,3,6,7,C,B,7,6,B,C,B,1,1,31,36
54,1,2,3,E,H,3,2,H,E,H,1,1,21,22
55,3,6,7,C,B,6,7,C,B,C,0,1,31,34
56,2,4,5,F,G,5,4,G,F,F,0,0,27,29
57,3,6,7,C,B,7,6,B,C,B,1,1,32,35
58,0,0,1,D,A,0,1,D,A,A,1,0,14,17
59,0,0,1,D,A,1,0,A,D,A,1,1,16,16
0,99,0,1,D,A,0,1,D,A,A,1,0,0,0
1,99,0,2,D,E,0,2,D,E,D,0,1,0,0
2,99,0,3,D,H,0,3,D,H,H,1,0,0,0
3,99,0,4,D,F,4,0,F,D,F,1,1,0,0
4,99,0,5,D,G,0,5,D,G,D,0,1,0,0
5,99,0,6,D,C,0,6,D,C,C,1,0,0,0
6,99,0,7,D,B,7,0,B,D,B,1,1,0,0
7,99,1,2,A,E,1,2,A,E,A,0,1,0,0
8,99,1,3,A,H,3,1,H,A,A,0,0,0,0
9,99,1,4,A,F,4,1,F,A,A,0,0,0,0
10,99,1,5,A,G,5,1,G,A,A,0,0,0,0
11,99,1,6,A,C,6,1,C,A,C,1,1,0,0
12,99,1,7,A,B,1,7,A,B,A,0,1,0,0
13,99,2,3,E,H,2,3,E,H,E,0,1,0,0
14,99,2,4,E,F,2,4,E,F,F,1,0,0,0
15,99,2,5,E,G,5,2,G,E,G,1,1,0,0
16,99,2,6,E,C,2,6,E,C,C,1,0,0,0
17,99,2,7,E,B,2,7,E,B,B,1,0,0,0
18,99,3,4,H,F,3,4,H,F,H,0,1,0,0
19,99,3,5,H,G,5,3,G,H,G,1,1,0,0
20,99,3,6,H,C,6,3,C,H,C,1,1,0,0
21,99,3,7,H,B,7,3,B,H,B,1,1,0,0
22,99,4,5,F,G,5,4,G,F,F,0,0,0,0
23,99,4,6,F,C,6,4,C,F,C,1,1,0,0
24,99,4,7,F,B,4,7,F,B,B,1,0,0,0
25,99,5,6,G,C,5,6,G,C,C,1,0,0,0
26,99,5,7,G,B,7,5,B,G,B,1,1,0,0
27,99,6,7,C,B,7,6,B,C,B,1,1,0,0
