trial,context,L_index,H_index,L_option,H_option,left_index,right_index,left_option,right_option,choice,accuracy,chose_left,L_outcome,H_outcome
0,2,4,5,B,F,5,4,F,B,I would choose slot machine F.,1,1,0.1,0.1
1,2,4,5,B,F,4,5,B,F,I would choose slot machine F.,1,0,0.1,0.1
2,0,0,1,D,H,0,1,D,H,I would choose slot machine D.,0,1,0.0,-1.0
3,2,4,5,B,F,4,5,B,F,I would choose slot machine B.,0,1,0.0,0.1
4,3,6,7,E,C,7,6,C,E,I would choose slot machine E.,0,0,0.0,1.0
5,2,4,5,B,F,4,5,B,F,I would choose slot machine F.,1,0,0.1,0.1
6,0,0,1,D,H,0,1,D,H,I would choose slot machine D.,0,1,-1.0,0.0
7,3,6,7,E,C,6,7,E,C,I would choose slot machine C.,1,0,0.0,0.0
8,3,6,7,E,C,7,6,C,E,I would choose slot machine C.,1,1,1.0,1.0
9,0,0,1,D,H,0,1,D,H,I would choose slot machine D.,0,1,-1.0,-1.0
10,1,2,3,G,A,3,2,A,G,I would choose slot machine A.,1,1,-0.1,0.0
11,0,0,1,D,H,0,1,D,H,I would choose slot machine D.,0,1,-1.0,0.0
12,0,0,1,D,H,1,0,H,D,I would choose slot machine D.,0,0,-1.0,0.0
13,3,6,7,E,C,7,6,C,E,I would choose slot machine C.,1,1,1.0,1.0
14,1,2,3,G,A,3,2,A,G,I would choose slot machine A.,1,1,-0.1,0.0
15,1,2,3,G,A,2,3,G,A,I would choose slot machine A.,1,0,-0.1,0.0
16,2,4,5,B,F,4,5,B,F,I would choose slot machine B.,0,1,0.0,0.1
17,2,4,5,B,F,4,5,B,F,I would choose slot machine F.,1,0,0.0,0.1
18,1,2,3,G,A,2,3,G,A,I would choose slot machine A.,1,0,0.0,-0.1
19,0,0,1,D,H,1,0,H,D,I would choose slot machine H.,1,1,0.0,0.0
20,2,4,5,B,F,4,5,B,F,I would choose slot machine F.,1,0,0.0,0.1
21,3,6,7,E,C,7,6,C,E,I would choose slot machine C.,1,1,0.0,1.0
22,3,6,7,E,C,6,7,E,C,I would choose slot machine C.,1,0,0.0,1.0
23,0,0,1,D,H,0,1,D,H,I would choose slot machine D.,0,1,-1.0,0.0
24,1,2,3,G,A,2,3,G,A,I would choose slot machine G.,0,1,-0.1,0.0
25,2,4,5,B,F,4,5,B,F,I would choose slot machine F.,1,0,0.0,0.1
26,0,0,1,D,H,1,0,H,D,I would choose slot machine H.,1,1,-1.0,0.0
27,2,4,5,B,F,5,4,F,B,I would choose slot machine F.,1,1,0.0,0.0
28,3,6,7,E,C,7,6,C,E,I would choose slot machine C.,1,1,0.0,1.0
29,0,0,1,D,H,1,0,H,D,I would choose slot machine H.,1,1,0.0,-1.0
30,3,6,7,E,C,6,7,E,C,I would choose slot machine C.,1,0,1.0,1.0
31,1,2,3,G,A,3,2,A,G,I would choose slot machine A.,1,1,0.0,0.0
32,1,2,3,G,A,3,2,A,G,I would choose slot machine A.,1,1,-0.1,-0.1
33,2,4,5,B,F,5,4,F,B,I would choose slot machine F.,1,1,0.0,0.1
34,3,6,7,E,C,6,7,E,C,I would choose slot machine C.,1,0,0.0,1.0
35,2,4,5,B,F,5,4,F,B,I would choose slot machine F.,1,1,0.0,0.0
36,0,0,1,D,H,0,1,D,H,I would choose slot machine D.,0,1,-1.0,0.0
37,1,2,3,G,A,2,3,G,A,I would choose slot machine G.,0,1,0.0,0.0
38,3,6,7,E,C,6,7,E,C,I would choose slot machine C.,1,0,0.0,1.0
39,3,6,7,E,C,7,6,C,E,I would choose slot machine C.,1,1,0.0,0.0
40,0,0,1,D,H,1,0,H,D,I would choose slot machine H.,1,1,-1.0,0.0
41,1,2,3,G,A,3,2,A,G,I would choose slot machine A.,1,1,-0.1,0.0
42,1,2,3,G,A,3,2,A,G,I would choose slot machine A.,1,1,-0.1,0.0
43,1,2,3,G,A,2,3,G,A,I would choose slot machine G.,0,1,-0.1,0.0
44,1,2,3,G,A,3,2,A,G,I would choose slot machine A.,1,1,-0.1,-0.1
45,0,0,1,D,H,0,1,D,H,I would choose slot machine D.,0,1,-1.0,0.0
46,2,4,5,B,F,5,4,F,B,I would choose slot machine F.,1,1,0.0,0.0
47,3,6,7,E,C,7,6,C,E,I would choose slot machine C.,1,1,0.0,0.0
0,99,0,1,D,H,1,0,H,D,I would choose slot machine H.,1,1,0.0,0.0
