trial,context,L_index,H_index,L_option,H_option,left_index,right_index,left_option,right_option,choice,accuracy,chose_left,L_outcome,H_outcome
0,1,2,3,D,C,3,2,C,D,I would choose slot machine C.,1,1,1.0,1.0
1,1,2,3,D,C,2,3,D,C,I would choose slot machine D.,0,1,1.0,1.0
2,0,0,1,B,A,0,1,B,A,I would choose slot machine A.,1,0,0.0,0.0
3,1,2,3,D,C,2,3,D,C,I would choose slot machine D.,0,1,1.0,0.0
4,1,2,3,D,C,3,2,C,D,I would choose slot machine D.,0,0,0.0,1.0
5,1,2,3,D,C,3,2,C,D,I would choose slot machine C.,1,1,1.0,1.0
6,0,0,1,B,A,1,0,A,B,I would choose slot machine B.,0,0,0.0,0.0
7,0,0,1,B,A,1,0,A,B,I would choose slot machine A.,1,1,0.0,0.0
8,0,0,1,B,A,1,0,A,B,I would choose slot machine A.,1,1,1.0,1.0
9,1,2,3,D,C,3,2,C,D,I would choose slot machine C.,1,1,1.0,1.0
10,0,0,1,B,A,0,1,B,A,I would choose slot machine A.,1,0,1.0,1.0
11,1,2,3,D,C,3,2,C,D,I would choose slot machine C.,1,1,1.0,1.0
12,1,2,3,D,C,2,3,D,C,I would choose slot machine D.,0,1,0.0,1.0
13,1,2,3,D,C,3,2,C,D,I would choose slot machine C.,1,1,0.0,1.0
14,0,0,1,B,A,1,0,A,B,I would choose slot machine A.,1,1,0.0,0.0
15,1,2,3,D,C,2,3,D,C,I would choose slot machine D.,0,1,1.0,1.0
16,0,0,1,B,A,1,0,A,B,I would choose slot machine A.,1,1,0.0,0.0
17,0,0,1,B,A,0,1,B,A,I would choose slot machine A.,1,0,0.0,0.0
18,1,2,3,D,C,2,3,D,C,I would choose slot machine D.,0,1,1.0,1.0
19,0,0,1,B,A,1,0,A,B,I would choose slot machine A.,1,1,0.0,1.0
20,1,2,3,D,C,3,2,C,D,I would choose slot machine C.,1,1,1.0,1.0
21,0,0,1,B,A,1,0,A,B,I would choose slot machine A.,1,1,0.0,0.0
22,1,2,3,D,C,2,3,D,C,I would choose slot machine D.,0,1,0.0,1.0
23,0,0,1,B,A,0,1,B,A,I would choose slot machine A.,1,0,0.0,1.0
24,1,2,3,D,C,2,3,D,C,I would choose slot machine D.,0,1,1.0,1.0
25,1,2,3,D,C,2,3,D,C,I would choose slot machine D.,0,1,0.0,1.0
26,1,2,3,D,C,2,3,D,C,I would choose slot machine D.,0,1,1.0,1.0
27,0,0,1,B,A,0,1,B,A,I would choose slot machine A.,1,0,0.0,1.0
28,0,0,1,B,A,1,0,A,B,I would choose slot machine A.,1,1,0.0,0.0
29,1,2,3,D,C,2,3,D,C,I would choose slot machine D.,0,1,1.0,1.0
30,1,2,3,D,C,3,2,C,D,I would choose slot machine C.,1,1,0.0,0.0
31,1,2,3,D,C,2,3,D,C,I would choose slot machine D.,0,1,1.0,1.0
32,0,0,1,B,A,1,0,A,B,I would choose slot machine A.,1,1,0.0,1.0
33,1,2,3,D,C,2,3,D,C,I would choose slot machine D.,0,1,1.0,1.0
34,0,0,1,B,A,1,0,A,B,I would choose slot machine A.,1,1,0.0,0.0
35,0,0,1,B,A,0,1,B,A,I would choose slot machine A.,1,0,0.0,0.0
36,1,2,3,D,C,3,2,C,D,I would choose slot machine C.,1,1,1.0,1.0
37,1,2,3,D,C,3,2,C,D,I would choose slot machine C.,1,1,0.0,1.0
38,0,0,1,B,A,1,0,A,B,I would choose slot machine A.,1,1,0.0,0.0
39,1,2,3,D,C,3,2,C,D,I would choose slot machine C.,1,1,0.0,1.0
40,1,2,3,D,C,2,3,D,C,I would choose slot machine D.,0,1,0.0,1.0
41,0,0,1,B,A,1,0,A,B,I would choose slot machine A.,1,1,0.0,1.0
42,1,2,3,D,C,3,2,C,D,I would choose slot machine C.,1,1,0.0,1.0
43,0,0,1,B,A,1,0,A,B,I would choose slot machine A.,1,1,0.0,1.0
44,0,0,1,B,A,0,1,B,A,I would choose slot machine A.,1,0,1.0,1.0
45,0,0,1,B,A,0,1,B,A,I would choose slot machine A.,1,0,0.0,0.0
46,0,0,1,B,A,1,0,A,B,I would choose slot machine A.,1,1,0.0,1.0
47,1,2,3,D,C,3,2,C,D,I would choose slot machine C.,1,1,1.0,1.0
48,0,0,1,B,A,0,1,B,A,I would choose slot machine A.,1,0,0.0,0.0
49,0,0,1,B,A,0,1,B,A,I would choose slot machine A.,1,0,0.0,0.0
50,1,2,3,D,C,2,3,D,C,I would choose slot machine D.,0,1,1.0,0.0
51,0,0,1,B,A,1,0,A,B,I would choose slot machine A.,1,1,0.0,1.0
52,1,2,3,D,C,3,2,C,D,I would choose slot machine C.,1,1,1.0,1.0
53,0,0,1,B,A,1,0,A,B,I would choose slot machine A.,1,1,0.0,0.0
54,0,0,1,B,A,0,1,B,A,I would choose slot machine A.,1,0,0.0,0.0
55,0,0,1,B,A,1,0,A,B,I would choose slot machine A.,1,1,0.0,0.0
56,0,0,1,B,A,1,0,A,B,I would choose slot machine A.,1,1,0.0,0.0
57,1,2,3,D,C,2,3,D,C,I would choose slot machine D.,0,1,0.0,1.0
58,0,0,1,B,A,0,1,B,A,I would choose slot machine A.,1,0,0.0,1.0
59,1,2,3,D,C,3,2,C,D,I would choose slot machine C.,1,1,0.0,1.0
0,99,0,1,B,A,0,1,B,A,I would choose slot machine A.,1,0,0.0,0.0
1,99,0,2,B,D,0,2,B,D,I would choose slot machine D.,1,0,0.0,0.0
2,99,0,3,B,C,0,3,B,C,I would choose slot machine C.,1,0,0.0,0.0
3,99,1,2,A,D,1,2,A,D,I would choose slot machine D.,1,0,0.0,0.0
4,99,1,3,A,C,1,3,A,C,I would choose slot machine C.,1,0,0.0,0.0
5,99,2,3,D,C,2,3,D,C,I would choose slot machine D.,0,1,0.0,0.0
0,99,0,1,B,A,1,0,A,B,I would choose slot machine A.,1,1,0.0,0.0
1,99,0,2,B,D,2,0,D,B,I would choose slot machine D.,1,1,0.0,0.0
2,99,0,3,B,C,3,0,C,B,I would choose slot machine C.,1,1,0.0,0.0
3,99,1,2,A,D,2,1,D,A,I would choose slot machine D.,1,1,0.0,0.0
4,99,1,3,A,C,3,1,C,A,I would choose slot machine C.,1,1,0.0,0.0
5,99,2,3,D,C,3,2,C,D,I would choose slot machine C.,1,1,0.0,0.0
