trial,context,L_index,H_index,L_option,H_option,left_index,right_index,left_option,right_option,choice,accuracy,chose_left,L_outcome,H_outcome
0,1,2,3,D,C,3,2,C,D,"Slot machine C gives 1 point with a probability of 0.8, otherwise 0 points.
Slot machine D gives 1 point with a probability of 0.5, otherwise 0 points.

I would choose slot machine C.",1,1,0.0,1.0
1,1,2,3,D,C,3,2,C,D,I would choose slot machine C.,1,1,1.0,1.0
2,1,2,3,D,C,2,3,D,C,I would choose slot machine D.,0,1,1.0,1.0
3,0,0,1,A,B,1,0,B,A,I would choose slot machine A.,0,0,0.0,1.0
4,0,0,1,A,B,0,1,A,B,I would choose slot machine B.,1,0,0.0,1.0
5,0,0,1,A,B,1,0,B,A,I would choose slot machine B.,1,1,0.0,0.0
6,0,0,1,A,B,0,1,A,B,I would choose slot machine B.,1,0,0.0,1.0
7,0,0,1,A,B,0,1,A,B,I would choose slot machine B.,1,0,0.0,1.0
8,0,0,1,A,B,0,1,A,B,I would choose slot machine B.,1,0,1.0,0.0
9,1,2,3,D,C,2,3,D,C,I would choose slot machine D.,0,1,0.0,1.0
10,0,0,1,A,B,0,1,A,B,I would choose slot machine B.,1,0,0.0,0.0
11,1,2,3,D,C,2,3,D,C,I would choose slot machine C.,1,0,1.0,1.0
12,0,0,1,A,B,0,1,A,B,I would choose slot machine B.,1,0,0.0,1.0
13,1,2,3,D,C,2,3,D,C,I would choose slot machine D.,0,1,1.0,0.0
14,1,2,3,D,C,3,2,C,D,I would choose slot machine C.,1,1,1.0,1.0
15,0,0,1,A,B,1,0,B,A,I would choose slot machine B.,1,1,0.0,0.0
16,0,0,1,A,B,1,0,B,A,I would choose slot machine B.,1,1,1.0,1.0
17,0,0,1,A,B,0,1,A,B,I would choose slot machine B.,1,0,0.0,0.0
18,0,0,1,A,B,1,0,B,A,I would choose slot machine B.,1,1,0.0,0.0
19,0,0,1,A,B,1,0,B,A,I would choose slot machine B.,1,1,0.0,0.0
20,1,2,3,D,C,3,2,C,D,I would choose slot machine C.,1,1,0.0,1.0
21,0,0,1,A,B,0,1,A,B,I would choose slot machine B.,1,0,0.0,0.0
22,1,2,3,D,C,2,3,D,C,I would choose slot machine D.,0,1,0.0,1.0
23,1,2,3,D,C,2,3,D,C,I would choose slot machine D.,0,1,1.0,1.0
24,0,0,1,A,B,0,1,A,B,I would choose slot machine B.,1,0,1.0,0.0
25,1,2,3,D,C,2,3,D,C,I would choose slot machine D.,0,1,0.0,1.0
26,0,0,1,A,B,1,0,B,A,I would choose slot machine B.,1,1,0.0,1.0
27,1,2,3,D,C,3,2,C,D,I would choose slot machine C.,1,1,1.0,0.0
28,0,0,1,A,B,0,1,A,B,I would choose slot machine B.,1,0,0.0,0.0
29,0,0,1,A,B,1,0,B,A,I would choose slot machine B.,1,1,0.0,0.0
30,0,0,1,A,B,1,0,B,A,I would choose slot machine B.,1,1,0.0,1.0
31,0,0,1,A,B,1,0,B,A,I would choose slot machine B.,1,1,0.0,0.0
32,0,0,1,A,B,1,0,B,A,I would choose slot machine B.,1,1,0.0,1.0
33,0,0,1,A,B,0,1,A,B,I would choose slot machine B.,1,0,0.0,0.0
34,1,2,3,D,C,3,2,C,D,I would choose slot machine C.,1,1,1.0,1.0
35,1,2,3,D,C,2,3,D,C,I would choose slot machine D.,0,1,1.0,1.0
36,0,0,1,A,B,0,1,A,B,I would choose slot machine B.,1,0,0.0,0.0
37,1,2,3,D,C,3,2,C,D,I would choose slot machine C.,1,1,1.0,1.0
38,1,2,3,D,C,3,2,C,D,I would choose slot machine C.,1,1,0.0,1.0
39,1,2,3,D,C,3,2,C,D,I would choose slot machine C.,1,1,0.0,0.0
40,1,2,3,D,C,2,3,D,C,I would choose slot machine D.,0,1,0.0,1.0
41,1,2,3,D,C,2,3,D,C,I would choose slot machine D.,0,1,1.0,1.0
42,1,2,3,D,C,2,3,D,C,I would choose slot machine D.,0,1,1.0,1.0
43,1,2,3,D,C,2,3,D,C,I would choose slot machine D.,0,1,1.0,1.0
44,0,0,1,A,B,1,0,B,A,I would choose slot machine B.,1,1,0.0,0.0
45,0,0,1,A,B,0,1,A,B,I would choose slot machine B.,1,0,0.0,1.0
46,1,2,3,D,C,3,2,C,D,I would choose slot machine C.,1,1,1.0,1.0
47,1,2,3,D,C,2,3,D,C,I would choose slot machine D.,0,1,1.0,1.0
48,1,2,3,D,C,2,3,D,C,I would choose slot machine D.,0,1,1.0,1.0
49,1,2,3,D,C,3,2,C,D,I would choose slot machine C.,1,1,0.0,1.0
50,0,0,1,A,B,0,1,A,B,I would choose slot machine B.,1,0,0.0,1.0
51,1,2,3,D,C,3,2,C,D,I would choose slot machine C.,1,1,0.0,1.0
52,1,2,3,D,C,3,2,C,D,I would choose slot machine C.,1,1,0.0,1.0
53,1,2,3,D,C,3,2,C,D,I would choose slot machine C.,1,1,0.0,1.0
54,1,2,3,D,C,2,3,D,C,I would choose slot machine D.,0,1,1.0,1.0
55,1,2,3,D,C,2,3,D,C,I would choose slot machine D.,0,1,1.0,1.0
56,0,0,1,A,B,1,0,B,A,I would choose slot machine B.,1,1,0.0,0.0
