trial,context,L_index,H_index,L_option,H_option,left_index,right_index,left_option,right_option,choice,accuracy,chose_left,L_outcome,H_outcome
0,1,2,3,E,G,2,3,E,G,I would choose slot machine G.,1,0,20,24
1,1,2,3,E,G,3,2,G,E,I would choose slot machine G.,1,1,19,24
2,3,6,7,H,D,7,6,D,H,I would choose slot machine D.,1,1,33,34
3,3,6,7,H,D,7,6,D,H,I would choose slot machine D.,1,1,31,35
4,2,4,5,C,F,4,5,C,F,I would choose slot machine _.,0,0,28,29
5,1,2,3,E,G,3,2,G,E,I would choose slot machine G.,1,1,19,23
6,0,0,1,A,B,0,1,A,B,I would choose slot machine A.,0,1,15,18
7,0,0,1,A,B,1,0,B,A,I would choose slot machine B.,1,1,14,17
8,2,4,5,C,F,5,4,F,C,I would choose slot machine F.,1,1,27,29
9,3,6,7,H,D,6,7,H,D,I would choose slot machine D.,1,0,33,34
10,1,2,3,E,G,2,3,E,G,I would choose slot machine G.,1,0,18,23
11,2,4,5,C,F,4,5,C,F,I would choose slot machine F.,1,0,26,32
12,2,4,5,C,F,4,5,C,F,I would choose slot machine F.,1,0,26,31
13,3,6,7,H,D,6,7,H,D,I would choose slot machine D.,1,0,33,35
14,0,0,1,A,B,1,0,B,A,I would choose slot machine B.,1,1,15,16
15,0,0,1,A,B,1,0,B,A,I would choose slot machine B.,1,1,15,18
16,2,4,5,C,F,4,5,C,F,I would choose slot machine F.,1,0,25,27
17,3,6,7,H,D,7,6,D,H,I would choose slot machine D.,1,1,33,35
18,0,0,1,A,B,0,1,A,B,I would choose slot machine B.,1,0,13,18
19,2,4,5,C,F,4,5,C,F,I would choose slot machine F.,1,0,29,32
20,1,2,3,E,G,2,3,E,G,I would choose slot machine G.,1,0,22,23
21,2,4,5,C,F,5,4,F,C,I would choose slot machine F.,1,1,28,29
22,3,6,7,H,D,6,7,H,D,I would choose slot machine D.,1,0,33,36
23,1,2,3,E,G,3,2,G,E,I would choose slot machine G.,1,1,20,25
24,1,2,3,E,G,2,3,E,G,I would choose slot machine G.,1,0,20,23
25,1,2,3,E,G,3,2,G,E,I would choose slot machine G.,1,1,20,23
26,1,2,3,E,G,2,3,E,G,I would choose slot machine G.,1,0,21,24
27,3,6,7,H,D,6,7,H,D,I would choose slot machine D.,1,0,33,35
28,3,6,7,H,D,7,6,D,H,I would choose slot machine D.,1,1,33,35
29,2,4,5,C,F,5,4,F,C,I would choose slot machine F.,1,1,26,29
30,0,0,1,A,B,1,0,B,A,I would choose slot machine B.,1,1,15,17
31,0,0,1,A,B,0,1,A,B,I would choose slot machine B.,1,0,15,16
32,0,0,1,A,B,1,0,B,A,I would choose slot machine B.,1,1,16,18
33,2,4,5,C,F,5,4,F,C,I would choose slot machine F.,1,1,24,30
34,2,4,5,C,F,4,5,C,F,I would choose slot machine F.,1,0,27,30
35,0,0,1,A,B,0,1,A,B,I would choose slot machine B.,1,0,15,16
36,0,0,1,A,B,0,1,A,B,I would choose slot machine B.,1,0,15,18
37,2,4,5,C,F,5,4,F,C,I would choose slot machine F.,1,1,28,30
38,1,2,3,E,G,3,2,G,E,I would choose slot machine G.,1,1,19,24
39,3,6,7,H,D,6,7,H,D,I would choose slot machine D.,1,0,31,35
40,2,4,5,C,F,4,5,C,F,I would choose slot machine F.,1,0,25,30
41,3,6,7,H,D,7,6,D,H,I would choose slot machine D.,1,1,33,36
42,3,6,7,H,D,7,6,D,H,I would choose slot machine D.,1,1,32,35
43,1,2,3,E,G,3,2,G,E,I would choose slot machine G.,1,1,20,23
44,0,0,1,A,B,1,0,B,A,I would choose slot machine B.,1,1,14,17
45,2,4,5,C,F,5,4,F,C,I would choose slot machine F.,1,1,28,29
46,0,0,1,A,B,1,0,B,A,I would choose slot machine B.,1,1,17,18
47,1,2,3,E,G,3,2,G,E,I would choose slot machine G.,1,1,21,25
