trial,context,L_index,H_index,L_option,H_option,left_index,right_index,left_option,right_option,choice,accuracy,chose_left,L_outcome,H_outcome
0,0,0,1,H,A,1,0,A,H,"Slot machine A has a 30% chance of winning $10, a 60% chance of winning $0, and a 10% chance of losing $5.
Slot machine H has a 20% chance of winning $15, a 70% chance of winning $0, and a 10% chance of losing $10.

I would choose slot machine H.",0,0,-1.0,-1.0
1,1,2,3,G,B,2,3,G,B,I would choose slot machine G.,0,1,0.0,-0.1
2,3,6,7,F,C,6,7,F,C,I would choose slot machine F.,0,1,0.0,0.0
3,1,2,3,G,B,3,2,B,G,I would choose slot machine G.,0,0,-0.1,0.0
4,2,4,5,E,D,5,4,D,E,I would choose slot machine E.,0,0,0.0,0.1
5,0,0,1,H,A,0,1,H,A,I would choose slot machine H.,0,1,-1.0,-1.0
6,0,0,1,H,A,1,0,A,H,I would choose slot machine A.,1,1,0.0,0.0
7,2,4,5,E,D,5,4,D,E,I would choose slot machine D.,1,1,0.0,0.0
8,1,2,3,G,B,3,2,B,G,I would choose slot machine B.,1,1,0.0,0.0
9,1,2,3,G,B,3,2,B,G,I would choose slot machine B.,1,1,-0.1,0.0
10,0,0,1,H,A,1,0,A,H,I would choose slot machine A.,1,1,0.0,0.0
11,3,6,7,F,C,6,7,F,C,I would choose slot machine F.,0,1,1.0,1.0
12,3,6,7,F,C,7,6,C,F,I would choose slot machine F.,0,0,1.0,1.0
13,1,2,3,G,B,3,2,B,G,I would choose slot machine B.,1,1,-0.1,0.0
14,0,0,1,H,A,0,1,H,A,I would choose slot machine H.,0,1,-1.0,-1.0
15,0,0,1,H,A,0,1,H,A,I would choose slot machine H.,0,1,-1.0,0.0
16,1,2,3,G,B,2,3,G,B,I would choose slot machine G.,0,1,-0.1,-0.1
17,3,6,7,F,C,7,6,C,F,I would choose slot machine F.,0,0,0.0,1.0
18,2,4,5,E,D,4,5,E,D,I would choose slot machine E.,0,1,0.0,0.0
19,2,4,5,E,D,5,4,D,E,I would choose slot machine D.,1,1,0.1,0.1
20,3,6,7,F,C,6,7,F,C,I would choose slot machine F.,0,1,0.0,1.0
21,1,2,3,G,B,2,3,G,B,I would choose slot machine G.,0,1,-0.1,0.0
22,0,0,1,H,A,0,1,H,A,I would choose slot machine H.,0,1,-1.0,0.0
23,2,4,5,E,D,5,4,D,E,I would choose slot machine D.,1,1,0.0,0.1
24,2,4,5,E,D,4,5,E,D,I would choose slot machine E.,0,1,0.0,0.1
25,2,4,5,E,D,5,4,D,E,I would choose slot machine D.,1,1,0.1,0.1
26,0,0,1,H,A,1,0,A,H,I would choose slot machine A.,1,1,-1.0,0.0
27,2,4,5,E,D,4,5,E,D,I would choose slot machine E.,0,1,0.0,0.1
28,3,6,7,F,C,7,6,C,F,I would choose slot machine C.,1,1,1.0,1.0
29,3,6,7,F,C,6,7,F,C,I would choose slot machine F.,0,1,0.0,1.0
30,0,0,1,H,A,1,0,A,H,I would choose slot machine A.,1,1,-1.0,0.0
31,2,4,5,E,D,5,4,D,E,I would choose slot machine D.,1,1,0.0,0.1
32,0,0,1,H,A,1,0,A,H,I would choose slot machine A.,1,1,-1.0,0.0
33,1,2,3,G,B,3,2,B,G,I would choose slot machine B.,1,1,0.0,0.0
34,1,2,3,G,B,2,3,G,B,I would choose slot machine G.,0,1,-0.1,0.0
35,1,2,3,G,B,3,2,B,G,I would choose slot machine B.,1,1,-0.1,-0.1
36,3,6,7,F,C,7,6,C,F,I would choose slot machine C.,1,1,0.0,1.0
37,1,2,3,G,B,2,3,G,B,I would choose slot machine G.,0,1,-0.1,0.0
38,3,6,7,F,C,7,6,C,F,I would choose slot machine C.,1,1,0.0,1.0
39,3,6,7,F,C,6,7,F,C,I would choose slot machine F.,0,1,0.0,0.0
40,2,4,5,E,D,4,5,E,D,I would choose slot machine E.,0,1,0.1,0.0
41,0,0,1,H,A,0,1,H,A,I would choose slot machine H.,0,1,0.0,0.0
42,2,4,5,E,D,5,4,D,E,"Please answer within 10 seconds.

You have 10 seconds.

(If you don't answer within 10 seconds, I will assume you are unable to make a decision and will choose a slot machine randomly)",-99,-99,0.0,0.1
