trial,context,L_index,H_index,L_option,H_option,left_index,right_index,left_option,right_option,choice,accuracy,chose_left,L_outcome,H_outcome
0,2,4,5,B,C,5,4,C,B,I would choose slot machine B.,0,0,28.0,42.0
1,1,2,3,E,F,3,2,F,E,I would choose slot machine F.,1,1,27.0,26.0
2,0,0,1,G,H,0,1,G,H,I would choose slot machine G.,0,1,20.0,25.0
3,1,2,3,E,F,2,3,E,F,I would choose slot machine E.,0,1,27.0,26.0
4,2,4,5,B,C,4,5,B,C,I would choose slot machine C.,1,0,28.0,27.0
5,3,6,7,A,D,6,7,A,D,I would choose slot machine D.,1,0,44.0,34.0
6,1,2,3,E,F,3,2,F,E,I would choose slot machine E.,0,0,27.0,26.0
7,1,2,3,E,F,2,3,E,F,I would choose slot machine E.,0,1,27.0,26.0
8,1,2,3,E,F,3,2,F,E,I would choose slot machine E.,0,0,27.0,26.0
9,3,6,7,A,D,7,6,D,A,I would choose slot machine A.,0,0,29.0,34.0
10,3,6,7,A,D,7,6,D,A,I would choose slot machine D.,1,1,29.0,34.0
11,3,6,7,A,D,7,6,D,A,I would choose slot machine D.,1,1,29.0,34.0
12,3,6,7,A,D,6,7,A,D,I would choose slot machine D.,1,0,44.0,34.0
13,3,6,7,A,D,7,6,D,A,I would choose slot machine A.,0,0,29.0,34.0
14,3,6,7,A,D,6,7,A,D,I would choose slot machine A.,0,1,29.0,34.0
15,3,6,7,A,D,7,6,D,A,I would choose slot machine D.,1,1,29.0,34.0
16,3,6,7,A,D,6,7,A,D,I would choose slot machine D.,1,0,29.0,34.0
17,2,4,5,B,C,5,4,C,B,I would choose slot machine C.,1,1,28.0,27.0
18,2,4,5,B,C,5,4,C,B,I would choose slot machine B.,0,0,28.0,42.0
19,0,0,1,G,H,1,0,H,G,I would choose slot machine H.,1,1,20.0,10.0
20,0,0,1,G,H,0,1,G,H,I would choose slot machine G.,0,1,20.0,25.0
21,2,4,5,B,C,5,4,C,B,I would choose slot machine C.,1,1,28.0,27.0
22,2,4,5,B,C,5,4,C,B,I would choose slot machine C.,1,1,28.0,27.0
23,0,0,1,G,H,0,1,G,H,I would choose slot machine G.,0,1,20.0,25.0
24,1,2,3,E,F,3,2,F,E,I would choose slot machine E.,0,0,27.0,26.0
25,3,6,7,A,D,7,6,D,A,I would choose slot machine D.,1,1,29.0,34.0
