"condition","model","id","trial","context","L_index","H_index","left_index","right_index","choice_idx","accuracy","L_outcome","H_outcome","left_outcome","right_outcome"
"standard prompt","gemma-7b",0,0,2,4,5,5,4,0,1,28,30,30,28
"standard prompt","gemma-7b",0,1,2,4,5,4,5,1,1,27,30,27,30
"standard prompt","gemma-7b",0,2,0,0,1,1,0,0,1,14,19,19,14
"standard prompt","gemma-7b",0,3,0,0,1,1,0,0,1,14,18,18,14
"standard prompt","gemma-7b",0,4,2,4,5,5,4,0,1,26,30,30,26
"standard prompt","gemma-7b",0,5,1,2,3,2,3,0,0,22,24,22,24
"standard prompt","gemma-7b",0,6,1,2,3,3,2,1,0,21,24,24,21
"standard prompt","gemma-7b",0,7,0,0,1,1,0,0,1,16,18,18,16
"standard prompt","gemma-7b",0,8,3,6,7,7,6,1,0,33,37,37,33
"standard prompt","gemma-7b",0,9,0,0,1,0,1,1,1,13,18,13,18
"standard prompt","gemma-7b",0,10,3,6,7,6,7,0,0,32,35,32,35
"standard prompt","gemma-7b",0,11,1,2,3,3,2,1,0,19,22,22,19
"standard prompt","gemma-7b",0,12,3,6,7,6,7,0,0,33,35,33,35
"standard prompt","gemma-7b",0,13,3,6,7,7,6,0,1,34,36,36,34
"standard prompt","gemma-7b",0,14,0,0,1,0,1,1,1,14,18,14,18
"standard prompt","gemma-7b",0,15,2,4,5,4,5,0,0,26,28,26,28
"standard prompt","gemma-7b",0,16,2,4,5,5,4,1,0,26,30,30,26
"standard prompt","gemma-7b",0,17,3,6,7,6,7,0,0,32,36,32,36
"standard prompt","gemma-7b",0,18,1,2,3,2,3,0,0,20,24,20,24
"standard prompt","gemma-7b",0,19,0,0,1,1,0,0,1,14,16,16,14
"standard prompt","gemma-7b",0,20,3,6,7,7,6,0,1,32,36,36,32
"standard prompt","gemma-7b",0,21,0,0,1,0,1,0,0,14,18,14,18
"standard prompt","gemma-7b",0,22,3,6,7,7,6,0,1,34,36,36,34
"standard prompt","gemma-7b",0,23,0,0,1,1,0,0,1,15,17,17,15
"standard prompt","gemma-7b",0,24,1,2,3,2,3,0,0,20,24,20,24
"standard prompt","gemma-7b",0,25,3,6,7,6,7,0,0,32,37,32,37
"standard prompt","gemma-7b",0,26,1,2,3,2,3,0,0,19,23,19,23
"standard prompt","gemma-7b",0,27,0,0,1,1,0,0,1,15,18,18,15
"standard prompt","gemma-7b",0,28,1,2,3,2,3,0,0,21,24,21,24
"standard prompt","gemma-7b",0,29,2,4,5,4,5,1,1,27,31,27,31
"standard prompt","gemma-7b",0,30,3,6,7,6,7,0,0,34,35,34,35
"standard prompt","gemma-7b",0,31,1,2,3,3,2,1,0,19,23,23,19
"standard prompt","gemma-7b",0,32,0,0,1,0,1,1,1,14,18,14,18
"standard prompt","gemma-7b",0,33,2,4,5,4,5,0,0,26,28,26,28
"standard prompt","gemma-7b",0,34,0,0,1,1,0,0,1,15,19,19,15
"standard prompt","gemma-7b",0,35,2,4,5,5,4,0,1,27,29,29,27
"standard prompt","gemma-7b",0,36,1,2,3,2,3,0,0,21,23,21,23
"standard prompt","gemma-7b",0,37,2,4,5,4,5,0,0,26,30,26,30
"standard prompt","gemma-7b",0,38,3,6,7,7,6,1,0,32,35,35,32
"standard prompt","gemma-7b",0,39,2,4,5,4,5,1,1,25,29,25,29
"standard prompt","gemma-7b",0,40,2,4,5,5,4,0,1,28,29,29,28
"standard prompt","gemma-7b",0,41,1,2,3,3,2,1,0,19,25,25,19
"standard prompt","gemma-7b",0,42,1,2,3,3,2,0,1,22,23,23,22
"standard prompt","gemma-7b",0,43,1,2,3,2,3,0,0,22,23,22,23
"standard prompt","gemma-7b",0,44,2,4,5,4,5,0,0,26,29,26,29
"standard prompt","gemma-7b",0,45,0,0,1,0,1,1,1,14,19,14,19
"standard prompt","gemma-7b",0,46,0,0,1,0,1,1,1,14,17,14,17
"standard prompt","gemma-7b",0,47,2,4,5,4,5,0,0,26,30,26,30
"standard prompt","gemma-7b",0,48,3,6,7,7,6,0,1,34,37,37,34
"standard prompt","gemma-7b",0,49,1,2,3,3,2,1,0,20,25,25,20
"standard prompt","gemma-7b",0,50,3,6,7,7,6,0,1,31,36,36,31
"standard prompt","gemma-7b",0,51,3,6,7,7,6,0,1,31,37,37,31
"standard prompt","gemma-7b",0,52,2,4,5,4,5,0,0,26,29,26,29
"standard prompt","gemma-7b",0,53,1,2,3,2,3,0,0,21,23,21,23
"standard prompt","gemma-7b",0,54,0,0,1,1,0,0,1,15,17,17,15
"standard prompt","gemma-7b",0,55,3,6,7,6,7,0,0,31,36,31,36
"standard prompt","gemma-7b",0,56,1,2,3,2,3,0,0,20,25,20,25
"standard prompt","gemma-7b",0,57,3,6,7,6,7,1,1,31,35,31,35
"standard prompt","gemma-7b",0,58,0,0,1,1,0,0,1,16,18,18,16
"standard prompt","gemma-7b",0,59,2,4,5,5,4,0,1,26,28,28,26
"standard prompt","gemma-7b",0,0,99,0,1,1,0,0,1,0,0,0,0
"standard prompt","gemma-7b",0,1,99,0,2,0,2,0,0,0,0,0,0
"standard prompt","gemma-7b",0,2,99,0,3,0,3,0,0,0,0,0,0
"standard prompt","gemma-7b",0,3,99,0,4,0,4,1,1,0,0,0,0
"standard prompt","gemma-7b",0,4,99,0,5,5,0,0,1,0,0,0,0
"standard prompt","gemma-7b",0,5,99,0,6,6,0,0,1,0,0,0,0
"standard prompt","gemma-7b",0,6,99,0,7,7,0,0,1,0,0,0,0
"standard prompt","gemma-7b",0,7,99,1,2,2,1,1,0,0,0,0,0
"standard prompt","gemma-7b",0,8,99,1,3,3,1,1,0,0,0,0,0
"standard prompt","gemma-7b",0,9,99,1,4,4,1,1,0,0,0,0,0
"standard prompt","gemma-7b",0,10,99,1,5,5,1,0,1,0,0,0,0
"standard prompt","gemma-7b",0,11,99,1,6,6,1,1,0,0,0,0,0
"standard prompt","gemma-7b",0,12,99,1,7,1,7,0,0,0,0,0,0
"standard prompt","gemma-7b",0,13,99,2,3,3,2,0,1,0,0,0,0
"standard prompt","gemma-7b",0,14,99,2,4,4,2,0,1,0,0,0,0
"standard prompt","gemma-7b",0,15,99,2,5,5,2,1,0,0,0,0,0
"standard prompt","gemma-7b",0,16,99,2,6,6,2,1,0,0,0,0,0
"standard prompt","gemma-7b",0,17,99,2,7,2,7,0,0,0,0,0,0
"standard prompt","gemma-7b",0,18,99,3,4,3,4,1,1,0,0,0,0
"standard prompt","gemma-7b",0,19,99,3,5,5,3,0,1,0,0,0,0
"standard prompt","gemma-7b",0,20,99,3,6,3,6,1,1,0,0,0,0
"standard prompt","gemma-7b",0,21,99,3,7,7,3,0,1,0,0,0,0
"standard prompt","gemma-7b",0,22,99,4,5,4,5,1,1,0,0,0,0
"standard prompt","gemma-7b",0,23,99,4,6,6,4,1,0,0,0,0,0
"standard prompt","gemma-7b",0,24,99,4,7,7,4,0,1,0,0,0,0
"standard prompt","gemma-7b",0,25,99,5,6,5,6,0,0,0,0,0,0
"standard prompt","gemma-7b",0,26,99,5,7,7,5,0,1,0,0,0,0
"standard prompt","gemma-7b",0,27,99,6,7,6,7,0,0,0,0,0,0
"standard prompt","gemma-7b",1,0,2,4,5,4,5,0,0,26,28,26,28
"standard prompt","gemma-7b",1,1,3,6,7,6,7,0,0,33,37,33,37
"standard prompt","gemma-7b",1,2,3,6,7,7,6,1,0,32,36,36,32
"standard prompt","gemma-7b",1,3,1,2,3,3,2,0,1,20,24,24,20
"standard prompt","gemma-7b",1,4,2,4,5,5,4,0,1,27,28,28,27
"standard prompt","gemma-7b",1,5,0,0,1,0,1,0,0,14,19,14,19
"standard prompt","gemma-7b",1,6,0,0,1,1,0,0,1,13,18,18,13
"standard prompt","gemma-7b",1,7,0,0,1,1,0,0,1,12,17,17,12
"standard prompt","gemma-7b",1,8,0,0,1,1,0,0,1,14,17,17,14
"standard prompt","gemma-7b",1,9,2,4,5,4,5,1,1,27,30,27,30
"standard prompt","gemma-7b",1,10,0,0,1,0,1,0,0,15,18,15,18
"standard prompt","gemma-7b",1,11,2,4,5,4,5,1,1,26,28,26,28
"standard prompt","gemma-7b",1,12,3,6,7,6,7,0,0,32,36,32,36
"standard prompt","gemma-7b",1,13,0,0,1,1,0,1,0,15,19,19,15
"standard prompt","gemma-7b",1,14,1,2,3,2,3,0,0,21,23,21,23
"standard prompt","gemma-7b",1,15,2,4,5,4,5,1,1,25,30,25,30
"standard prompt","gemma-7b",1,16,3,6,7,7,6,0,1,31,34,34,31
"standard prompt","gemma-7b",1,17,2,4,5,4,5,0,0,26,30,26,30
"standard prompt","gemma-7b",1,18,3,6,7,7,6,0,1,30,35,35,30
"standard prompt","gemma-7b",1,19,0,0,1,1,0,1,0,14,18,18,14
"standard prompt","gemma-7b",1,20,3,6,7,6,7,1,1,31,35,31,35
"standard prompt","gemma-7b",1,21,1,2,3,2,3,0,0,20,22,20,22
"standard prompt","gemma-7b",1,22,3,6,7,7,6,0,1,31,35,35,31
"standard prompt","gemma-7b",1,23,3,6,7,6,7,1,1,33,36,33,36
"standard prompt","gemma-7b",1,24,1,2,3,2,3,1,1,21,25,21,25
"standard prompt","gemma-7b",1,25,0,0,1,1,0,1,0,15,16,16,15
"standard prompt","gemma-7b",1,26,1,2,3,3,2,0,1,20,23,23,20
"standard prompt","gemma-7b",1,27,1,2,3,3,2,0,1,22,23,23,22
"standard prompt","gemma-7b",1,28,2,4,5,4,5,1,1,26,29,26,29
"standard prompt","gemma-7b",1,29,0,0,1,1,0,0,1,13,18,18,13
"standard prompt","gemma-7b",1,30,1,2,3,2,3,0,0,21,23,21,23
"standard prompt","gemma-7b",1,31,0,0,1,1,0,0,1,15,18,18,15
"standard prompt","gemma-7b",1,32,0,0,1,1,0,0,1,14,19,19,14
"standard prompt","gemma-7b",1,33,1,2,3,2,3,1,1,19,24,19,24
"standard prompt","gemma-7b",1,34,2,4,5,5,4,0,1,26,30,30,26
"standard prompt","gemma-7b",1,35,1,2,3,3,2,0,1,20,23,23,20
"standard prompt","gemma-7b",1,36,1,2,3,3,2,0,1,21,23,23,21
"standard prompt","gemma-7b",1,37,2,4,5,5,4,0,1,27,29,29,27
"standard prompt","gemma-7b",1,38,3,6,7,7,6,0,1,33,35,35,33
"standard prompt","gemma-7b",1,39,1,2,3,2,3,0,0,21,24,21,24
"standard prompt","gemma-7b",1,40,3,6,7,7,6,0,1,32,35,35,32
"standard prompt","gemma-7b",1,41,0,0,1,1,0,0,1,16,18,18,16
"standard prompt","gemma-7b",1,42,2,4,5,4,5,0,0,27,29,27,29
"standard prompt","gemma-7b",1,43,2,4,5,5,4,0,1,28,29,29,28
"standard prompt","gemma-7b",1,44,3,6,7,6,7,0,0,32,35,32,35
"standard prompt","gemma-7b",1,45,1,2,3,2,3,1,1,21,24,21,24
"standard prompt","gemma-7b",1,46,3,6,7,7,6,0,1,33,35,35,33
"standard prompt","gemma-7b",1,47,1,2,3,3,2,0,1,22,24,24,22
"standard prompt","gemma-7b",1,48,2,4,5,5,4,0,1,26,28,28,26
"standard prompt","gemma-7b",1,49,1,2,3,3,2,0,1,21,23,23,21
"standard prompt","gemma-7b",1,50,2,4,5,4,5,0,0,28,29,28,29
"standard prompt","gemma-7b",1,51,2,4,5,5,4,0,1,27,31,31,27
"standard prompt","gemma-7b",1,52,3,6,7,6,7,0,0,32,36,32,36
"standard prompt","gemma-7b",1,53,1,2,3,2,3,0,0,21,23,21,23
"standard prompt","gemma-7b",1,54,0,0,1,1,0,1,0,16,18,18,16
"standard prompt","gemma-7b",1,55,3,6,7,6,7,0,0,32,35,32,35
"standard prompt","gemma-7b",1,56,0,0,1,1,0,1,0,17,19,19,17
"standard prompt","gemma-7b",1,57,3,6,7,7,6,0,1,35,38,38,35
"standard prompt","gemma-7b",1,58,2,4,5,5,4,0,1,25,29,29,25
"standard prompt","gemma-7b",1,59,0,0,1,0,1,0,0,14,18,14,18
"standard prompt","gemma-7b",1,0,99,0,1,1,0,0,1,0,0,0,0
"standard prompt","gemma-7b",1,1,99,0,2,0,2,0,0,0,0,0,0
"standard prompt","gemma-7b",1,2,99,0,3,3,0,0,1,0,0,0,0
"standard prompt","gemma-7b",1,3,99,0,4,0,4,0,0,0,0,0,0
"standard prompt","gemma-7b",1,4,99,0,5,5,0,1,0,0,0,0,0
"standard prompt","gemma-7b",1,5,99,0,6,6,0,1,0,0,0,0,0
"standard prompt","gemma-7b",1,6,99,0,7,7,0,0,1,0,0,0,0
"standard prompt","gemma-7b",1,7,99,1,2,1,2,1,1,0,0,0,0
"standard prompt","gemma-7b",1,8,99,1,3,1,3,0,0,0,0,0,0
"standard prompt","gemma-7b",1,9,99,1,4,4,1,1,0,0,0,0,0
"standard prompt","gemma-7b",1,10,99,1,5,5,1,1,0,0,0,0,0
