trial,context,L_index,M_index,H_index,L_option,M_option,H_option,left_index,middle_index,right_index,left_option,middle_option,right_option,choice,accuracy,chose_left,L_outcome,M_outcome,H_outcome
0,3,7,8,9,J,D,C,8,9,7,D,C,J,I would choose slot machine D.,0,1,13,50,89
1,1,2,3,4,E,A,H,2,4,3,E,H,A,I would choose slot machine E.,0,1,13,32,50
2,3,7,8,9,J,D,C,8,7,9,D,J,C,I would choose slot machine D.,0,1,12,49,84
3,3,7,8,9,J,D,C,9,8,7,C,D,J,I would choose slot machine C.,1,1,12,48,83
4,2,5,-99,6,F,--,B,6,-99,5,B,--,F,I would choose slot machine B.,1,1,15,0,86
5,3,7,8,9,J,D,C,7,9,8,J,C,D,I would choose slot machine C.,1,0,13,52,87
6,0,0,-99,1,G,--,I,0,-99,1,G,--,I,I would choose slot machine G.,0,1,13,0,50
7,2,5,-99,6,F,--,B,5,-99,6,F,--,B,I would choose slot machine B.,1,0,15,0,85
8,1,2,3,4,E,A,H,4,3,2,H,A,E,I would choose slot machine H.,1,1,14,32,49
9,0,0,-99,1,G,--,I,0,-99,1,G,--,I,I would choose slot machine I.,1,0,13,0,51
10,0,0,-99,1,G,--,I,1,-99,0,I,--,G,I would choose slot machine I.,1,1,15,0,50
11,0,0,-99,1,G,--,I,1,-99,0,I,--,G,I would choose slot machine I.,1,1,16,0,48
12,0,0,-99,1,G,--,I,0,-99,1,G,--,I,I would choose slot machine I.,1,0,11,0,49
13,1,2,3,4,E,A,H,3,4,2,A,H,E,I would choose slot machine A.,0,1,10,27,46
14,2,5,-99,6,F,--,B,5,-99,6,F,--,B,I would choose slot machine B.,1,0,15,0,86
15,0,0,-99,1,G,--,I,0,-99,1,G,--,I,I would choose slot machine I.,1,0,15,0,52
16,1,2,3,4,E,A,H,2,3,4,E,A,H,I would choose slot machine E.,0,1,14,29,53
17,1,2,3,4,E,A,H,2,4,3,E,H,A,I would choose slot machine H.,1,0,14,34,52
18,3,7,8,9,J,D,C,8,7,9,D,J,C,I would choose slot machine C.,1,0,11,51,89
19,2,5,-99,6,F,--,B,6,-99,5,B,--,F,I would choose slot machine B.,1,1,13,0,85
20,2,5,-99,6,F,--,B,5,-99,6,F,--,B,I would choose slot machine B.,1,0,16,0,88
21,3,7,8,9,J,D,C,8,9,7,D,C,J,I would choose slot machine D.,0,1,12,47,88
22,3,7,8,9,J,D,C,9,8,7,C,D,J,I would choose slot machine C.,1,1,14,50,83
23,0,0,-99,1,G,--,I,0,-99,1,G,--,I,I would choose slot machine I.,1,0,13,0,53
24,1,2,3,4,E,A,H,3,2,4,A,E,H,I would choose slot machine H.,1,0,15,34,49
25,1,2,3,4,E,A,H,4,3,2,H,A,E,I would choose slot machine H.,1,1,14,33,51
26,1,2,3,4,E,A,H,2,4,3,E,H,A,I would choose slot machine E.,0,1,11,30,53
27,2,5,-99,6,F,--,B,6,-99,5,B,--,F,I would choose slot machine B.,1,1,13,0,83
28,1,2,3,4,E,A,H,2,3,4,E,A,H,I would choose slot machine H.,1,0,12,33,51
29,3,7,8,9,J,D,C,7,9,8,J,C,D,I would choose slot machine C.,1,0,13,52,85
30,0,0,-99,1,G,--,I,0,-99,1,G,--,I,I would choose slot machine I.,1,0,13,0,49
31,2,5,-99,6,F,--,B,6,-99,5,B,--,F,I would choose slot machine B.,1,1,15,0,85
32,2,5,-99,6,F,--,B,6,-99,5,B,--,F,I would choose slot machine B.,1,1,12,0,85
33,0,0,-99,1,G,--,I,0,-99,1,G,--,I,I would choose slot machine I.,1,0,13,0,50
34,0,0,-99,1,G,--,I,0,-99,1,G,--,I,I would choose slot machine I.,1,0,14,0,46
35,1,2,3,4,E,A,H,3,2,4,A,E,H,I would choose slot machine H.,1,0,8,33,45
36,0,0,-99,1,G,--,I,1,-99,0,I,--,G,I would choose slot machine I.,1,1,15,0,46
37,0,0,-99,1,G,--,I,0,-99,1,G,--,I,I would choose slot machine I.,1,0,13,0,49
38,3,7,8,9,J,D,C,7,8,9,J,D,C,I would choose slot machine D.,0,0,10,50,84
39,2,5,-99,6,F,--,B,5,-99,6,F,--,B,I would choose slot machine B.,1,0,17,0,85
40,3,7,8,9,J,D,C,9,8,7,C,D,J,I would choose slot machine C.,1,1,13,51,86
41,3,7,8,9,J,D,C,9,8,7,C,D,J,I would choose slot machine C.,1,1,14,48,88
42,2,5,-99,6,F,--,B,5,-99,6,F,--,B,I would choose slot machine B.,1,0,11,0,86
43,1,2,3,4,E,A,H,2,3,4,E,A,H,I would choose slot machine H.,1,0,15,31,46
44,2,5,-99,6,F,--,B,6,-99,5,B,--,F,I would choose slot machine B.,1,1,13,0,85
45,2,5,-99,6,F,--,B,6,-99,5,B,--,F,I would choose slot machine B.,1,1,11,0,88
46,2,5,-99,6,F,--,B,6,-99,5,B,--,F,I would choose slot machine B.,1,1,16,0,88
47,3,7,8,9,J,D,C,8,7,9,D,J,C,I would choose slot machine C.,1,0,15,50,88
48,3,7,8,9,J,D,C,9,7,8,C,J,D,I would choose slot machine C.,1,1,15,48,84
49,2,5,-99,6,F,--,B,6,-99,5,B,--,F,I would choose slot machine B.,1,1,10,0,83
50,1,2,3,4,E,A,H,2,4,3,E,H,A,I would choose slot machine E.,0,1,16,32,49
51,3,7,8,9,J,D,C,9,7,8,C,J,D,I would choose slot machine C.,1,1,16,46,88
52,0,0,-99,1,G,--,I,1,-99,0,I,--,G,I would choose slot machine I.,1,1,9,0,51
53,1,2,3,4,E,A,H,4,2,3,H,E,A,I would choose slot machine H.,1,1,11,33,51
54,0,0,-99,1,G,--,I,1,-99,0,I,--,G,I would choose slot machine I.,1,1,11,0,53
55,0,0,-99,1,G,--,I,1,-99,0,I,--,G,I would choose slot machine I.,1,1,11,0,49
56,1,2,3,4,E,A,H,4,2,3,H,E,A,I would choose slot machine H.,1,1,10,31,48
57,1,2,3,4,E,A,H,3,4,2,A,H,E,I would choose slot machine A.,0,1,14,32,47
