trial,context,L_index,H_index,L_option,H_option,left_index,right_index,left_option,right_option,choice,accuracy,chose_left,L_outcome,H_outcome
0,1,2,3,G,B,2,3,G,B,I would choose slot machine G.,0,1,-0.1,0.0
1,0,0,1,C,H,1,0,H,C,I would choose slot machine C.,0,0,-1.0,0.0
2,1,2,3,G,B,3,2,B,G,I would choose slot machine B.,1,1,-0.1,-0.1
3,1,2,3,G,B,2,3,G,B,I would choose slot machine G.,0,1,0.0,0.0
4,0,0,1,C,H,1,0,H,C,I would choose slot machine H.,1,1,0.0,-1.0
5,1,2,3,G,B,2,3,G,B,I would choose slot machine G.,0,1,-0.1,0.0
6,0,0,1,C,H,1,0,H,C,I would choose slot machine C.,0,0,-1.0,0.0
7,1,2,3,G,B,3,2,B,G,I would choose slot machine G.,0,0,0.0,0.0
8,3,6,7,E,D,6,7,E,D,I would choose slot machine D.,1,0,0.0,1.0
9,2,4,5,A,F,4,5,A,F,I would choose slot machine A.,0,1,0.0,0.1
10,0,0,1,C,H,0,1,C,H,I would choose slot machine H.,1,0,-1.0,0.0
11,3,6,7,E,D,6,7,E,D,I would choose slot machine D.,1,0,0.0,1.0
12,2,4,5,A,F,4,5,A,F,I would choose slot machine F.,1,0,0.0,0.1
13,2,4,5,A,F,5,4,F,A,I would choose slot machine F.,1,1,0.0,0.1
14,3,6,7,E,D,7,6,D,E,I would choose slot machine D.,1,1,1.0,1.0
15,3,6,7,E,D,6,7,E,D,I would choose slot machine D.,1,0,0.0,1.0
16,0,0,1,C,H,0,1,C,H,I would choose slot machine H.,1,0,0.0,0.0
17,2,4,5,A,F,5,4,F,A,I would choose slot machine F.,1,1,0.1,0.0
18,3,6,7,E,D,7,6,D,E,I would choose slot machine D.,1,1,0.0,0.0
19,3,6,7,E,D,7,6,D,E,I would choose slot machine D.,1,1,0.0,0.0
20,0,0,1,C,H,0,1,C,H,I would choose slot machine C.,0,1,-1.0,0.0
21,1,2,3,G,B,3,2,B,G,I would choose slot machine B.,1,1,0.0,0.0
22,1,2,3,G,B,3,2,B,G,I would choose slot machine B.,1,1,-0.1,0.0
23,2,4,5,A,F,4,5,A,F,I would choose slot machine F.,1,0,0.1,0.1
24,1,2,3,G,B,3,2,B,G,I would choose slot machine B.,1,1,-0.1,0.0
25,2,4,5,A,F,4,5,A,F,I would choose slot machine F.,1,0,0.0,0.1
26,1,2,3,G,B,3,2,B,G,I would choose slot machine B.,1,1,-0.1,0.0
27,1,2,3,G,B,2,3,G,B,I would choose slot machine B.,1,0,-0.1,-0.1
28,3,6,7,E,D,7,6,D,E,I would choose slot machine D.,1,1,0.0,1.0
29,0,0,1,C,H,1,0,H,C,I would choose slot machine H.,1,1,-1.0,0.0
30,2,4,5,A,F,5,4,F,A,I would choose slot machine F.,1,1,0.0,0.1
31,0,0,1,C,H,0,1,C,H,I would choose slot machine H.,1,0,-1.0,0.0
32,0,0,1,C,H,1,0,H,C,I would choose slot machine H.,1,1,-1.0,-1.0
33,2,4,5,A,F,4,5,A,F,I would choose slot machine F.,1,0,0.0,0.1
34,3,6,7,E,D,6,7,E,D,I would choose slot machine D.,1,0,1.0,1.0
35,2,4,5,A,F,5,4,F,A,I would choose slot machine F.,1,1,0.0,0.1
36,1,2,3,G,B,3,2,B,G,I would choose slot machine B.,1,1,-0.1,0.0
37,2,4,5,A,F,5,4,F,A,I would choose slot machine F.,1,1,0.1,0.0
38,2,4,5,A,F,5,4,F,A,I would choose slot machine F.,1,1,0.0,0.1
39,2,4,5,A,F,4,5,A,F,I would choose slot machine F.,1,0,0.0,0.0
40,3,6,7,E,D,6,7,E,D,I would choose slot machine D.,1,0,1.0,1.0
41,1,2,3,G,B,2,3,G,B,I would choose slot machine G.,0,1,-0.1,-0.1
42,0,0,1,C,H,0,1,C,H,I would choose slot machine H.,1,0,0.0,0.0
43,3,6,7,E,D,6,7,E,D,I would choose slot machine D.,1,0,0.0,0.0
44,0,0,1,C,H,1,0,H,C,I would choose slot machine H.,1,1,-1.0,0.0
45,3,6,7,E,D,6,7,E,D,I would choose slot machine D.,1,0,0.0,1.0
46,3,6,7,E,D,7,6,D,E,I would choose slot machine D.,1,1,0.0,1.0
47,0,0,1,C,H,1,0,H,C,I would choose slot machine H.,1,1,-1.0,-1.0
0,99,0,1,C,H,1,0,H,C,I would choose slot machine H.,1,1,0.0,0.0
1,99,0,2,C,G,0,2,C,G,I would choose slot machine G.,1,0,0.0,0.0
2,99,0,3,C,B,0,3,C,B,I would choose slot machine B.,1,0,0.0,0.0
3,99,0,4,C,A,4,0,A,C,I would choose slot machine A.,1,1,0.0,0.0
4,99,0,5,C,F,0,5,C,F,I would choose slot machine F.,1,0,0.0,0.0
5,99,0,6,C,E,0,6,C,E,I would choose slot machine E.,1,0,0.0,0.0
6,99,0,7,C,D,7,0,D,C,I would choose slot machine D.,1,1,0.0,0.0
7,99,1,2,H,G,1,2,H,G,I would choose slot machine G.,1,0,0.0,0.0
8,99,1,3,H,B,1,3,H,B,I would choose slot machine B.,1,0,0.0,0.0
9,99,1,4,H,A,4,1,A,H,I would choose slot machine A.,1,1,0.0,0.0
10,99,1,5,H,F,1,5,H,F,I would choose slot machine F.,1,0,0.0,0.0
11,99,1,6,H,E,6,1,E,H,I would choose slot machine E.,1,1,0.0,0.0
12,99,1,7,H,D,7,1,D,H,I would choose slot machine D.,1,1,0.0,0.0
13,99,2,3,G,B,3,2,B,G,I would choose slot machine B.,1,1,0.0,0.0
14,99,2,4,G,A,4,2,A,G,I would choose slot machine A.,1,1,0.0,0.0
